motif,tsubset,coef,se
APCC,High,-0.8077232549187101,0.11263391084341319
Actin,High,-0.9425979442559815,0.07477425034912051
Arc,High,-0.8292947637472903,0.05098826786377087
BIR,High,-0.004530555983158748,0.03844619445815352
BRCT,High,-0.20954246552657155,0.047348802844321275
CDC14,High,0.1884161003734627,0.1364482250666655
CKS1,High,-0.6330853154189208,0.08361102019417971
CYCLIN,High,-0.27847301448827905,0.04205851788440551
DLG,High,-0.24911295058539626,0.12658027257835844
FHA,High,-0.1485024116480288,0.03023147337774769
GBD,High,-1.9600332317054183,0.13341444071822844
IRF7,High,-0.3319572946440813,0.11380297483629953
Integrin,High,-1.3110080755291684,0.15294175421272715
LIR,High,0.17197876755998753,0.03447997905372379
MAPK,High,-0.005725009448641869,0.03277737415029143
MSH2,High,-0.6877371694686492,0.09157483880444273
MYND,High,0.14753525759423775,0.09702578999818576
NRBOX,High,-0.308944523273991,0.0734437119192575
NRP,High,-0.5111974263429327,0.07771881737353002
PCNA,High,-0.29342378236559874,0.06508539005453642
PDZ,High,-0.385839417256569,0.035269307120390114
PP1,High,-0.3688627294697574,0.05256020394031114
PP2A,High,-0.7853098052047736,0.07124265071839099
PP2B,High,-0.5245992954802984,0.08843334451697643
PP4,High,-0.9152607417958252,0.06353560094913122
PTB,High,0.43298277402626406,0.07669657799119632
Pex14,High,-0.2775625483673591,0.04082490131059069
REV1ctd,High,0.42811016182602657,0.0895655121685538
SH2,High,-0.35508413582089204,0.03213161948803061
SH3,High,-0.3650095099171483,0.0410145265833242
SUMO,High,-0.493904244979819,0.050631588518934754
TRAF2like,High,-0.5141949175168219,0.09504238616322516
TRAF4,High,-0.4219203358809497,0.0738963928986489
TRAF6,High,-0.9879277003786391,0.0991616492632462
TYR,High,-0.7515810096227724,0.08298436441194779
UBA3,High,0.23118075572920455,0.04660432685037218
USP7,High,-0.4140059361494564,0.02865875922244359
WD40,High,-0.5154660420436713,0.030330248423550372
WRC,High,-1.1708719723018173,0.07750124522597697
WW,High,-0.4909551587985391,0.04065056593961966
deltaCOP1,High,-0.6331855422993521,0.14655606755083508
eIF4E,High,-0.23449146916106478,0.1413045865006244
14-3-3,Low,-0.17435965393488367,0.0304172669025583
ANK,Low,-0.27036092764315195,0.15189453850478749
APCC,Low,-0.7148788380935639,0.11949159593537449
Actin,Low,-0.9878267812548065,0.07933753728818427
Arc,Low,-0.7549046755437452,0.054087853570014846
BIR,Low,0.07547554042625813,0.040791024231129416
BRCT,Low,-0.35375051242839844,0.050234708039100295
CDC14,Low,0.30251810665250717,0.14468878725033354
CKS1,Low,-0.28991689460529046,0.08867557129463363
CYCLIN,Low,-0.3389429829729921,0.04462171835283833
DLG,Low,0.11086520414301876,0.13428290353832636
FHA,Low,-0.1960160309276221,0.032075861451278304
GBD,Low,-1.753172992533084,0.1414173570258259
IRF7,Low,-0.47387578166259353,0.12075766169036066
Integrin,Low,-1.1274103135987903,0.16225298483410797
LIR,Low,0.1942229685621953,0.036583054112679224
MAPK,Low,0.08541384278372598,0.0347768101046042
MSH2,Low,-0.656878640653729,0.09714761527177611
MYND,Low,-0.167559787435094,0.10294214210663863
NRBOX,Low,-0.17890241187256253,0.07791176952421373
NRP,Low,-0.42588810698778334,0.0824620691004715
PCNA,Low,-0.27490836203076685,0.06905698570779617
PDZ,Low,-0.41327425658569705,0.03742090034435031
PP1,Low,-0.3685891008700319,0.055766356034829136
PP2A,Low,-0.6651088691251127,0.07556989228883314
PP2B,Low,-0.19083057445818027,0.09379118744769563
PP4,Low,-0.8664372563354094,0.06740445958252145
PTB,Low,0.30045709917722013,0.08137735321515907
Pex14,Low,-0.3613516663474656,0.04331473132309833
REV1ctd,Low,0.42325022849434407,0.09503156649048622
SH2,Low,-0.33063581895015876,0.03409251947816145
SH3,Low,-0.4097895350284319,0.04351407678960936
SUMO,Low,-0.5253968146727478,0.053717628855032354
TRAF2like,Low,-0.6532928566308841,0.10083571643893116
TRAF4,Low,-0.5089088060670791,0.07840210770554677
TRAF6,Low,-0.684910334043318,0.10518080776434885
TYR,Low,-0.6109453652382618,0.08802534035345802
UBA3,Low,0.23884568342497664,0.049449143878476466
USP7,Low,-0.471631272419623,0.03040746895149101
WD40,Low,-0.5095025983619689,0.03218183190998622
WRC,Low,-1.2298997755140644,0.08221293411293147
WW,Low,-0.5275083724547449,0.04312905618507463
deltaCOP1,Low,-0.7623989743804704,0.15549520467544647
eIF4E,Low,-0.3142495293421751,0.14993698667641367
