motif,contrast,EM_coef,CM_coef,logFC,se,zscore,pvalue,Naive_coef,Low_coef,High_coef,qvalue
PCNA,EM_vs_CM,-0.20564375518032457,-0.29460338499800204,0.08895962981767747,0.12335132452228142,0.7211890927171062,0.47079318166219053,,,,0.8943489576307417
PDZ,EM_vs_CM,-0.4195648943036893,-0.4634591316520938,0.043894237348404475,0.06684287510555198,0.6566778774714706,0.5113880620665129,,,,0.9000429892370627
PP1,EM_vs_CM,-0.5187453233968568,-0.25690081242730134,-0.2618445109695554,0.09961149824649296,-2.628657490138436,0.008572265180809124,,,,0.29285794523856373
PP2A,EM_vs_CM,-0.5397607456036227,-0.7605979537133528,0.22083720810973007,0.13498864222023205,1.6359688080233987,0.10184611569930428,,,,0.7516946739270264
PP2B,EM_vs_CM,-0.25653551989041345,-0.1669980122599926,-0.08953750763042084,0.1675336971483607,-0.5344447663632126,0.5930338538534363,,,,0.9431098760560053
PP4,EM_vs_CM,-0.8878994497955475,-0.9330512384605424,0.04515178866499492,0.1204007910897238,0.3750123919978846,0.7076512506208928,,,,0.9431098760560053
PTB,EM_vs_CM,0.27364360110850394,0.4531695448519137,-0.17952594374340974,0.1453573335735303,-1.2350662971716864,0.21680583131436582,,,,0.8943489576307417
Pex14,EM_vs_CM,-0.27963904695508623,-0.3478417071051137,0.06820266015002746,0.07737013053293479,0.8815115042489823,0.37804103010367307,,,,0.8943489576307417
REV1ctd,EM_vs_CM,0.3878906365425493,0.4550047362786114,-0.06711409973606208,0.1697488785604495,-0.39537286081193157,0.6925677348707406,,,,0.9431098760560053
SH2,EM_vs_CM,-0.31033184234796746,-0.3606521284306064,0.05032028608263894,0.060897131247472217,0.8263161999889395,0.40862474616053146,,,,0.8943489576307417
SH3,EM_vs_CM,-0.3775664106277298,-0.4332583176747453,0.05569190704701554,0.07772711107787,0.716505557388094,0.47367923720056004,,,,0.8943489576307417
SUMO,EM_vs_CM,-0.5537873150608483,-0.556411016515135,0.0026237014542866977,0.09595362864627914,0.02734343131470973,0.9781858166256411,,,,0.9860463487646839
TRAF2like,EM_vs_CM,-0.8639055590809709,-0.41804605561332014,-0.44585950346765074,0.18012204421734795,-2.4753189172650365,0.013311724783571078,,,,0.29285794523856373
TRAF4,EM_vs_CM,-0.5015302664822618,-0.6011357776848649,0.09960551120260308,0.14004960328765362,0.7112159468100687,0.47695042813047084,,,,0.8943489576307417
TRAF6,EM_vs_CM,-0.8170743750264007,-0.8137882737064313,-0.0032861013199694256,0.1878931763332571,-0.017489199895908008,0.9860463487646839,,,,0.9860463487646839
TYR,EM_vs_CM,-0.8070976828257387,-0.5187408785454489,-0.28835680428028976,0.1572368302512002,-1.83390115292717,0.06666866841496107,,,,0.7333553525645717
UBA3,EM_vs_CM,0.17224694294992038,0.2674247481842209,-0.09517780523430053,0.0883273262699147,-1.077557866332915,0.2812311137088521,,,,0.8943489576307417
USP7,EM_vs_CM,-0.42939635816730737,-0.4840664184328311,0.054670060265523734,0.05431460489784506,1.0065443791471413,0.31415377480109397,,,,0.8943489576307417
WD40,EM_vs_CM,-0.5072312153680563,-0.5249461603856734,0.017714945017617167,0.0574840284355906,0.30817160000305677,0.757951761432585,,,,0.9431098760560053
WRC,EM_vs_CM,-1.304014430763879,-1.2469280336223432,-0.05708639714153585,0.14686232605671884,-0.38870688402067693,0.6974929893681359,,,,0.9431098760560053
