ELM,Phenotype,Effect,SE,Pvalue,FDR,log2FC
Actin,EM_Low,-0.01155198608137932,0.07838209665320336,0.882831761784415,0.9998849800444911,-0.016665993032024276
Arc,Naive_High,-0.025901953113739738,0.03917095425796197,0.5084493881435831,0.9998849800444911,-0.037368619306530765
Arc,Naive_Low,0.0,0.0,,,0.0
Arc,CM_High,0.015083973983516439,0.04028904568298957,0.7081112613447967,0.9998849800444911,0.02176157446291731
Arc,CM_Low,-0.026874416581343468,0.04208671532731631,0.5231165751381234,0.9998849800444911,-0.03877158752868835
Arc,EM_High,-0.016989472732634715,0.040675657199117386,0.6761799422163701,0.9998849800444911,-0.02451062805869037
Arc,EM_Low,-0.0031725823204090784,0.03729791393006162,0.9322132265424765,0.9998849800444911,-0.004577068780466178
BIR,Naive_High,-0.02453358279093281,0.033056854735890706,0.4579884308434793,0.9998849800444911,-0.03539447822771758
BIR,Naive_Low,0.0,0.0,,,0.0
BIR,CM_High,-0.0008223541158253946,0.03380614372544724,0.9805929078101664,0.9998849800444911,-0.001186406204755925
BIR,CM_Low,0.025392458239038993,0.0358445328821354,0.47869358183012223,0.9998849800444911,0.03663357357744166
BIR,EM_High,-0.011872159596935819,0.034356152330699295,0.7296723700446623,0.9998849800444911,-0.01712790577514162
BIR,EM_Low,-0.025056903640853962,0.031459385562941755,0.4257506536236898,0.9998849800444911,-0.03614947062269262
BRCT,Naive_High,0.01979610566309873,0.04649031921991794,0.6702453146494145,0.9998849800444911,0.028559743469066465
BRCT,Naive_Low,0.0,0.0,,,0.0
BRCT,CM_High,-0.01055923332687329,0.047404765380542266,0.823733009685385,0.9998849800444911,-0.015233753556269566
BRCT,CM_Low,-0.011912601049137338,0.049625436816378224,0.8102912617688947,0.9998849800444911,-0.017186250457679103
BRCT,EM_High,0.006679904296890137,0.04804369686543323,0.88942004251594,0.9998849800444911,0.00963706480273628
BRCT,EM_Low,-0.004865438388408717,0.04354565510030301,0.9110359922990099,0.9998849800444911,-0.0070193438347080465
CDC14,Naive_High,-0.0042357878959189375,0.143012704243541,0.9763714998833299,0.9998849800444911,-0.0061109501916997485
CDC14,Naive_Low,0.0,0.0,,,0.0
CDC14,CM_High,-8.250021841747675e-05,0.1497625569127417,0.9995604665908098,0.9998849800444911,-0.00011902265598315003
CDC14,CM_Low,0.0045304926619371836,0.1652860762464382,0.9781327160686654,0.9998849800444911,0.006536119296160614
CDC14,EM_High,-0.0015319363476139927,0.149470774659435,0.9918225689016903,0.9998849800444911,-0.0022101169716602586
CDC14,EM_Low,-0.0059214163087876765,0.13709497363633322,0.9655484228627638,0.9998849800444911,-0.008542797943727013
CKS1,Naive_High,-0.0041068828845806545,0.06911756189104304,0.9526185358444674,0.9998849800444911,-0.005924979571096271
CKS1,Naive_Low,0.0,0.0,,,0.0
CKS1,CM_High,0.007339280978304652,0.07059855582541524,0.917202720514751,0.9998849800444911,0.010588344271090821
CKS1,CM_Low,-0.0010212009327244087,0.07577105135941087,0.9892468722977553,0.9998849800444911,-0.0014732815213926885
CKS1,EM_High,-0.008865765747081726,0.07090801893459196,0.9004982801536422,0.9998849800444911,-0.012790596276998042
CKS1,EM_Low,-0.002077126791296334,0.0657723853430489,0.9748065704200092,0.9998849800444911,-0.002996660521100826
CSL,Naive_High,-0.004685283071710191,0.13820571877952834,0.9729562630925124,0.9998849800444911,-0.006759434652717302
CSL,Naive_Low,0.0,0.0,,,0.0
CSL,CM_High,-0.003409525353797481,0.14409105370921774,0.9811219799603896,0.9998849800444911,-0.0049189053197088144
CSL,CM_Low,0.006232079018200485,0.16477600121678676,0.9698299852351701,0.9998849800444911,0.008990989493986001
CSL,EM_High,0.001255027901260121,0.14705833046006447,0.9931907616020109,0.9998849800444911,0.00181062252932526
CSL,EM_Low,-0.0060492982627647005,0.13374736496055226,0.9639245486481262,0.9998849800444911,-0.008727292604548855
CYCLIN,Naive_High,-0.03710500526776069,0.03864228607361546,0.3369456837270738,0.9998849800444911,-0.05353120709195722
CYCLIN,Naive_Low,0.0,0.0,,,0.0
CYCLIN,CM_High,0.015145407871144373,0.0396776165318448,0.7026752690932075,0.9998849800444911,0.021850204827940662
CYCLIN,CM_Low,0.028047022288870866,0.04197367625759574,0.5040027146769483,0.9998849800444911,0.04046329996785623
CYCLIN,EM_High,0.009693158141842228,0.04014834859355488,0.8092191161296273,0.9998849800444911,0.013984271181788261
CYCLIN,EM_Low,-0.04811196662370503,0.03682281558712877,0.19135527986422396,0.9998849800444911,-0.06941089565543458
Clathr,Naive_High,-0.006354540843855123,0.11359030211796108,0.9553875059409225,0.9998849800444911,-0.009167664562556155
Clathr,Naive_Low,0.0,0.0,,,0.0
Clathr,CM_High,0.005673808371976665,0.11878552388150597,0.9619034110697657,0.9998849800444911,0.008185575201205018
Clathr,CM_Low,0.0038246420661971468,0.12572849322663218,0.9757322131453802,0.9998849800444911,0.005517792142077942
Clathr,EM_High,-0.0020030730235083795,0.11739531967092981,0.9863866506924122,0.9998849800444911,-0.002889823517554001
Clathr,EM_Low,-0.0027457544417288948,0.10884407650073501,0.979874304529492,0.9998849800444911,-0.003961286316581121
DLG,Naive_High,0.0021195841740621825,0.11146713001175762,0.9848288766739811,0.9998849800444911,0.00305791357666624
DLG,Naive_Low,0.0,0.0,,,0.0
DLG,CM_High,-0.008241789491903904,0.10987960721561875,0.9402087818331628,0.9998849800444911,-0.011890388828020532
DLG,CM_Low,-0.005065308495620657,0.1141988511036007,0.964621302304102,0.9998849800444911,-0.007307695447204657
DLG,EM_High,0.0024198135810654365,0.11534080955382717,0.9832618630055044,0.9998849800444911,0.0034910530532788688
DLG,EM_Low,0.0010202349710944484,0.10557662602375713,0.9922897984778827,0.9998849800444911,0.0014718879333394557
EVH1,Naive_High,0.004595489062528893,0.13173618375466645,0.9721722146146626,0.9998849800444911,0.006629889280969905
EVH1,Naive_Low,0.0,0.0,,,0.0
EVH1,CM_High,-0.012103823700196603,0.12603564819065757,0.923492836627116,0.9998849800444911,-0.017462126428067944
EVH1,CM_Low,0.0017570997297244291,0.14015440334869034,0.989997274518136,0.9998849800444911,0.002534959066420772
EVH1,EM_High,0.000679354849804482,0.13320640119678084,0.995930793180231,0.9998849800444911,0.0009801018728167927
EVH1,EM_Low,-0.004193259140625965,0.12194414456648137,0.972568773207942,0.9998849800444911,-0.006049594167343397
FHA,Naive_High,-0.009854067213955563,0.025961459040652734,0.7042681737443699,0.9998849800444911,-0.014216413902160215
FHA,Naive_Low,0.0,0.0,,,0.0
FHA,CM_High,-0.0371569993809582,0.026600802657642385,0.16246243478064526,0.9998849800444911,-0.05360621874122268
FHA,CM_Low,-0.0486736569872741,0.027978072732082165,0.08191042928211369,0.9998849800444911,-0.07022124355747078
FHA,EM_High,-0.009133808396028972,0.026961744320223274,0.7347836099491843,0.9998849800444911,-0.013177300077380976
FHA,EM_Low,-0.017465860552947018,0.024685915029182923,0.47924132610009307,0.9998849800444911,-0.02519791040459483
GBD,Naive_High,0.0018828182678130275,0.1353845391513529,0.9889040269161444,0.9998849800444911,0.002716332577869003
GBD,Naive_Low,0.0,0.0,,,0.0
GBD,CM_High,-0.0021424497645243274,0.13212947047737666,0.9870630474839016,0.9998849800444911,-0.0030909016506329746
GBD,CM_Low,0.00032859668578861807,0.14222832346931852,0.9981566119695083,0.9998849800444911,0.00047406480903978824
GBD,EM_High,-0.0005676963884507431,0.13661735193618002,0.9966844996363272,0.9998849800444911,-0.0008190127643484616
GBD,EM_Low,-0.0005747695349681436,0.12391522994124969,0.9962990982323665,0.9998849800444911,-0.0008292171577525965
IRF7,Naive_High,0.010893724889358684,0.10160122541865035,0.9146141251497208,0.9998849800444911,0.015716322874686446
IRF7,Naive_Low,0.0,0.0,,,0.0
IRF7,CM_High,-0.00038518384583958483,0.10002711029933592,0.9969275181178785,0.9998849800444911,-0.000555702824223308
IRF7,CM_Low,-0.008539280094093236,0.10118271063182416,0.93274265573198,0.9998849800444911,-0.012319577044510154
IRF7,EM_High,-5.2784151307708036e-05,0.10055120864244288,0.9995811521510501,0.9998849800444911,-7.615143332916308e-05
IRF7,EM_Low,-0.005802263619949461,0.09213596231794989,0.9497863998674675,0.9998849800444911,-0.008370896950431533
Integrin,Naive_High,0.00039621344677927826,0.12413140531953806,0.997453246788321,0.9998849800444911,0.000571615174801988
Integrin,Naive_Low,0.0,0.0,,,0.0
Integrin,CM_High,-0.0020121163015308194,0.12679191592889505,0.9873385528008347,0.9998849800444911,-0.0029028702099103553
Integrin,CM_Low,-0.007072944759487859,0.12842801091328582,0.9560801270034376,0.9998849800444911,-0.010204102328994717
Integrin,EM_High,-0.0008920478484007481,0.12784738392614664,0.9944328510393619,0.9998849800444911,-0.0012869530071234292
Integrin,EM_Low,0.0017227051474325466,0.1190489713699016,0.9884545674307759,0.9998849800444911,0.0024853381731148256
LIR,Naive_High,-0.03651295088757006,0.02930872190116128,0.21283601105607552,0.9998849800444911,-0.0526770531737196
LIR,Naive_Low,0.0,0.0,,,0.0
LIR,CM_High,-0.01634414557162076,0.029937842815307897,0.5851099445185897,0.9998849800444911,-0.023579617763744582
LIR,CM_Low,-0.031884193840372756,0.03150774274512938,0.31156296889606605,0.9998849800444911,-0.04599916833624821
LIR,EM_High,-0.01761104748344507,0.03010228445201582,0.5585206650516616,0.9998849800444911,-0.025407370869226262
LIR,EM_Low,-0.05551392465388839,0.027656048737519763,0.04471796763802273,0.9998849800444911,-0.08008966379844834
LYPXL,Naive_High,-0.0010263825310406851,0.11756663514958612,0.9930343811293345,0.9998849800444911,-0.001480756987587459
LYPXL,Naive_Low,0.0,0.0,,,0.0
LYPXL,CM_High,-0.0016233870479853113,0.11624536150868076,0.9888577630615567,0.9998849800444911,-0.0023420524435717825
LYPXL,CM_Low,0.004127350179176118,0.12749980315911552,0.974175850939788,0.9998849800444911,0.005954507635509559
LYPXL,EM_High,-0.0004617175775771461,0.1193150283520973,0.9969124056521544,0.9998849800444911,-0.000666117659461814
LYPXL,EM_Low,-0.004900589082416312,0.11072898993997023,0.9646991427120103,0.9998849800444911,-0.007070055566636609
MAPK,Naive_High,-0.061319377395200755,0.02975068138529271,0.039292705758142,0.9998849800444911,-0.08846516167845493
MAPK,Naive_Low,0.0,0.0,,,0.0
MAPK,CM_High,-0.02533518943750092,0.030493481937071645,0.4060643021907693,0.9998849800444911,-0.03655095216146502
MAPK,CM_Low,0.025888984816630153,0.03201277403781166,0.41868315510746756,0.9998849800444911,0.037349910008601994
MAPK,EM_High,-0.021608043764931712,0.030904905922510283,0.4844405255894676,0.9998849800444911,-0.03117381758297867
MAPK,EM_Low,-0.03053920432204674,0.02826813151737085,0.279990628509603,0.9998849800444911,-0.04405875862811163
MSH2,Naive_High,-0.009313830959105526,0.08141736539028124,0.9089237870870769,0.9998849800444911,-0.01343701773637964
MSH2,Naive_Low,0.0,0.0,,,0.0
MSH2,CM_High,-0.004316509150218683,0.08359193219764936,0.9588172453752366,0.9998849800444911,-0.006227406344972327
MSH2,CM_Low,-0.011079619642300264,0.08582588330974128,0.8972831491626518,0.9998849800444911,-0.015984512312882542
MSH2,EM_High,-0.002375712255102226,0.08426544293918116,0.9775080628681944,0.9998849800444911,-0.0034274282890151176
MSH2,EM_Low,-0.007003955320433169,0.07848740731587156,0.928893818564784,0.9998849800444911,-0.010104571607396804
MYND,Naive_High,0.011042623728347847,0.0936584974307943,0.9061444662109118,0.9998849800444911,0.015931138491290235
MYND,Naive_Low,0.0,0.0,,,0.0
MYND,CM_High,-0.0010664685194541042,0.0941064465864119,0.990958105592778,0.9998849800444911,-0.001538588844280631
MYND,CM_Low,-0.0030065201642788995,0.09804996786398404,0.975538185131328,0.9998849800444911,-0.00433749173133784
MYND,EM_High,0.005372544175050546,0.09610369889752875,0.9554185910500672,0.9998849800444911,0.00775094283830231
MYND,EM_Low,-0.018216768154017668,0.08466074797907948,0.8296318787591977,0.9998849800444911,-0.026281241076825286
NRBOX,Naive_High,-0.0030277685943423914,0.07901830314168971,0.9694346917848673,0.9998849800444911,-0.004368146736017116
NRBOX,Naive_Low,0.0,0.0,,,0.0
NRBOX,CM_High,-0.003243666454694562,0.08053253960459568,0.9678717224276469,0.9998849800444911,-0.00467962150848573
NRBOX,CM_Low,0.0010199021890017481,0.0856567947941076,0.9904999365875775,0.9998849800444911,0.0014714078302646204
NRBOX,EM_High,-0.006606768187728892,0.08107507331623713,0.9350526650782832,0.9998849800444911,-0.009531551700739438
NRBOX,EM_Low,-0.004220698667436357,0.07533488712112046,0.9553212397481401,0.9998849800444911,-0.006089181036597089
NRP,Naive_High,-0.007683785855498472,0.06890288658833868,0.9112070455963744,0.9998849800444911,-0.011085359748980407
NRP,Naive_Low,0.0,0.0,,,0.0
NRP,CM_High,-0.009243152992162787,0.07071502843880252,0.8960048150565432,0.9998849800444911,-0.013335050983971237
NRP,CM_Low,0.0037286571663238547,0.07558626611688357,0.9606564527293455,0.9998849800444911,0.00537931520303052
NRP,EM_High,-0.004719627480198569,0.07232418667639538,0.9479697303016337,0.9998849800444911,-0.00680898316052575
NRP,EM_Low,0.004392909122274694,0.06702700000310757,0.9477445399609332,0.9998849800444911,0.00633762820578159
PCNA,Naive_High,-0.01112879742791726,0.06644809391892899,0.8669915463288346,0.9998849800444911,-0.01605546086031408
PCNA,Naive_Low,0.0,0.0,,,0.0
PCNA,CM_High,0.007496707417035894,0.06862793493390412,0.9130145408474706,0.9998849800444911,0.010815462613553194
PCNA,CM_Low,0.0031616870686506805,0.07191375890937086,0.9649323177036697,0.9998849800444911,0.004561350254785101
PCNA,EM_High,-0.0057198721123473155,0.06874275134175355,0.933687016231816,0.9998849800444911,-0.008252031131002553
PCNA,EM_Low,-0.010715931410350522,0.06356077070401904,0.8661164107687527,0.9998849800444911,-0.015459821104218974
PDZ,Naive_High,-0.004776167237359757,0.0317659211446664,0.8804844886624487,0.9998849800444911,-0.0068905527877952625
PDZ,Naive_Low,0.0,0.0,,,0.0
PDZ,CM_High,-0.05139336549361815,0.03252594506618785,0.11409016455763078,0.9998849800444911,-0.07414495353223688
PDZ,CM_Low,-0.050496951774341305,0.03419781081818679,0.13977925007797018,0.9998849800444911,-0.07285170190485134
PDZ,EM_High,0.02254331191841371,0.03300337231050886,0.49456838549046966,0.9998849800444911,0.03252312430990852
PDZ,EM_Low,0.005440185199120354,0.030105622009034487,0.8566004696180619,0.9998849800444911,0.007848528208288474
PP1,Naive_High,0.009599387863675113,0.04736058665086614,0.8393794762041152,0.9998849800444911,0.013848989266493786
PP1,Naive_Low,0.0,0.0,,,0.0
PP1,CM_High,-0.007910935118604715,0.04811237050986732,0.8693956255256706,0.9998849800444911,-0.011413066864405366
PP1,CM_Low,0.010927019663241153,0.05092254390541271,0.8300938667470665,0.9998849800444911,0.015764357079854203
PP1,EM_High,-0.0027430965575248735,0.04865765437872151,0.9550427237957235,0.9998849800444911,-0.003957451800220722
PP1,EM_Low,-0.03060136638265444,0.044703814532457184,0.49363682135029296,0.9998849800444911,-0.0441484395246818
PP2A,Naive_High,-0.014321436426412206,0.06278994037657261,0.8195802492515114,0.9998849800444911,-0.02066146531079145
PP2A,Naive_Low,0.0,0.0,,,0.0
PP2A,CM_High,-0.007680438633804077,0.06458729228785229,0.9053421976810305,0.9998849800444911,-0.011080530728841149
PP2A,CM_Low,-0.011478323009468591,0.06785783015791437,0.865676674661282,0.9998849800444911,-0.016559719683482018
PP2A,EM_High,0.0012249612183343448,0.06571319160389387,0.9851274756510788,0.9998849800444911,0.0017672454749722622
PP2A,EM_Low,0.019832918242908174,0.06058683588679808,0.7434054569583395,0.9998849800444911,0.02861285279539988
PP2B,Naive_High,-0.011285638764907822,0.08200702880575024,0.8905423725589372,0.9998849800444911,-0.016281735079396762
PP2B,Naive_Low,0.0,0.0,,,0.0
PP2B,CM_High,-0.005244259770292414,0.08439238361383089,0.9504502386032445,0.9998849800444911,-0.007565867563734361
PP2B,CM_Low,0.018698371717579845,0.09727988803537453,0.8475760669818868,0.9998849800444911,0.02697604814965089
PP2B,EM_High,0.0023889284356919077,0.08633492425892451,0.9779249715514828,0.9998849800444911,0.0034464952072113444
PP2B,EM_Low,1.1381429803117377e-05,0.07895210051278395,0.9998849800444911,0.9998849800444911,1.6419932335183293e-05
PP4,Naive_High,-0.006364830699250331,0.0554880138862655,0.9086778354758835,0.9998849800444911,-0.009182509685906287
PP4,Naive_Low,0.0,0.0,,,0.0
PP4,CM_High,-0.002158429351331621,0.05682891630558362,0.9697026866560468,0.9998849800444911,-0.0031139553212753118
PP4,CM_Low,0.0002272542719898229,0.05977046042981037,0.9969663570127337,0.9998849800444911,0.00032785861122054915
PP4,EM_High,-0.003896568754844687,0.05715567487218435,0.945646597676439,0.9998849800444911,-0.0056215604190973135
PP4,EM_Low,-0.012803519202832764,0.052421856536981906,0.8070448760940194,0.9998849800444911,-0.018471573659853444
PTB,Naive_High,-0.007534593493068979,0.06270512644121543,0.904357092000718,0.9998849800444911,-0.010870120667564868
PTB,Naive_Low,0.0,0.0,,,0.0
PTB,CM_High,-0.001391286179015333,0.06433661214099096,0.9827470050106493,0.9998849800444911,-0.0020072016709227754
PTB,CM_Low,-0.013257918824304289,0.06654481819665337,0.8420805446284039,0.9998849800444911,-0.019127133740332234
