motif,contrast,log_effect,se_log_effect,z,logFC,pvalue,qvalue,neglog10_q
PP4,EM_vs_CM,0.09815694333568836,0.07018228084676519,1.3986000761360633,0.14161053537921658,0.1619329435108644,0.4857988305325932,0.3135435350102066
PDZ,EM_vs_CM,0.11244252927095373,0.08676364394402962,1.2959636566611852,0.16222027936421707,0.19498800623995194,0.5163949014613471,0.2870180543183473
CDC14,EM_vs_CM,-0.49500904414459157,0.38369771830301697,-1.2901016100222649,-0.7141470931825883,0.19701538095524784,0.5163949014613471,0.2870180543183473
WRC,EM_vs_CM,0.1228865700893163,0.09938311561955585,1.236493435763606,0.17728784525971067,0.21627520422912228,0.5163949014613471,0.2870180543183473
SUMO,EM_vs_CM,0.23787584867844608,0.19311642319708114,1.2317743086805548,0.34318230723564763,0.21803340283923545,0.5163949014613471,0.2870180543183473
Actin,EM_vs_CM,0.5073242129148999,0.438578970390963,1.1567454145433724,0.7319141260952228,0.24737638916866622,0.556596875629499,0.2544592358400577
TRFH,EM_vs_CM,0.31492497590061985,0.30331339347057196,1.038282458605556,0.4543407009839006,0.29913857281129896,0.6410112274527835,0.1931343636510934
EVH1,EM_vs_CM,-0.22057827401890306,0.2265907707126171,-0.9734653945754056,-0.31822718205491834,0.33032205119134994,0.6510390910665805,0.18639293382072983
NRP,EM_vs_CM,0.15234838496441408,0.1572899717340913,0.968582950869676,0.2197922594756029,0.3327533132118078,0.6510390910665805,0.18639293382072983
GBD,EM_vs_CM,0.15661545546836375,0.16762440783154434,0.9343236912476128,0.22594834093077468,0.3501369471304234,0.6565067758695439,0.18276078715627356
ANK,EM_vs_CM,0.24986430758606593,0.2861095136219887,0.8733170191473941,0.36047799744957193,0.38249030656295113,0.6745671331326495,0.17097482271820041
BRCT,EM_vs_CM,0.06270916237799165,0.07291161018480476,0.860071012271522,0.09047019758102931,0.3897498991433086,0.6745671331326495,0.17097482271820041
TRAF4,EM_vs_CM,-0.19226974355373666,0.24965105222445932,-0.7701539482431999,-0.2773866055379686,0.4412085776150706,0.7254423163223422,0.1393971148580463
REV1ctd,EM_vs_CM,0.08095369496863469,0.11122398189002727,0.7278438839627022,0.1167914942728871,0.46670915763686194,0.7254423163223422,0.1393971148580463
Clathr,EM_vs_CM,-0.3323036569704062,0.4647283140755484,-0.7150493027984204,-0.47941283798047224,0.47457857886217747,0.7254423163223422,0.1393971148580463
TRAF2like,EM_vs_CM,-0.2754536500453752,0.3932361244812907,-0.700479007132725,-0.3973956149152268,0.4836282108815615,0.7254423163223422,0.1393971148580463
LIR,EM_vs_CM,0.07670265157913014,0.12490553062089317,0.6140853106972027,0.11065853505624508,0.5391589545439806,0.7602580195086358,0.11903899004607435
CYCLIN,EM_vs_CM,-0.05166781423876343,0.08444333648074594,-0.6118637229658055,-0.07454089937583618,0.5406279249839188,0.7602580195086358,0.11903899004607435
PP2B,EM_vs_CM,-0.23950472259102296,0.4270893300631629,-0.5607836715461897,-0.3455322755515557,0.5749450192667289,0.7840159353637212,0.10567511005765508
Arc,EM_vs_CM,-0.07626285583278725,0.14753553870572714,-0.5169117658146106,-0.11002404391399212,0.6052177538689562,0.7882317783681111,0.10334606009245752
TRAF6,EM_vs_CM,-0.04090163175982853,0.08088164878284529,-0.5056973043371442,-0.059008581304171144,0.6130691609529753,0.7882317783681111,0.10334606009245752
TYR,EM_vs_CM,0.06391520979967963,0.15314139300603496,0.4173607706256196,0.09221015621537548,0.6764145443856585,0.8455181804820732,0.07287704968876468
CSL,EM_vs_CM,-0.06724139563231585,0.20436336134327202,-0.3290286242619074,-0.09700882802119488,0.742134052476804,0.9025954692285454,0.0445068508446566
USP7,EM_vs_CM,0.011831067547040719,0.06785846743058854,0.17434917107644007,0.017068622478538,0.8615910580196285,0.9575149933047722,0.018854416880439012
CKS1,EM_vs_CM,-0.027950211696171734,0.16127890260435748,-0.1733035830776825,-0.040323631805863666,0.8624128074200331,0.9575149933047722,0.018854416880439012
PTB,EM_vs_CM,-0.02771373072022515,0.161220894545591,-0.17189912509999192,-0.039982461874600944,0.8635168344169107,0.9575149933047722,0.018854416880439012
