ELM,tsubset,cliff_delta,pvalue,qvalue
IRF7,CM,-0.15885416666666669,0.16149455809747182,0.702492421298032
IRF7,EM,-0.2717013888888889,0.1838957976858594,0.8910557085430265
Integrin,Naive,0.1909722222222222,0.4871850715438093,0.787489963795862
Integrin,CM,0.1779513888888889,0.5244924363710544,0.702492421298032
Integrin,EM,0.06597222222222222,0.9062435613626245,0.9296833227595881
LIR,Naive,0.0009259259259259238,0.837105257630844,0.9209006292445173
LIR,CM,0.09639917695473252,0.09178479880054169,0.702492421298032
LIR,EM,-0.016666666666666666,0.8673980385334517,0.9296833227595881
LYPXL,Naive,0.03906249999999999,0.7952910440011525,0.9209006292445173
LYPXL,CM,-0.1388888888888889,0.6750960526128713,0.7501067251254125
LYPXL,EM,-0.2204861111111111,0.3944111464623816,0.8910557085430265
MAPK,Naive,-0.013888888888888888,0.9756116803254722,0.9756116803254722
MAPK,CM,-0.004578754578754576,0.5795562475708764,0.702492421298032
MAPK,EM,-0.09355921855921856,0.3542042625388546,0.8910557085430265
MSH2,Naive,0.2048611111111111,0.43494884626653985,0.787489963795862
MSH2,CM,0.23177083333333331,0.3274813454205199,0.702492421298032
MSH2,EM,0.1440972222222222,0.6608677978118034,0.8910557085430265
NRBOX,Naive,0.2013888888888889,0.45807476874059194,0.787489963795862
NRBOX,CM,0.2508680555555556,0.2724633317312397,0.702492421298032
NRBOX,EM,0.13541666666666666,0.6739214157814608,0.8910557085430265
NRP,Naive,0.1032986111111111,0.1855562244823531,0.787489963795862
NRP,CM,-0.0998263888888889,0.44522129758636153,0.702492421298032
NRP,EM,0.17100694444444445,0.4283841472557822,0.8910557085430265
PDZ,Naive,-0.0144993894993895,0.8136405798066644,0.9209006292445173
PDZ,CM,-0.05692918192918193,0.524220750170186,0.702492421298032
PDZ,EM,-0.05677655677655678,0.6905681741208456,0.8910557085430265
PP1,Naive,-0.19618055555555558,0.459454163376818,0.787489963795862
PP1,CM,0.09809027777777779,0.5487579736320956,0.702492421298032
PP1,EM,-0.01215277777777779,0.061434985145747856,0.8191331352766381
PP2A,Naive,0.1032235939643347,0.3034519997502654,0.787489963795862
PP2A,CM,0.09310699588477367,0.42042595367514934,0.702492421298032
PP2A,EM,0.0541838134430727,0.7406651040135548,0.9258313800169435
PP2B,Naive,-0.23703703703703705,0.05412554437088812,0.433004354967105
PP2B,CM,-0.0271604938271605,0.1718416494982491,0.702492421298032
PP2B,EM,0.07962962962962963,0.3298324863902382,0.8910557085430265
PP4,Naive,0.0503968253968254,0.7794053486783001,0.9209006292445173
PP4,CM,0.01984126984126984,0.6449396617259611,0.7370738991153841
PP4,EM,-0.07222222222222222,0.6207539142254196,0.8910557085430265
Pex14,Naive,-0.07878352490421456,0.5830421857284438,0.8546499729951949
Pex14,CM,0.25191570881226055,0.009292202416196549,0.37168809664786195
Pex14,EM,0.06657088122605363,0.038367177357108484,0.7673435471421697
REV1ctd,Naive,-0.035590277777777776,0.49218122737241377,0.787489963795862
REV1ctd,CM,-0.14930555555555555,0.5041604378825626,0.702492421298032
REV1ctd,EM,-0.25,0.30517515713136145,0.8910557085430265
SH2,Naive,0.09527089072543618,0.23690237907184475,0.787489963795862
SH2,CM,0.05176767676767677,0.4210110622900285,0.702492421298032
SH2,EM,0.16792929292929293,0.010556422168042756,0.42225688672171025
SH3,Naive,-0.05727023319615913,0.08225435960770056,0.5483623973846704
SH3,CM,-0.13151577503429357,0.15653816304559698,0.702492421298032
SH3,EM,-0.02417695473251029,0.826252314522437,0.9296833227595881
SUMO,Naive,0.08861111111111111,0.361835776520815,0.787489963795862
SUMO,CM,0.06208333333333333,0.5695069438970227,0.702492421298032
SUMO,EM,-0.06319444444444444,0.5775956355491862,0.8910557085430265
TRAF2like,Naive,-0.02016129032258064,0.8518330820511786,0.9209006292445173
TRAF2like,CM,-0.12410394265232974,0.5568717747127065,0.702492421298032
TRAF2like,EM,-0.22356630824372759,0.1521231613310482,0.8910557085430265
TRAF6,Naive,0.11234567901234568,0.4558349902846207,0.787489963795862
TRAF6,CM,-0.04722222222222222,0.8229443318563647,0.8662571914277523
TRAF6,EM,0.04444444444444444,0.8905315536718423,0.9296833227595881
TRFH,Naive,-0.00806451612903226,0.9730990409957624,0.9756116803254722
TRFH,CM,0.13709677419354838,0.47322052260014424,0.702492421298032
TRFH,EM,0.03942652329749104,0.9296833227595881,0.9296833227595881
TYR,Naive,-0.1586021505376344,0.27134520112599114,0.787489963795862
TYR,CM,-0.00313620071684588,0.558904165816607,0.702492421298032
TYR,EM,0.12007168458781362,0.5789157205547277,0.8910557085430265
UBA3,Naive,0.14080459770114942,0.17914502164621093,0.787489963795862
UBA3,CM,-0.032088122605363985,0.9199081766504084,0.9373790405003405
UBA3,EM,0.020593869731800767,0.9228148866220319,0.9296833227595881
USP7,Naive,0.0003205128205128211,0.9709993278194009,0.9756116803254722
USP7,CM,-0.02414529914529915,0.7443902170934182,0.8047461806415331
USP7,EM,0.06388888888888888,0.1799936505136941,0.8910557085430265
WD40,Naive,0.14284188034188033,0.0319934959506355,0.319934959506355
WD40,CM,0.011645299145299142,0.44383755157967,0.702492421298032
WD40,EM,-0.021367521367521368,0.655739855215947,0.8910557085430265
WRC,Naive,0.11182950191570881,0.3332469542270373,0.787489963795862
WRC,CM,0.12380268199233717,0.3287513895440587,0.702492421298032
