ELM,contrast,effect_ts1,effect_ts2,diff,pvalue,qvalue
PP2A,EM_vs_CM,0.0541838134430727,0.09310699588477367,-0.03892318244170097,0.8408519073502987,1.0
PP2B,EM_vs_CM,0.07962962962962963,-0.0271604938271605,0.10679012345679013,0.3436832989964982,0.9599661360730352
PP4,EM_vs_CM,-0.07222222222222222,0.01984126984126984,-0.09206349206349206,1.0,1.0
Pex14,EM_vs_CM,0.06657088122605363,0.25191570881226055,-0.1853448275862069,0.018584404832393098,0.42225688672171025
REV1ctd,EM_vs_CM,-0.25,-0.14930555555555555,-0.10069444444444445,0.6103503142627229,1.0
SH2,EM_vs_CM,0.16792929292929293,0.05176767676767677,0.11616161616161616,0.021112844336085512,0.42225688672171025
SH3,EM_vs_CM,-0.02417695473251029,-0.13151577503429357,0.10733882030178328,0.31307632609119396,0.9599661360730352
SUMO,EM_vs_CM,-0.06319444444444444,0.06208333333333333,-0.12527777777777777,1.0,1.0
TRAF2like,EM_vs_CM,-0.22356630824372759,-0.12410394265232974,-0.09946236559139784,0.3042463226620964,0.9599661360730352
TRAF6,EM_vs_CM,0.04444444444444444,-0.04722222222222222,0.09166666666666666,1.0,1.0
TRFH,EM_vs_CM,0.03942652329749104,0.13709677419354838,-0.09767025089605734,0.9464410452002885,1.0
TYR,EM_vs_CM,0.12007168458781362,-0.00313620071684588,0.1232078853046595,1.0,1.0
UBA3,EM_vs_CM,0.020593869731800767,-0.032088122605363985,0.05268199233716475,1.0,1.0
USP7,EM_vs_CM,0.06388888888888888,-0.02414529914529915,0.08803418803418803,0.3599873010273882,0.9599661360730352
WD40,EM_vs_CM,-0.021367521367521368,0.011645299145299142,-0.03301282051282051,0.88767510315934,1.0
WRC,EM_vs_CM,0.11877394636015326,0.12380268199233717,-0.005028735632183909,0.6575027790881174,1.0
WW,EM_vs_CM,0.06481481481481481,-0.06139770723104057,0.12621252204585537,0.6356830888079366,1.0
14-3-3,Naive_vs_CM,0.11316872427983539,0.1589506172839506,-0.04578189300411521,0.1606783721641034,0.7591480279763081
ANK,Naive_vs_CM,0.15412186379928317,-0.18727598566308243,0.3413978494623656,0.03502426603273201,0.3502426603273201
APCC,Naive_vs_CM,0.23958333333333334,0.3125,-0.07291666666666666,0.3085986792162283,1.0
Actin,Naive_vs_CM,0.08422939068100359,-0.19937275985663083,0.28360215053763443,0.4557822589823215,1.0
Arc,Naive_vs_CM,0.17383512544802868,0.15008960573476704,0.023745519713261637,0.6374334682903797,1.0
BIR,Naive_vs_CM,-0.011904761904761904,0.09166666666666666,-0.10357142857142856,0.7183492123634441,1.0
BRCT,Naive_vs_CM,0.045737547892720304,0.10871647509578544,-0.06297892720306514,0.7914511972891178,1.0
CDC14,Naive_vs_CM,0.2612847222222222,-0.056423611111111105,0.3177083333333333,0.007111040272541613,0.24779206443190796
CKS1,Naive_vs_CM,0.2013888888888889,0.2508680555555556,-0.049479166666666685,0.5449266634624794,1.0
CYCLIN,Naive_vs_CM,0.05572702331961591,0.08127572016460904,-0.025548696844993134,0.18978700699407702,0.7591480279763081
Clathr,Naive_vs_CM,0.1868279569892473,0.037634408602150546,0.14919354838709675,0.4571576304571485,1.0
EVH1,Naive_vs_CM,0.08154121863799282,0.03763440860215054,0.043906810035842285,1.0,1.0
FHA,Naive_vs_CM,0.16419753086419753,-0.011213991769547325,0.17541152263374485,0.013330545936898641,0.24779206443190796
IRF7,Naive_vs_CM,0.15711805555555555,-0.15885416666666669,0.3159722222222222,0.32298911619494364,1.0
Integrin,Naive_vs_CM,0.1909722222222222,0.1779513888888889,0.013020833333333315,0.9743701430876186,1.0
LIR,Naive_vs_CM,0.0009259259259259238,0.09639917695473252,-0.09547325102880659,0.18356959760108338,0.7591480279763081
LYPXL,Naive_vs_CM,0.03906249999999999,-0.1388888888888889,0.1779513888888889,1.0,1.0
MAPK,Naive_vs_CM,-0.013888888888888888,-0.004578754578754576,-0.009310134310134312,1.0,1.0
MSH2,Naive_vs_CM,0.2048611111111111,0.23177083333333331,-0.02690972222222221,0.6549626908410398,1.0
NRBOX,Naive_vs_CM,0.2013888888888889,0.2508680555555556,-0.049479166666666685,0.5449266634624794,1.0
NRP,Naive_vs_CM,0.1032986111111111,-0.0998263888888889,0.203125,0.3711124489647062,1.0
PDZ,Naive_vs_CM,-0.0144993894993895,-0.05692918192918193,0.04242979242979243,1.0,1.0
PP1,Naive_vs_CM,-0.19618055555555558,0.09809027777777779,-0.29427083333333337,0.918908326753636,1.0
PP2A,Naive_vs_CM,0.1032235939643347,0.09310699588477367,0.010116598079561029,0.6069039995005308,1.0
PP2B,Naive_vs_CM,-0.23703703703703705,-0.0271604938271605,-0.20987654320987653,0.10825108874177625,0.721673924945175
PP4,Naive_vs_CM,0.0503968253968254,0.01984126984126984,0.030555555555555558,1.0,1.0
Pex14,Naive_vs_CM,-0.07878352490421456,0.25191570881226055,-0.33069923371647514,0.018584404832393098,0.24779206443190796
REV1ctd,Naive_vs_CM,-0.035590277777777776,-0.14930555555555555,0.11371527777777778,0.9843624547448275,1.0
SH2,Naive_vs_CM,0.09527089072543618,0.05176767676767677,0.04350321395775941,0.4738047581436895,1.0
SH3,Naive_vs_CM,-0.05727023319615913,-0.13151577503429357,0.07424554183813445,0.1645087192154011,0.7591480279763081
SUMO,Naive_vs_CM,0.08861111111111111,0.06208333333333333,0.026527777777777782,0.72367155304163,1.0
TRAF2like,Naive_vs_CM,-0.02016129032258064,-0.12410394265232974,0.1039426523297491,1.0,1.0
TRAF6,Naive_vs_CM,0.11234567901234568,-0.04722222222222222,0.1595679012345679,0.9116699805692414,1.0
TRFH,Naive_vs_CM,-0.00806451612903226,0.13709677419354838,-0.14516129032258063,0.9464410452002885,1.0
TYR,Naive_vs_CM,-0.1586021505376344,-0.00313620071684588,-0.15546594982078854,0.5426904022519823,1.0
UBA3,Naive_vs_CM,0.14080459770114942,-0.032088122605363985,0.1728927203065134,0.35829004329242187,1.0
USP7,Naive_vs_CM,0.0003205128205128211,-0.02414529914529915,0.02446581196581197,1.0,1.0
WD40,Naive_vs_CM,0.14284188034188033,0.011645299145299142,0.1311965811965812,0.063986991901271,0.511895935210168
WRC,Naive_vs_CM,0.11182950191570881,0.12380268199233717,-0.011973180076628356,0.6575027790881174,1.0
WW,Naive_vs_CM,-0.07418430335097001,-0.06139770723104057,-0.012786596119929439,0.6356830888079366,1.0
14-3-3,Naive_vs_EM,0.11316872427983539,0.08727709190672153,0.025891632373113857,0.5807732258602165,1.0
