ELM,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars
PTB,25,327,148815.5,0.8170882185843584,0.011318382602786272,294300,3.2617670893158364,0.5286559533895834,-1.3844146358821194,-1.6207526803963792,Naive_Low,0.9051042117652223,
Pex14,32,320,184680.0,0.9644094651888054,0.001953125,368640,1.3143367690917547,0.6636121793136048,-2.1026436120820184,-1.5634854086113212,Naive_Low,0.9644094651888054,
REV1ctd,12,340,64477.0,0.07801254026726187,-0.12204520697167756,146880,-4.238910419139563,0.897887055944013,-7.338478464797149,-1.574068795032991,Naive_Low,0.4984571010665352,
SH2,194,158,604605.0,0.00014897243160808172,0.09582300230545043,1103472,1.7821742790320168,-0.5780198489931745,-1.1221526505974353,-2.999222456943934,Naive_Low,0.007299649148796004,**
SH3,121,231,511119.0,0.5478090022358437,0.01590282995241673,1006236,1.1221834129634738,0.5135518658991749,-1.4578016953147466,-1.7072572853513561,Naive_Low,0.7660108509969227,
SUMO,43,309,256893.5,0.05341207529372034,0.07412215783179883,478332,2.396535615621991,0.4898499757914049,-1.1991569798946218,-1.7028123254082494,Naive_Low,0.4361986148987161,
TRAF2like,30,322,178720.0,0.5362815911929268,0.02783528870485392,347760,2.296008947736856,0.5761938060844224,-1.1607099814804163,-1.662375561981388,Naive_Low,0.7660108509969227,
TRAF4,9,343,58117.0,0.5642348104637389,0.04590936903862074,111132,-0.7959238334865452,0.7626180422526782,-1.0374683743908448,-1.6327570709306567,Naive_Low,0.7660108509969227,
TRAF6,19,333,127222.0,0.03522893567195179,0.11709955569604692,227772,4.5117325693229215,0.5065818473698325,-0.7557896648643381,-1.6574553668439989,Naive_Low,0.34524356958512753,
TRFH,9,343,51495.0,0.3574828143225306,-0.07326422632545082,111132,-1.8807802964825464,0.7910836637307076,-3.01460394844737,-1.5634854086113212,Naive_Low,0.7660108509969227,
TYR,43,309,253307.5,0.12335681721840495,0.059128387814321434,478332,1.6813252257548705,0.5893776352227519,-1.0776455767033424,-1.8218676214950773,Naive_Low,0.6044484043701843,
UBA3,27,325,166491.0,0.25216123509914057,0.05407407407407407,315900,4.646790594145777,0.3967733167672421,-1.8495227928428966,-1.6153197297776143,Naive_Low,0.7660108509969227,
USP7,166,186,547166.0,0.5386686222044876,-0.015477681334657626,1111536,0.09086974804112273,1.2867220205186203,-1.3816724764315125,-1.8033882378832093,Naive_Low,0.7660108509969227,
WD40,194,158,560645.5,0.5227383846647151,0.016148121565386343,1103472,0.8436071306680312,0.5743980420360231,-1.4729505442412472,-1.8033882378832093,Naive_Low,0.7660108509969227,
WRC,27,325,159869.0,0.7969983662118355,0.012149414371636594,315900,0.8196222249209905,0.714722688979763,-1.5468452691884989,-1.6185555443735544,Naive_Low,0.9051042117652223,
WW,133,219,533228.0,0.5105125826532018,0.01705557653647055,1048572,0.8623820807206725,0.6379810833581748,-1.20759845598279,-1.8334732444619641,Naive_Low,0.7660108509969227,
deltaCOP1,6,346,34828.0,0.4839009968975124,-0.06797259687433098,74736,-2.6299157687866224,0.7809080017456923,-2.504326672863069,-1.5819207849329198,Naive_Low,0.7660108509969227,
eIF4E,8,344,52860.0,0.4261939187917788,0.06710271317829457,99072,4.993683478472086,0.6234453667543983,-2.2054176738639772,-1.6153197297776143,Naive_Low,0.7660108509969227,
14-3-3,121,231,526384.0,0.08049057024398444,0.04624362475602145,1006236,0.6087424526459629,-1.0259435499107794,-1.6968897315639595,-2.807193571814181,CM_High,0.39440379419552374,
ANK,8,344,53439.0,0.35012477908040107,0.07879118217054264,99072,0.48159477799398376,-0.4860112833813383,-1.2043046199727758,-2.5108638908718883,CM_High,0.6616857122089338,
APCC,11,341,73919.0,0.18932021291623446,0.09480434847003762,135036,-0.09087370530822181,-0.47605722141008244,-1.0253364742418345,-2.5422312207410145,CM_High,0.545687672523264,
Actin,7,345,39978.0,0.3721966829247869,-0.0803312629399586,86940,-1.4325932344730408,-0.44436803077657194,-2.8494645556834537,-2.4475367358610445,CM_High,0.6616857122089338,
Arc,70,282,365633.5,0.3565616252089344,0.029025948440842057,710640,0.2527503895606936,-0.6419420231506281,-2.2736069311707814,-2.558017409923689,CM_High,0.6616857122089338,
BIR,48,304,258427.0,0.6601822032951432,-0.016100907651072124,525312,-0.17021015124125347,-0.5104113026304223,-3.302155799614132,-2.2857163742168076,CM_High,0.854492104562669,
BRCT,41,311,266540.5,3.823155215931348e-05,0.1613054313822881,459036,1.8180110679890706,-0.7648668072243745,-0.5968786034978109,-2.9188874063153727,CM_High,0.0018733460558063603,**
CDC14,5,347,28306.5,0.37810612126224785,-0.093611911623439,62460,-2.43007342305052,-0.4356909398961841,-2.92791330655563,-2.4475367358610445,CM_High,0.6616857122089338,
CKS1,22,330,121644.5,0.1829153664989217,-0.06914217936945209,261360,-2.453659525718859,-0.33137761725276854,-2.9309964849076104,-2.4475367358610445,CM_High,0.545687672523264,
CSL,5,347,34762.0,0.28693197577593776,0.11309638168427794,62460,0.6950437189959066,-0.48072144626572944,-0.7341256514552154,-2.537103892376785,CM_High,0.639075764228225,
CYCLIN,38,314,226750.0,0.16859049225131384,0.05575110813126234,429552,-0.2992952190662398,-0.4839551112570428,-1.6911533542537116,-2.6214330256827587,CM_High,0.545687672523264,
Clathr,7,345,51158.0,0.04943851957098943,0.17685760294455946,86940,8.353602391011865,-0.6429285217284396,-0.7881824174364968,-2.5422312207410145,CM_High,0.26916527321983136,
