ELM,tsubset,cliff_delta,pvalue,qvalue
TRFH,CM,0.09804556743332253,0.08397777622500668,0.20574555175126638
TRFH,EM,0.06315012777597812,0.49364745655867703,0.7801491489759567
TYR,Naive,0.04203670254133113,0.23886283270873865,0.6160146738277996
TYR,CM,0.08034377796175042,0.0044202515574565115,0.03890828632015958
TYR,EM,0.1274742229246632,6.542797943431822e-06,0.00032059709922815927
UBA3,Naive,-0.040414688192465964,0.008448161091061945,0.10348997336550883
UBA3,CM,-0.019870212092434315,0.8119792081201167,0.8649343738670808
UBA3,EM,0.009531497309275086,0.9501717579002684,0.9806487256077053
USP7,Naive,-0.01735031523945243,0.5821664679213803,0.9201986105854075
USP7,CM,-0.0006702436988095754,0.9765643781033467,0.9942345410065623
USP7,EM,0.02145454578169308,0.4299624025954393,0.7801491489759567
WD40,Naive,0.002521133295634143,0.7123069371937792,0.9470565604517563
WD40,CM,0.04471250743109023,0.003450514896951584,0.03890828632015958
WD40,EM,0.019855057491263938,0.1027025384333008,0.32517423016986985
WRC,Naive,0.005371953149730928,0.9733292960830399,0.9733292960830399
WRC,CM,0.051807534029756255,0.07072483936396035,0.1936583439364027
WRC,EM,0.08890471668249446,0.020028563703343494,0.1516695205722042
WW,Naive,0.02411279339902267,0.3679632973931557,0.6978171787638581
WW,CM,0.04427497587194775,0.008789575128480664,0.04306891812955525
WW,EM,0.010299245068531297,0.8262636324747104,0.9806487256077053
deltaCOP1,Naive,0.02476718047527296,0.3515682425909695,0.6978171787638581
deltaCOP1,CM,0.09133483194176836,0.3750255488380161,0.5404779968547879
deltaCOP1,EM,0.05590344679940056,0.10617934046363098,0.32517423016986985
eIF4E,Naive,-0.048621204780361756,0.10543570204071773,0.5696035708667807
eIF4E,CM,-0.0873405200258398,0.28168380609152055,0.4731661428325539
eIF4E,EM,-0.08570534560723514,0.3019519142443343,0.6619513782571554
