motif,contrast,log_effect,se_log_effect,z,logFC,pvalue,qvalue,neglog10_q
ANK,PD1Low-PD1High pooled_Tsubset,0.17937035002784352,0.08331698705342515,2.1528664966344295,0.2587767144676874,0.03132917223194085,0.08748894662852565,1.058046812365891
PP2A,PD1Low-PD1High pooled_Tsubset,0.18022583482472054,0.08411234009460405,2.14268007074841,0.2600109181416978,0.03213879672068289,0.08748894662852565,1.058046812365891
TRAF6,PD1Low-PD1High pooled_Tsubset,0.1506008402865311,0.0721142017503171,2.0883659061769877,0.21727108543508922,0.0367648404900375,0.09481458863220196,1.0231248348664352
BRCT,PD1Low-PD1High pooled_Tsubset,-0.0820524643704944,0.04064590129184733,-2.0187143540338304,-0.11837668344003065,0.04351691720839531,0.1066164471605685,0.9721757938075721
TRFH,PD1Low-PD1High pooled_Tsubset,0.29155624176100114,0.15514564432632677,1.8792421986901167,0.42062674412882006,0.060211430083512145,0.13892441161537863,0.8572214339000453
LIR,PD1Low-PD1High pooled_Tsubset,0.038257149056050266,0.020528339053715084,1.8636261295151757,0.05519339922171361,0.06237422562323122,0.13892441161537863,0.8572214339000453
LYPXL,PD1Low-PD1High pooled_Tsubset,0.08856655616103659,0.05501292822133142,1.609922595007307,0.12777453136214137,0.10741475559692655,0.2288401314891044,0.6404678113653101
CKS1,PD1Low-PD1High pooled_Tsubset,0.1491686513653513,0.09627682417076777,1.5493723712860368,0.21520487358088702,0.12129223148173723,0.24109694919994207,0.61780828507677
SH2,PD1Low-PD1High pooled_Tsubset,0.02537677299491381,0.016454198769865945,1.5422673172873405,0.03661094455352712,0.12300864755099086,0.24109694919994207,0.61780828507677
NRP,PD1Low-PD1High pooled_Tsubset,0.10503116700670173,0.0691967866123452,1.5178619145294736,0.1515279437793491,0.12904921282835663,0.24320813186882598,0.6140219081545799
SUMO,PD1Low-PD1High pooled_Tsubset,0.03548379744978092,0.029413138966897717,1.2063927447429283,0.05119229861270738,0.2276660921929985,0.41317179694284917,0.3838693310297698
Arc,PD1Low-PD1High pooled_Tsubset,-0.0416153017831028,0.0397476098879635,-1.046988784996224,-0.060038189507580046,0.2951047507241641,0.5164333137672872,0.28698575029669365
MYND,PD1Low-PD1High pooled_Tsubset,-0.07611849824990935,0.07763086695099038,-0.980518461786137,-0.10981577994505946,0.32683026109338376,0.5522304411577864,0.25787965698241083
APCC,PD1Low-PD1High pooled_Tsubset,-0.042968640925651,0.04825579551481765,-0.8904348268894842,-0.061990645177175265,0.37323244886719986,0.6003241610819772,0.221614177361398
Integrin,PD1Low-PD1High pooled_Tsubset,-0.08357939608342368,0.09516361087804993,-0.878270541778084,-0.1205795802500498,0.3797969182355365,0.6003241610819772,0.221614177361398
TRAF4,PD1Low-PD1High pooled_Tsubset,-0.0652777217176097,0.07687160775187221,-0.8491785670505878,-0.09417584540252531,0.39578193755617597,0.6060410918828945,0.21749792802353898
TRAF2like,PD1Low-PD1High pooled_Tsubset,-0.03358469982054546,0.041240991262362525,-0.8143523904866862,-0.048452479880845396,0.4154431045460468,0.6168700643259484,0.20980630483059273
USP7,PD1Low-PD1High pooled_Tsubset,-0.01705988077049636,0.024039272686134608,-0.7096670932284974,-0.024612205385752088,0.47791060291262055,0.6767308069604038,0.16958405258647521
Actin,PD1Low-PD1High pooled_Tsubset,0.06298515320068188,0.08986607106742482,0.7008780116071315,0.09086836817225537,0.4833791478288598,0.6767308069604038,0.16958405258647521
