motif,phenotype_p,phenotype_q,log_effect,se_log_effect,z,logFC,pvalue,qvalue,neglog10_q
FHA,EM_High,CM_High,-0.017266610100833524,0.017596033521980733,-0.9812785409430086,-0.02491045276543581,0.3264554019667468,0.571296953441807,0.24313809189768637
TRAF4,EM_High,CM_High,0.12166507903776275,0.1297124060557788,0.9379602363203752,0.1755256061771441,0.34826484531317925,0.5884474972533029,0.23029227992395365
CKS1,EM_High,CM_High,-0.16094587835941476,0.18544675706560243,-0.8678818702797786,-0.23219582056064603,0.38545900483230966,0.6295830412261058,0.20094697887185767
Integrin,EM_High,CM_High,-0.13178736529978075,0.15731139240778078,-0.8377483873396979,-0.19012897836981596,0.40217203142475044,0.6300309225630262,0.20063813440528114
PP2B,EM_High,CM_High,-0.1303761131663168,0.15873455102311304,-0.8213467850949034,-0.18809297191542357,0.41144876575544564,0.6300309225630262,0.20063813440528114
WD40,EM_High,CM_High,0.019780898263607627,0.02604251251670495,0.7595618222673095,0.028537803829235833,0.4475165469493093,0.6451916536064666,0.1903112594109449
TYR,EM_High,CM_High,0.05750164995514917,0.07573163248922583,0.7592817963263871,0.0829573452332268,0.4476840045432625,0.6451916536064666,0.1903112594109449
GBD,EM_High,CM_High,0.14510786025119193,0.2199960931207804,0.6595928963680553,0.20934639037840333,0.5095151140757213,0.7078467891412928,0.1500607335969637
DLG,EM_High,CM_High,0.09721602439710553,0.1511285149426128,0.64326725127962,0.14025307629264464,0.5200507022262559,0.7078467891412928,0.1500607335969637
WW,EM_High,CM_High,0.014721555905923445,0.024124431251662286,0.6102343202353863,0.021238715699645385,0.5417065980565068,0.7166260520434505,0.14470740765043777
MSH2,EM_High,CM_High,-0.060570482149879146,0.10280739054052852,-0.5891646683319053,-0.08738473422188413,0.5557508158704311,0.7166260520434505,0.14470740765043777
Pex14,EM_High,CM_High,-0.03879809209828844,0.07002083273449113,-0.5540935544912068,-0.05597381506615401,0.5795148210445156,0.7281083649020836,0.1378039795102095
MYND,EM_High,CM_High,-0.021653592704038715,0.04958052160081852,-0.43673587943216063,-0.031239530811546096,0.662302905446077,0.7797986573131973,0.10801751693204353
CDC14,EM_High,CM_High,-0.14261325319639304,0.3331376106883593,-0.4280911209686368,-0.20574743315147834,0.6685847809152496,0.7797986573131973,0.10801751693204353
PP2A,EM_High,CM_High,-0.02169292675704315,0.05116009161606314,-0.4240204829936632,-0.03129627785475366,0.6715508752448152,0.7797986573131973,0.10801751693204353
UBA3,EM_High,CM_High,0.017478232576215225,0.042987935192600926,0.40658460328244783,0.025215759461209637,0.6843131074381119,0.7797986573131973,0.10801751693204353
MAPK,EM_High,CM_High,0.014969847530987276,0.0402799567449279,0.37164507464056046,0.021596924795819237,0.7101571243308817,0.7908567975503001,0.10190214818878948
NRP,EM_High,CM_High,-0.030855947218665775,0.09311966008274407,-0.3313580310672082,-0.044515722034300716,0.7403740622180013,0.8061850899707125,0.09356523818907468
SH2,EM_High,CM_High,-0.010322696207278548,0.03630872851050617,-0.284303434208433,-0.014892502626844072,0.7761778545708667,0.8267981494341842,0.08260050409533189
WRC,EM_High,CM_High,-0.01033728329616812,0.058506836783991864,-0.17668504852404734,-0.014913547347646066,0.8597557856511349,0.8963411382320342,0.047526670856703
eIF4E,EM_High,CM_High,0.008334235116368799,0.12448033722091524,0.06695222155108749,0.012023759671987919,0.9466197394812731,0.9663409840537996,0.014869600952252485
LIR,EM_High,CM_High,0.0005336472149134464,0.018266710517431558,0.0292141934588714,0.0007698901905398359,0.9766937613224275,0.9766937613224274,0.010241586348896062
