CCD,contrast,effect,EM_effect,CM_effect,overall_pvalue,overall_qvalue,max_pip,contrast_max_pip,Naive_effect,Low_effect,High_effect
HTR6-1,EM_vs_CM,0.4494928585853778,0.23953876663541895,-0.20995409194995884,0.0,0.0,1.0,1.0,,,
HTR6-1,Naive_vs_CM,-1.056676001435505,,-0.20995409194995884,0.0,0.0,1.0,1.0,-1.2666300933854637,,
HTR6-1,Naive_vs_EM,-1.5061688600208827,0.23953876663541895,,0.0,0.0,1.0,1.0,-1.2666300933854637,,
HTR6-1,PD1Low_vs_PD1High,1.509399180577341,,,0.0,0.0,1.0,1.0,,0.34235111738866925,-1.1670480631886717
HTR7-1,EM_vs_CM,-1.222056602289661,-0.6626917412062091,0.5593648610834521,0.0,0.0,1.0,1.0,,,
HTR7-1,Naive_vs_CM,-0.7967076055144868,,0.5593648610834521,0.0,0.0,1.0,1.0,-0.23734274443103476,,
HTR7-1,Naive_vs_EM,0.42534899677517435,-0.6626917412062091,,0.0,0.0,1.0,1.0,-0.23734274443103476,,
HTR7-1,PD1Low_vs_PD1High,1.0011960287522823,,,0.0,0.0,1.0,1.0,,0.38704147285821056,-0.6141545558940718
HTR7-2,EM_vs_CM,-0.05929239135432296,0.029135970528688437,0.0884283618830114,0.7825025849103501,0.7918498854126922,0.9755057032718581,0.9755057032718581,,,
HTR7-2,Naive_vs_CM,-0.13784165696242434,,0.0884283618830114,0.7825025849103501,0.7918498854126922,0.9755057032718581,0.9616261573490548,-0.049413295079412944,,
HTR7-2,Naive_vs_EM,-0.07854926560810138,0.029135970528688437,,0.7825025849103501,0.7918498854126922,0.9755057032718581,0.9755057032718581,-0.049413295079412944,,
HTR7-2,PD1Low_vs_PD1High,-0.24795823623039565,,,0.7825025849103501,0.7918498854126922,0.9755057032718581,0.9755057032718581,,-0.1012621056711022,0.14669613055929345
KISS1R-1,EM_vs_CM,1.0196208109471623,0.11243357156618888,-0.9071872393809735,0.0,0.0,1.0,1.0,,,
KISS1R-1,Naive_vs_CM,1.1033885988401544,,-0.9071872393809735,0.0,0.0,1.0,1.0,0.196201359459181,,
KISS1R-1,Naive_vs_EM,0.08376778789299211,0.11243357156618888,,0.0,0.0,1.0,1.0,0.196201359459181,,
KISS1R-1,PD1Low_vs_PD1High,-0.5326243644029307,,,0.0,0.0,1.0,1.0,,-0.4658296183199999,0.06679474608293083
LGR4-1,EM_vs_CM,-0.24875697222062199,-0.4371179416721104,-0.1883609694514884,0.0,0.0,1.0,1.0,,,
LGR4-1,Naive_vs_CM,0.42866782850651536,,-0.1883609694514884,0.0,0.0,1.0,1.0,0.24030685905502697,,
LGR4-1,Naive_vs_EM,0.6774248007271373,-0.4371179416721104,,0.0,0.0,1.0,1.0,0.24030685905502697,,
LGR4-1,PD1Low_vs_PD1High,-0.1521189681475794,,,0.0,0.0,1.0,1.0,,-0.20445016809664696,-0.052331199949067576
LGR5-1,EM_vs_CM,-0.2846929869891007,-0.14568240895649498,0.13901057803260575,0.0,0.0,1.0,1.0,,,
LGR5-1,Naive_vs_CM,-0.18262960861738486,,0.13901057803260575,0.0,0.0,1.0,1.0,-0.04361903058477912,,
LGR5-1,Naive_vs_EM,0.10206337837171586,-0.14568240895649498,,0.0,0.0,1.0,1.0,-0.04361903058477912,,
LGR5-1,PD1Low_vs_PD1High,-0.018897221904346246,,,0.0,0.0,1.0,1.0,,-0.026212231455062573,-0.007315009550716327
LGR5-2,EM_vs_CM,-0.13279337719781437,-0.03697603201397104,0.09581734518384333,0.797887697851975,0.8056427982577777,0.9745134696713899,0.9745134696713899,,,
LGR5-2,Naive_vs_CM,-0.09111772112326422,,0.09581734518384333,0.797887697851975,0.8056427982577777,0.9745134696713899,0.9745134696713899,0.004699624060579111,,
LGR5-2,Naive_vs_EM,0.04167565607455015,-0.03697603201397104,,0.797887697851975,0.8056427982577777,0.9745134696713899,0.9568164326838425,0.004699624060579111,,
LGR5-2,PD1Low_vs_PD1High,0.12304519549659432,,,0.797887697851975,0.8056427982577777,0.9745134696713899,0.9745134696713899,,0.08270291015844762,-0.04034228533814669
LGR6-1,EM_vs_CM,-0.32696460499961066,-0.09794370861804236,0.2290208963815683,6.413062509635538e-99,7.456756996497792e-99,1.0,1.0,,,
LGR6-1,Naive_vs_CM,-0.3810918384120442,,0.2290208963815683,6.413062509635538e-99,7.456756996497792e-99,1.0,1.0,-0.1520709420304759,,
LGR6-1,Naive_vs_EM,-0.05412723341243353,-0.09794370861804236,,6.413062509635538e-99,7.456756996497792e-99,1.0,1.0,-0.1520709420304759,,
LGR6-1,PD1Low_vs_PD1High,0.21078709621169836,,,6.413062509635538e-99,7.456756996497792e-99,1.0,1.0,,0.09839563001686587,-0.11239146619483249
LHCGR-1,EM_vs_CM,-0.2838245236514184,-0.0645978375884293,0.21922668606298912,8.935800527284227e-08,9.634417659417358e-08,0.9999964843884936,0.9999964843884936,,,
LHCGR-1,Naive_vs_CM,-0.2877800677822039,,0.21922668606298912,8.935800527284227e-08,9.634417659417358e-08,0.9999964843884936,0.9999747366350583,-0.06855338171921477,,
LHCGR-1,Naive_vs_EM,-0.003955544130785471,-0.0645978375884293,,8.935800527284227e-08,9.634417659417358e-08,0.9999964843884936,0.9999964843884936,-0.06855338171921477,,
LHCGR-1,PD1Low_vs_PD1High,-0.11814532625911434,,,8.935800527284227e-08,9.634417659417358e-08,0.9999964843884936,0.9999964843884936,,-0.030380840877775483,0.08776448538133885
LPAR1-1,EM_vs_CM,-0.12919962918671313,-0.13188497132718746,-0.002685342140474334,1.7049508920307229e-119,2.03019252806068e-119,1.0,1.0,,,
LPAR1-1,Naive_vs_CM,0.1070959117636866,,-0.002685342140474334,1.7049508920307229e-119,2.03019252806068e-119,1.0,1.0,0.10441056962321227,,
LPAR1-1,Naive_vs_EM,0.23629554095039973,-0.13188497132718746,,1.7049508920307229e-119,2.03019252806068e-119,1.0,1.0,0.10441056962321227,,
LPAR1-1,PD1Low_vs_PD1High,0.11201634568682232,,,1.7049508920307229e-119,2.03019252806068e-119,1.0,1.0,,0.04595492489526132,-0.066061420791561
LPAR1-2,EM_vs_CM,0.2562713413196184,-0.21306172011995406,-0.46933306143957243,0.0,0.0,1.0,1.0,,,
LPAR1-2,Naive_vs_CM,0.8381645345128771,,-0.46933306143957243,0.0,0.0,1.0,1.0,0.36883147307330466,,
LPAR1-2,Naive_vs_EM,0.5818931931932587,-0.21306172011995406,,0.0,0.0,1.0,1.0,0.36883147307330466,,
LPAR1-2,PD1Low_vs_PD1High,-0.4740351923132039,,,0.0,0.0,1.0,1.0,,-0.34153869898534256,0.13249649332786131
LPAR2-1,EM_vs_CM,-0.3745053163210289,-0.19888923689105986,0.17561607942996904,0.0,0.0,1.0,1.0,,,
LPAR2-1,Naive_vs_CM,-0.13661022935024658,,0.17561607942996904,0.0,0.0,1.0,1.0,0.03900585007972246,,
LPAR2-1,Naive_vs_EM,0.23789508697078232,-0.19888923689105986,,0.0,0.0,1.0,1.0,0.03900585007972246,,
LPAR2-1,PD1Low_vs_PD1High,0.22800991930371567,,,0.0,0.0,1.0,1.0,,0.11924919052473504,-0.10876072877898062
LPAR2-2,EM_vs_CM,-0.6046409924757326,-0.38724249171405034,0.2173985007616822,0.0,0.0,1.0,1.0,,,
LPAR2-2,Naive_vs_CM,-0.16227614147506453,,0.2173985007616822,0.0,0.0,1.0,1.0,0.055122359286617684,,
LPAR2-2,Naive_vs_EM,0.442364851000668,-0.38724249171405034,,0.0,0.0,1.0,1.0,0.055122359286617684,,
LPAR2-2,PD1Low_vs_PD1High,-0.1845603582665234,,,0.0,0.0,1.0,1.0,,-0.13052072302184517,0.05403963524467822
LPAR3-1,EM_vs_CM,0.3928653288249,0.07752459446522064,-0.31534073435967935,0.0,0.0,1.0,1.0,,,
LPAR3-1,Naive_vs_CM,0.2735633005264825,,-0.31534073435967935,0.0,0.0,1.0,1.0,-0.041777433833196875,,
LPAR3-1,Naive_vs_EM,-0.11930202829841752,0.07752459446522064,,0.0,0.0,1.0,1.0,-0.041777433833196875,,
LPAR3-1,PD1Low_vs_PD1High,0.08916425665424449,,,0.0,0.0,1.0,1.0,,-0.04861572958209629,-0.13777998623634077
