motif,tsubset,coef,se
Clathr,Low,-1.708845088271676,0.21427498829350825
FHA,Low,-0.11006590620107101,0.08965398988285957
LIR,Low,-0.3436647454452668,0.09426923557007004
LYPXL,Low,0.3805808164606923,0.13028511337204915
MAPK,Low,0.06438460164379375,0.09459489623440669
MYND,Low,-0.9556165408576862,0.15566562349750854
NRP,Low,0.031197068761834257,0.16204040908413123
PDZ,Low,-1.1731099176864446,0.19391316543341466
PP1,Low,-0.9186275693218175,0.1180343577293646
PP2A,Low,0.6130854230311165,0.16893328993533605
PP4,Low,-0.1153976745486665,0.15082578370124708
Pex14,Low,-0.11355240362671401,0.11542010475331528
SH2,Low,-0.020018657066637607,0.09712979010291876
SH3,Low,-0.7780196313691707,0.10599420047661749
SUMO,Low,0.312531363901006,0.12358217822831166
TYR,Low,0.33987932030530205,0.11134767572071524
USP7,Low,-0.9308575595293638,0.09903267151673041
WD40,Low,-0.1694165410412568,0.07646741895525798
WW,Low,0.5501791569350972,0.11658641357497736
