motif,contrast,log_effect,se_log_effect,z,logFC,pvalue,qvalue,neglog10_q
SH3,Naive_vs_CM,-0.10018643572662561,0.2762942225720914,-0.3626077838109145,-0.14453847398714365,0.71689789484494,0.860277473813928,0.06536144886075734
SH2,Naive_vs_CM,0.04966465904931544,0.20331734853998484,0.24427162465945831,0.07165095731788856,0.8070204581652318,0.8780240629107383,0.056493581763429924
UBA3,Naive_vs_CM,0.06979031582323005,0.32359762408982834,0.2156700501727317,0.10068614254024855,0.8292449483045862,0.8780240629107383,0.056493581763429924
USP7,Naive_vs_CM,0.03116336230405159,0.22203759952265067,0.14035173489106528,0.04495922825348129,0.88838209027422,0.88838209027422,0.051400205384123175
FHA,Naive_vs_EM,-0.23312168735420563,0.16933067670499108,-1.3767244771622311,-0.33632350226957985,0.16859744808905752,0.8925320894619236,0.0493761606211359
LIR,Naive_vs_EM,0.2578486367534089,0.2075517645761387,1.2423341101434924,0.37199694954412277,0.21411331512369136,0.8925320894619236,0.0493761606211359
WD40,Naive_vs_EM,-0.14804426603836318,0.11946605035137613,-1.2392162091483914,-0.21358272844559295,0.2152654393420903,0.8925320894619236,0.0493761606211359
SH3,Naive_vs_EM,0.24870265187420001,0.21106317491786006,1.178332752603519,0.35880208251484264,0.23866397535025263,0.8925320894619236,0.0493761606211359
WW,Naive_vs_EM,0.22419590710343545,0.19404136610360323,1.155402642257899,0.32344632336572904,0.24792558040608992,0.8925320894619236,0.0493761606211359
SUMO,Naive_vs_EM,-0.3675192312804073,0.45037888632745837,-0.8160223368312918,-0.5302181723995676,0.41448736047857926,0.9834763396070993,0.007236083839896054
BIR,Naive_vs_EM,0.11319037371825574,0.2167672087660235,0.5221747992355816,0.16329919083969602,0.601548630571288,0.9834763396070993,0.007236083839896054
PP1,Naive_vs_EM,0.2010482805367826,0.3969571103103005,0.5064735592709841,0.29005135730966936,0.6125242467340773,0.9834763396070993,0.007236083839896054
MAPK,Naive_vs_EM,-0.09546047010883091,0.21242821552090482,-0.44937754560875065,-0.13772034682693948,0.6531593265933078,0.9834763396070993,0.007236083839896054
