CCD,total_counts,g_statistic,df,pvalue,Naive_High_prop,Naive_Low_prop,CM_High_prop,CM_Low_prop,EM_High_prop,EM_Low_prop,Naive_High_effect,Naive_Low_effect,CM_High_effect,CM_Low_effect,EM_High_effect,EM_Low_effect,Naive_High_se,Naive_Low_se,CM_High_se,CM_Low_se,EM_High_se,EM_Low_se,qvalue,Naive_High_pip,Naive_Low_pip,CM_High_pip,CM_Low_pip,EM_High_pip,EM_Low_pip,max_pip,Naive_High_ci_excludes_zero,Naive_Low_ci_excludes_zero,CM_High_ci_excludes_zero,CM_Low_ci_excludes_zero,EM_High_ci_excludes_zero,EM_Low_ci_excludes_zero,significant_pip
GABRR1-1,32,7.91939619524007,5,0.16073416558635395,0.0625,0.25,0.125,0.125,0.21875,0.21875,-1.1876033365401226,0.6182520404116445,-0.3993845726751899,0.04736360155912456,0.7515282424360448,-0.20701581223334387,0.7303025964845126,0.4082602309142525,0.5345306163706568,0.5345336390988717,0.42763226741208366,0.4276257097717401,0.16609197110589907,0.9540943830914705,0.9315856122951349,0.8858673493926549,0.8603821590184405,0.9524258612988861,0.8489392803176441,0.9540943830914705,False,False,False,False,True,False,True
GABRR3-1,47,155.07086317845486,5,1.1111647497608222e-31,0.0,0.0,0.0851063829787234,0.0425531914893617,0.8723404255319149,0.0,-12.295102796916975,-12.098745492219987,-0.8284030772962863,-1.1202868600739353,3.946700462881573,-12.749631307770233,145.86506445974962,145.86506446386284,0.5227470785301004,0.7226576974271245,0.4371145476464858,145.86506445308476,1.3248502785609802e-31,0.9385768020834775,0.938576801631259,0.9456627195194198,0.94991244713262,1.0,0.9385768031582054,1.0,False,False,False,False,True,False,True
GNRHR2-1,20390,1709.3270231547754,5,0.0,0.1383030897498774,0.18661108386463954,0.18288376655223149,0.1640019617459539,0.15899950956351153,0.16920058852378617,-0.3163106958157924,0.2516724547385476,0.05093728154017918,0.37557342003950955,0.36962894183329986,-0.5373314105661955,0.020500197798404177,0.018252731493837944,0.018360809584734218,0.01923669481108603,0.019478358747966443,0.018858052142107107,0.0,1.0,1.0,0.915236755145773,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
GPR82-1,26219,4792.834249453119,5,0.0,0.1512262100003814,0.15172203363972692,0.30317708531980625,0.03638582707197071,0.08516724512757924,0.2723215988405355,-0.21105185339247323,-0.004471738686893323,0.7446999824274225,-1.3099735559297074,-0.36005662754510004,0.08597620606097756,0.01749132329158588,0.01750500247678793,0.01377342326371622,0.033164489059091355,0.02240643026808671,0.01411769277529326,0.0,1.0,0.18495869545665736,1.0,1.0,1.0,0.9999999499665346,1.0,True,False,True,True,True,True,True
GRIK1-2,3395,1580.333225219191,5,0.0,0.3260677466863034,0.26126656848306334,0.038880706921944036,0.024447717231222386,0.06362297496318114,0.2857142857142857,0.7987356538160799,0.6810651700315709,-1.6651076835570606,-1.6970708804417924,-0.6667960450350612,0.15033239006485632,0.03672893329399026,0.039191009883602405,0.08883091972588389,0.11118482904225728,0.07040197472410188,0.0380779991820468,0.0,1.0,1.0,1.0,1.0,1.0,0.9991305864682236,1.0,True,True,True,True,True,True,True
GRIK2-2,8194,2349.3788727634674,5,0.0,0.08847937515255065,0.1160605320966561,0.12460336831828167,0.04783988284110324,0.1768367097876495,0.4461801318037589,-0.8182873862414446,-0.31636328910354594,-0.4066671859622719,-1.0046983568545578,0.49262505210828134,0.8602574489737689,0.039010250443166125,0.03463263680837752,0.0335798630267647,0.051876558074450636,0.029168246975104607,0.022373910425422572,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
GRIK3-2,2397,1532.1805936455535,5,0.0,0.2886942010846892,0.0392156862745098,0.11347517730496454,0.01877346683354193,0.026282853566958697,0.5135586149353358,0.6209926234157733,-1.48448691242631,-0.5104830851918696,-1.965983537992455,-1.5904009775392352,1.1242966560422163,0.045168397604834445,0.10527238246708635,0.06446527471551376,0.15053015375972717,0.12772505387290542,0.04094653113858715,0.0,1.0,1.0,0.9999999999999672,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
HERPUD1-2,1182,2378.2422656912186,5,0.0,0.005922165820642978,0.09306260575296109,0.005922165820642978,0.0025380710659898475,0.0025380710659898475,0.8900169204737732,-3.604388933050876,-0.5606503538131193,-3.5783187311065054,-3.982193656269583,-3.9510043509357495,3.1618332555796735,0.3790999323788592,0.10016737831277849,0.3791001235057915,0.578094661465982,0.5780949099496406,0.09300273376566873,0.0,1.0,0.999999860338105,1.0,0.9999999994046245,0.9999999991946195,1.0,1.0,True,True,True,True,True,True,True
HTR3B-1,120,176.44961066686685,5,3.065959913156161e-36,0.6583333333333333,0.016666666666666666,0.025,0.016666666666666666,0.008333333333333333,0.275,2.1768461136202615,-2.3608622656149825,-2.117179112942419,-2.084413393607259,-2.7548282385857616,0.09657213974131029,0.1925020121110388,0.7130808688697661,0.5847127809101814,0.7130823948527552,1.0041989713756532,0.20445999310955265,3.80179029231364e-36,1.0,0.9978177589987781,0.9992661047587333,0.9946504705197036,0.9891654716074837,0.7382413451722851,1.0,True,True,True,True,True,False,True
MUL1-1,458,21.90534552172018,5,0.000545740908560922,0.17903930131004367,0.16812227074235808,0.18995633187772926,0.1331877729257642,0.1572052401746725,0.17248908296943233,-0.0023924311337735205,0.11791066953917806,0.09630295747958995,0.12028194888700039,0.34550970471812303,-0.5023838431757011,0.12191493047111107,0.12498575873166941,0.11915691273670713,0.13756550062544753,0.12842034123479373,0.12370674124158758,0.0006265914135329105,0.6035827254969791,0.7078994914083304,0.6728410858101369,0.7144477038680561,0.9828951719602678,0.9998153098617806,0.9998153098617806,False,False,False,False,True,True,True
P2RX1-2,64251,3321.1124004176127,5,0.0,0.22776299201568848,0.12792018801263794,0.11803707335294392,0.14840235949635025,0.11981136480366064,0.2580660223187188,0.32867241702057126,-0.21914598577385136,-0.4991972167688421,0.27005279658397385,0.03293005026737128,0.010787324905297213,0.00989778981524877,0.012247533586755911,0.012599757575999666,0.011677607117503189,0.012684661685088524,0.009406178400365218,0.0,1.0,1.0,1.0,1.0,0.8222413119915607,0.18554832336134397,1.0,True,True,True,True,True,False,True
P2RX3-1,433,904.8668652006277,5,2.353919965697479e-193,0.06466512702078522,0.03695150115473441,0.06235565819861432,0.03464203233256351,0.7367205542725174,0.06466512702078522,-1.1516285669923845,-1.5441506700792342,-1.16440306768678,-1.3345998826376053,3.056731463048047,-1.6062726774438914,0.1954276663573015,0.25477015607693476,0.19876817504508187,0.2628135057186271,0.10917406264971004,0.19542269037361487,3.172674736374863e-193,0.999999981607154,0.9999999927199186,0.9999999775999908,0.9999986157828216,1.0,0.9999999999999979,1.0,True,True,True,True,True,True,True
P2RX4-2,73829,2419.992892836129,5,0.0,0.21148871039835296,0.19138820788579014,0.13894269189613837,0.11783987322055019,0.09801026696826451,0.24233024963090385,0.22699960503213412,0.307191634300815,-0.30327435666788727,-0.021783933320906668,-0.21348336722515304,-0.08141591398190728,0.009528117771139133,0.009925120385706039,0.011074385838504076,0.011975943444081623,0.01290308585049357,0.009001431887047393,0.0,1.0,1.0,1.0,0.44001869425615553,1.0,1.0,1.0,True,True,True,True,True,True,True
P2RX6-2,306,21.69643816447654,5,0.0005979318047340727,0.16993464052287582,0.16339869281045752,0.17647058823529413,0.16993464052287582,0.1568627450980392,0.16339869281045752,-0.06563645249344674,0.08371258682154514,0.006096961862911421,0.40736388316534566,0.3428457522390336,-0.5673842252831043,0.15223773905378735,0.15464799662765413,0.14998489824607056,0.1522488373397964,0.15723078848546762,0.15463782364048137,0.0006619959266698661,0.6750443544979002,0.6898082419136803,0.65151574505623,0.9846940994525919,0.9530102551802231,0.9993108444580643,0.9993108444580643,False,False,False,True,True,True,True
RTN4-2,16037,1885.7206675110367,5,0.0,0.11835131258963646,0.15214815738604476,0.24711604414790797,0.07083619130760117,0.07501403005549666,0.336534264513313,-0.4961749903624413,-0.0010382454815101028,0.44269868495898357,-0.590187086853472,-0.4959471866266987,0.3958860484187823,0.02462263878253149,0.022211061298572313,0.018549628952091616,0.030975380016349256,0.030183652931860306,0.01691278986467812,0.0,1.0,0.21813034602829484,1.0,1.0,1.0,1.0,1.0,True,False,True,True,True,True,True
SLC11A1-2,30912,6007.938508386685,5,0.0,0.0811335403726708,0.09239130434782608,0.23217520703933747,0.19303183229813664,0.07783385093167702,0.32343426501035194,-0.9333520966491202,-0.58660359674176,0.3663757831671479,0.5911922248920853,-0.4628568450743269,0.3422622475478123,0.021039838636415526,0.01989462825386535,0.013806005133773077,0.014844385215032821,0.021523663935942947,0.01244006613642747,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
SLC20A2-1,181544,3385.8578790441597,5,0.0,0.14952848896135373,0.16416956770810381,0.17466839994712025,0.14383840831974617,0.1203344643722734,0.24746067069140262,-0.27677853505430505,0.1168462170950677,-0.008233518541822527,0.2784292837397371,0.04579164833772831,-0.05973846105865577,0.007347760880373516,0.0072817668094203895,0.00703309840715748,0.007811835186240048,0.008245909550966829,0.006171178511134524,0.0,1.0,1.0,0.14902406521023456,1.0,0.9999980549151565,1.0,1.0,True,True,False,True,True,True,True
TRAM1-2,247365,7099.306551137011,5,0.0,0.20088533139288098,0.1531542457502072,0.2024093950235482,0.11141430679360459,0.1161118185677036,0.21602490247205547,0.20716146445122874,0.009827335532970771,0.26138757772871046,-0.11900500099740996,-0.007721807921390322,-0.31617085899080055,0.006176835913437147,0.006734629229961262,0.006197131711449069,0.007595105990079655,0.007555812770672075,0.005748885501326139,0.0,1.0,0.19682958235125927,1.0,1.0,0.1378072164518705,1.0,1.0,True,False,True,True,False,True,True
XPR1-2,24738,872.1063567135045,5,2.895188865202229e-186,0.16411997736276174,0.13262996200177865,0.15607567305360176,0.15595440213436818,0.08682997817123454,0.30439000727625515,-0.1107383084236957,-0.16595163330718532,-0.14550716131165675,0.31564959232368417,-0.33778445651678535,0.24762570081496527,0.01742041391772464,0.019010997452429283,0.01777211162006779,0.017874741656228973,0.022854592804952754,0.014062668229995945,3.739618950886213e-186,0.9999999922829105,0.9999999999999998,0.9999999999999875,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
ZACN-1,2181,992.2686535851449,5,2.8357939907250176e-212,0.1228794131132508,0.25997248968363135,0.1192113709307657,0.02063273727647868,0.026134800550206328,0.4511691884456671,-0.44601835943630075,0.673020237934657,-0.4544513985237506,-1.8693425646028947,-1.595966635783462,0.8728284705616802,0.06528896609187164,0.0489186924450681,0.06614701638641306,0.15067289561294347,0.1342642648402763,0.04310816520776892,3.9958915323852524e-212,0.9999999999040073,1.0,0.9999999999272164,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
ZDHHC5-1,608,1848.0936113391285,5,0.0,0.004934210526315789,0.014802631578947368,0.9605263157894737,0.004934210526315789,0.004934210526315789,0.009868421052631578,-3.7870445396815624,-2.482018440299385,4.7425446699364,-3.314178371616431,-3.2829920956619185,-3.5435297738658935,0.5787873326161348,0.33584268788992677,0.20829719025665797,0.5787902492095547,0.5787904974020669,0.4102857573261884,0.0,0.9999999960202485,0.9999999999976594,1.0,0.9999997626201301,0.9999996950456547,0.9999999999999994,1.0,True,True,True,True,True,True,True
