ELM,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars
SH3,1,10,80.0,0.023678991553132214,-0.5555555555555556,360,-11.444466168514033,1.6508140148972454,-14.168533922466995,-1.4760624295189655,Naive_Low,0.3078268901907188,
SUMO,3,8,500.0,0.33112419267377824,0.1574074074074074,864,3.0027098021678986,-0.4930569282556591,-0.5305656964414409,-2.868591574433267,Naive_Low,0.727575876001359,
TRFH,1,10,187.0,0.8876157995010455,0.03888888888888889,360,2.6977990410221744,0.23658749394362502,-5.4374844076939866,-2.061964853987589,Naive_Low,0.9231204314810872,
UBA3,2,9,410.0,0.1551857459428003,0.2654320987654321,648,5.713731538456194,-0.7070876773837741,1.590817089366118,-2.5886679686882257,Naive_Low,0.44831437716808975,
USP7,6,5,471.0,0.3777072538007076,-0.12777777777777777,1080,-1.6890511241600619,3.039596145083758,-2.3452756987371046,-1.47804339924816,Naive_Low,0.727575876001359,
WD40,6,5,639.0,0.20463289486945502,0.18333333333333332,1080,2.393348776276128,-1.859283735439669,-0.30326569539672454,-3.50737780731828,Naive_Low,0.532045526660583,
WW,5,6,478.0,0.4283699505295109,-0.11481481481481481,1080,-1.112597269554423,1.7711100547050884,-2.8260426746014984,-1.4760624295189655,Naive_Low,0.727575876001359,
14-3-3,1,10,115.0,0.15377228095366646,-0.3611111111111111,360,-5.177620235912773,3.1509481957585184,-10.900863813973478,-0.4015186198245432,CM_High,0.607365730635842,
Actin,2,9,313.0,0.8614221328547261,-0.033950617283950615,648,7.5131804914619815,1.2561667487498278,-2.1472459644648296,-0.4015186198245432,CM_High,0.8958790181689151,
Arc,1,10,239.0,0.19721385612448541,0.3277777777777778,360,10.467359785873656,1.5864501935798754,8.97275535454903,-1.126135561811437,CM_High,0.607365730635842,
BIR,2,9,310.0,0.822415259699442,-0.043209876543209874,648,3.595286837837211,2.126809782888666,-0.6281682222909226,-1.126135561811437,CM_High,0.8958790181689151,
BRCT,2,9,385.0,0.31450124388422074,0.1882716049382716,648,8.783340889593829,0.973908882498307,1.0751340726982814,-1.3072638074921565,CM_High,0.607365730635842,
CYCLIN,2,9,270.0,0.37376352654513356,-0.16666666666666666,648,-2.056012573556874,3.3826540965317955,-2.4736641983530347,-0.4015186198245432,CM_High,0.607365730635842,
Clathr,2,9,268.0,0.3561655801176079,-0.1728395061728395,648,-2.228564792775646,3.4209990341359675,-1.5175782941309777,-0.3246321603894265,CM_High,0.607365730635842,
FHA,3,8,430.0,0.9827696574503945,-0.004629629629629629,864,5.248950544428482,1.323126261048371,-1.3072638074921565,-0.3246321603894265,CM_High,0.9827696574503945,
IRF7,1,10,115.0,0.15377228095366646,-0.3611111111111111,360,-5.177620235912773,3.1509481957585184,-10.900863813973478,-0.4015186198245432,CM_High,0.607365730635842,
LIR,6,5,468.0,0.3571747005430167,-0.13333333333333333,1080,0.7461115441252834,4.371038491384144,-1.5175782941309777,3.2988126448996278,CM_High,0.607365730635842,
MAPK,2,9,345.0,0.7332423380958718,0.06481481481481481,648,3.1320414781997425,2.229753196141437,-0.6767845245019625,-0.9176667990474401,CM_High,0.8958790181689151,
MSH2,1,10,189.0,0.8533666007885998,0.05,360,0.7204906503614809,2.561137107131093,-1.3072638074921565,-0.6465847402781313,CM_High,0.8958790181689151,
PDZ,2,9,387.0,0.2987711472735993,0.19444444444444445,648,3.7906250391666227,2.0834012937043522,0.09226199892456838,-1.5228056073863487,CM_High,0.607365730635842,
PP1,1,10,231.0,0.2674016887396052,0.2833333333333333,360,12.368193911587193,1.3963667810085219,1.0751340726982814,-1.3072638074921565,CM_High,0.607365730635842,
PP2B,1,10,92.0,0.04922950308989442,-0.4888888888888889,360,-9.698478017683687,3.6030339739356103,-10.182459579869187,-0.4015186198245432,CM_High,0.53513952590139,
PP4,1,10,191.0,0.8193791709788537,0.06111111111111111,360,1.0655950887990253,2.5266266632873386,-0.6767845245019625,-0.9176667990474401,CM_High,0.8958790181689151,
Pex14,2,9,429.0,0.08232915783098309,0.32407407407407407,648,9.61447666977948,0.7892120424570509,1.510444749999485,-1.7804363211355967,CM_High,0.53513952590139,
REV1ctd,1,10,190.0,0.8363371160832822,0.05555555555555555,360,5.198487867600461,2.1133373854071955,-0.8407839721921191,-0.9176667990474401,CM_High,0.8958790181689151,
SH2,8,3,450.0,0.8010707265028227,0.041666666666666664,864,3.062173108085427,0.6114922856629987,-0.6465847402781313,-2.4736641983530347,CM_High,0.8958790181689151,
SH3,1,10,92.0,0.04922950308989442,-0.4888888888888889,360,-9.698478017683687,3.6030339739356103,-10.182459579869187,-0.4015186198245432,CM_High,0.53513952590139,
SUMO,3,8,386.0,0.5124032286971218,-0.10648148148148148,864,0.24711942734972256,3.198812929952906,-1.5175782941309777,-0.3246321603894265,CM_High,0.7836755262426569,
TRFH,1,10,234.0,0.23939479346671305,0.3,360,6.860759427971765,1.9471102293700655,3.690993093689399,-1.3072638074921565,CM_High,0.607365730635842,
UBA3,2,9,270.0,0.37376352654513356,-0.16666666666666666,648,-2.056012573556874,3.3826540965317955,-2.4736641983530347,-0.4015186198245432,CM_High,0.607365730635842,
USP7,6,5,635.0,0.22362279512810102,0.17592592592592593,1080,6.543339236095974,-2.5856347389806857,-0.6726006785938519,-1.4783731510834195,CM_High,0.607365730635842,
WD40,6,5,685.0,0.06276667922260892,0.26851851851851855,1080,6.797559705672141,-2.8906993024720853,1.6908768090817845,-1.5175782941309777,CM_High,0.53513952590139,
WW,5,6,586.0,0.5579162041005691,0.08518518518518518,1080,2.7787448305122435,2.073022928185199,0.09226199892456838,-1.126135561811437,CM_High,0.8058789614785998,
14-3-3,1,10,224.0,0.3407403454997321,0.24444444444444444,360,12.505049573443713,-1.0128646293554664,2.3096140414749624,-2.3616816273861794,CM_Low,0.8417987709220319,
Actin,2,9,275.0,0.42005833451061914,-0.15123456790123457,648,0.5146967649372677,0.14966775000161292,-6.270619213112969,-1.8465773067252829,CM_Low,0.8417987709220319,
Arc,1,10,165.0,0.7524233874709814,-0.08333333333333333,360,-3.8548515950888134,0.6231254874977864,-3.552330940446035,-2.3616816273861794,CM_Low,0.9230572189603706,
BIR,2,9,378.0,0.37376352654513356,0.16666666666666666,648,6.565433764797679,-1.1949404721895898,-3.336304093125713,-2.3616816273861794,CM_Low,0.8417987709220319,
BRCT,2,9,301.0,0.7083552127553443,-0.07098765432098765,648,0.7494522001422673,0.09749987551161271,-5.705942861159283,-1.9657494823259851,CM_Low,0.9230572189603706,
CYCLIN,2,9,410.0,0.1551857459428003,0.2654320987654321,648,6.129591500264809,-1.0980866356267294,-1.0556801081725247,-3.6011660082774934,CM_Low,0.8417987709220319,
