motif,contrast,EM_coef,CM_coef,logFC,se,zscore,pvalue,Naive_coef,Low_coef,High_coef,qvalue
UBA3,EM_vs_CM,1.483962997195554,0.9190550293060389,0.564907967889515,0.3648176234985109,1.5484667721701248,0.12150995576497661,,,,0.5353543115505013
USP7,EM_vs_CM,0.18904214551217557,0.09086389766295658,0.098178247849219,0.22910225383749713,0.4285346224435535,0.6682619322095753,,,,0.8373906180230548
WD40,EM_vs_CM,-1.6524829316809482,-2.051315054228763,0.39883212254781486,0.2964108120858274,1.345538375409635,0.17845143718350043,,,,0.5353543115505013
WRC,EM_vs_CM,-2.1432880879932523,-1.5227749851312147,-0.6205131028620376,0.4478270390067958,-1.385608837372192,0.1658663782471782,,,,0.5353543115505013
WW,EM_vs_CM,-0.8958272751864281,-0.9907709245639347,0.09494364937750654,0.26588671376835366,0.35708309013222655,0.7210296032304788,,,,0.8373906180230548
14-3-3,Naive_vs_CM,,-0.3554825144819643,-0.2500143576693749,0.4104392115259754,-0.6091385780121846,0.5424325886621366,-0.6054968721513392,,,0.7440876973612184
BIR,Naive_vs_CM,,-1.0358033028279745,0.10318147710623127,0.33606831105914536,0.30702530917314647,0.7588241080452456,-0.9326218257217432,,,0.7599156470732334
BRCT,Naive_vs_CM,,-3.525765182668142,0.15558374871831582,0.3166891667655923,0.49128219416951563,0.623226871727368,-3.3701814339498264,,,0.7454529972363348
CYCLIN,Naive_vs_CM,,-1.3760470978589472,-0.899403279935979,0.3160053262797042,-2.846164938181753,0.004424926887610213,-2.275450377794926,,,0.013274780662830638
FHA,Naive_vs_CM,,-2.7359128208057903,0.23157355152778436,0.4044334053508667,0.5725875965336801,0.5669239598942616,-2.504339269278006,,,0.7440876973612184
LIR,Naive_vs_CM,,1.6177107818550063,0.5870650621267277,0.27895766765479013,2.104495162517706,0.03533527614812014,2.204775843981734,,,0.06745825446459298
MAPK,Naive_vs_CM,,0.10273265664795458,-0.13810053317652468,0.29436090183244834,-0.4691537915423706,0.6389597119168584,-0.0353678765285701,,,0.7454529972363348
PDZ,Naive_vs_CM,,0.2962922912133068,-0.69169487615566,0.3728275697112087,-1.8552675079566814,0.0635580356743379,-0.3954025849423533,,,0.11122656243009132
PP2A,Naive_vs_CM,,-2.1806015235612883,0.7347866384085857,0.41105971844281636,1.7875423094048655,0.07384988022290466,-1.4458148851527026,,,0.11929596036007675
PP2B,Naive_vs_CM,,-3.310488117505229,-1.766150600763539,0.4352470628341165,-4.057811646707568,4.953469214057853e-05,-5.076638718268768,,,0.0003467428449840497
PP4,Naive_vs_CM,,-2.812414092741402,1.0265949426822256,0.357773201489004,2.869401448766077,0.004112494671784156,-1.7858191500591765,,,0.013274780662830638
Pex14,Naive_vs_CM,,-2.8720987181317135,-0.09564480483709081,0.3129824812632936,-0.3055915604318777,0.7599156470732334,-2.9677435229688043,,,0.7599156470732334
SH2,Naive_vs_CM,,1.1473720386033377,-0.5464149487348194,0.22857949367119493,-2.3904810530415372,0.016826317313268162,0.6009570898685183,,,0.03533526635786314
SH3,Naive_vs_CM,,0.05467172153915422,0.9213202246806179,0.3710386636717707,2.4830841496767544,0.013025031449669391,0.9759919462197721,,,0.03039174004922858
SUMO,Naive_vs_CM,,0.6217139731540343,-0.8272317974945644,0.2521779685513563,-3.280349200394553,0.0010367867357710494,-0.20551782434053018,,,0.0054431303627980095
TRAF6,Naive_vs_CM,,1.097203193586315,2.3168086751509915,0.46283211671979246,5.005721494806361,5.565317572274115e-07,3.4140118687373064,,,1.1687166901775642e-05
UBA3,Naive_vs_CM,,0.9190550293060389,1.5658575064125035,0.36444306819587624,4.29657645613637,1.7345615986780187e-05,2.4849125357185424,,,0.00018212896786119195
