motif,contrast,log_effect,se_log_effect,z,logFC,pvalue,qvalue,neglog10_q
WW,EM_vs_CM,-0.012982776519605277,0.045603809814328794,-0.28468622627064083,-0.01873018730180421,0.7758845440310083,0.8968705824394808,0.04727022070996306
ANK,EM_vs_CM,-0.06938732539788148,0.2897867231962714,-0.23944273441018107,-0.10010475025207242,0.8107622962760074,0.8968705824394808,0.04727022070996306
IRF7,EM_vs_CM,0.0232348408576325,0.09948690612264163,0.23354672251029646,0.03352078968115068,0.8153368931268007,0.8968705824394808,0.04727022070996306
NRP,EM_vs_CM,-0.012001549299794162,0.06162077605659295,-0.19476465678997382,-0.01731457565779745,0.8455771921804875,0.9074486940473525,0.04217792003510731
FHA,EM_vs_CM,-0.004705979516448411,0.031014734194777956,-0.15173367235372828,-0.0067892933109051645,0.879396997957155,0.9212730454789243,0.035611635198945966
DLG,EM_vs_CM,0.01248459680088311,0.12755114424769373,0.09787914388787497,0.018011465892132282,0.9220282612196521,0.9434707789224347,0.02527154621369221
Pex14,EM_vs_CM,-0.003000316923858659,0.06969840792637637,-0.04304713713156756,-0.004328542347146117,0.9656639586579677,0.9656639586579678,0.015173977404976098
deltaCOP1,Naive_vs_CM,-0.6677922048513665,0.09575693753711283,-6.973825834734408,-0.9634205022833732,3.0843588952562304e-12,1.3571179139127413e-10,9.867382416793541
BIR,Naive_vs_CM,-0.04868273297117056,0.008095618885971701,-6.013466500446219,-0.0702343374344294,1.8159747169262382e-09,3.995144377237724e-08,7.398467521455204
MYND,Naive_vs_CM,0.29519206145377147,0.07269491443574194,4.060697556975653,0.42587212316914624,4.8926317435872915e-05,0.0007175859890594695,3.1441260495257843
TRAF4,Naive_vs_CM,0.21932944806306048,0.0634082758822771,3.45900349774948,0.3164255070414908,0.0005421778637450071,0.0052743328917852815,2.277832462994817
PDZ,Naive_vs_CM,0.13432192546808197,0.03913916603186717,3.4319056609105276,0.19378557575545882,0.0005993560104301456,0.0052743328917852815,2.277832462994817
Actin,Naive_vs_CM,-0.10500932081510456,0.0316503470487684,-3.3177936612606826,-0.15149642638706956,0.0009073148350359819,0.006653642123597201,2.1769405620374873
BRCT,Naive_vs_CM,-0.08945204343421567,0.0312145059862403,-2.8657202991982995,-0.12905201945992711,0.004160616717715239,0.023768768014749538,1.6239933280851164
CYCLIN,Naive_vs_CM,-0.08334813709098726,0.029207239933512086,-2.8536807065892753,-0.1202459440485008,0.004321594184499916,0.023768768014749538,1.6239933280851164
PP1,Naive_vs_CM,-0.05841283607667397,0.02327417563882986,-2.5097703559141284,-0.08427190893207748,0.012080969803925905,0.05906251904141554,1.2286880341326027
SH2,Naive_vs_CM,0.02921228506828627,0.01240732403227127,2.3544387969803595,0.04214441880105132,0.018550698283335276,0.08162307244667522,1.0881870615901552
IRF7,Naive_vs_CM,0.25620667421513443,0.11407108304528067,2.246026489583104,0.3696280983328287,0.024702311227739217,0.09880924491095687,1.0052024195218903
PP2B,Naive_vs_CM,-0.31028095440759706,0.15720758041103494,-1.9737022451228907,-0.44764079420613484,0.04841560974261736,0.177523902389597,0.7507431638650499
eIF4E,Naive_vs_CM,0.23678161489088392,0.1293365664150066,1.8307399172103793,0.3416036615767586,0.06713937203404159,0.2272409514998331,0.6435134009197663
PTB,Naive_vs_CM,-0.1259911899144118,0.09100763010920929,-1.384402492002288,-0.18176686488522148,0.16623524632597653,0.4931982210034647,0.30697849860058013
MSH2,Naive_vs_CM,0.22816737259578793,0.16555236322918776,1.3782187589790973,0.3291759369366076,0.16813575716027207,0.4931982210034647,0.30697849860058013
DLG,Naive_vs_CM,-0.14859194958523844,0.11589063102488074,-1.2821739623916362,-0.21437286878264636,0.19978162789923803,0.5250477992003214,0.27980115757692575
USP7,Naive_vs_CM,0.021663141735420666,0.017227127011698005,1.257501713472618,0.03125330715176613,0.20857201896296418,0.5250477992003214,0.27980115757692575
GBD,Naive_vs_CM,-0.23523980423383428,0.20181358521998843,-1.1656291818878761,-0.3393792989878433,0.2437644039630531,0.5250477992003214,0.27980115757692575
TYR,Naive_vs_CM,-0.1454746599221583,0.12860301652960274,-1.1311916613454547,-0.20987557044470623,0.25797443087050986,0.5250477992003214,0.27980115757692575
CKS1,Naive_vs_CM,-0.11216103463924229,0.10175850317615226,-1.102227638363375,-0.1618141684550101,0.27036271915916565,0.5250477992003214,0.27980115757692575
TRAF2like,Naive_vs_CM,-0.061913675670861396,0.056416719368139474,-1.0974348803738887,-0.0893225528535594,0.27245133271379895,0.5250477992003214,0.27980115757692575
PP4,Naive_vs_CM,0.07467079359995521,0.06900797869746181,1.082060292293443,0.10772718362589873,0.2792257382238772,0.5250477992003214,0.27980115757692575
CDC14,Naive_vs_CM,-0.14774154897683267,0.1383485196668329,-1.0678939632503464,-0.2131460000421304,0.2855683459066357,0.5250477992003214,0.27980115757692575
Arc,Naive_vs_CM,-0.09584425316260498,0.09147102091913123,-1.047810029881924,-0.13827402873539654,0.29472614050399304,0.5250477992003214,0.27980115757692575
WRC,Naive_vs_CM,0.11065749351027787,0.10639762922340897,1.0400372105841214,0.15964501712448054,0.2983226131820008,0.5250477992003214,0.27980115757692575
UBA3,Naive_vs_CM,0.04027417908336667,0.040802510686652756,0.9870514928028947,0.05810335843944711,0.32361739580267723,0.5385218043720273,0.2687967077295221
FHA,Naive_vs_CM,-0.03710299380132462,0.03812494573807394,-0.97319466514732,-0.05352830515930498,0.33045656177374405,0.5385218043720273,0.2687967077295221
REV1ctd,Naive_vs_CM,-0.09027865814658084,0.09532552748738968,-0.9470564761209795,-0.1302445724061822,0.3436100013916219,0.5399585736154059,0.2676395585851312
SUMO,Naive_vs_CM,0.09751851461784106,0.10643965421162133,0.9161859397246498,0.1406894774340172,0.35956937875222705,0.5455535401757928,0.26316262168078397
NRP,Naive_vs_CM,-0.05240075796422822,0.06712083430139446,-0.7806928878287136,-0.0755983136538149,0.43498314464737275,0.6379752788161467,0.195196149620128
LIR,Naive_vs_CM,-0.02397998540082555,0.03217241986572618,-0.7453584623384775,-0.034595806018360764,0.4560550475559706,0.6473039384665389,0.18889175054567006
SH3,Naive_vs_CM,0.026494948377052102,0.04142339412574675,0.6396131687476605,0.038224130632182156,0.5224241189981809,0.7183331636224987,0.14367408282776734
WW,Naive_vs_CM,-0.03475643211187934,0.05856009967229962,-0.59351729772277,-0.05014293224680225,0.5528350101835393,0.7371133469113857,0.13246572495886955
Pex14,Naive_vs_CM,0.01989655221223882,0.04449587109249458,0.44715502188684886,0.028704657207385284,0.6547631341324731,0.8469603989856709,0.07213689534115453
WD40,Naive_vs_CM,0.013767490025208884,0.03329867614247904,0.41345457598074686,0.019862289584857126,0.6792735961452634,0.8469603989856709,0.07213689534115453
Integrin,Naive_vs_CM,0.06884953042511532,0.17437720610946822,0.394831021560776,0.09932887611184768,0.6929675991700943,0.8469603989856709,0.07213689534115453
