ELM,contrast,effect_ts1,effect_ts2,diff,pvalue,qvalue
NRP,EM_vs_CM,0.0398254907542975,0.019980952768288054,0.019844537986009443,0.006232306633888962,0.043626146437222735
PCNA,EM_vs_CM,-0.002119520264681554,0.014847246081737398,-0.01696676634641895,1.0,1.0
PDZ,EM_vs_CM,0.03808959747300124,-0.0626099159089939,0.10069951338199513,0.0005839910062968023,0.009538519769514439
PP1,EM_vs_CM,0.012585307875162946,0.08373043259171623,-0.07114512471655328,0.0009298186509458795,0.011390278474087023
PP2A,EM_vs_CM,0.0572005365739857,0.00871800173909355,0.04848253483489215,0.25443727637323454,0.42991126007891356
PP2B,EM_vs_CM,0.00594357745138039,0.015803498572011423,-0.009859921120631034,0.11657513548047227,0.2978229048390103
PP4,EM_vs_CM,0.019090318722671664,0.011018937489525725,0.008071381233145939,0.08473113894530426,0.2767883872213273
PTB,EM_vs_CM,0.019319257281690542,0.05914166454784304,-0.03982240726615249,0.32976077608726917,0.5212347751056835
Pex14,EM_vs_CM,-0.0015939771547248162,-5.040671512634206e-05,-0.0015435704395984741,0.12950471152995657,0.2978229048390103
REV1ctd,EM_vs_CM,0.06491784479205863,0.07199555627228582,-0.007077711480227192,0.23748548215331988,0.4155995937683098
SH2,EM_vs_CM,0.028101428297828454,0.020385954396122456,0.0077154739017059985,0.12363909191166833,0.2978229048390103
SH3,EM_vs_CM,0.012088778136639814,-0.011062657002140796,0.02315143513878061,1.0,1.0
SUMO,EM_vs_CM,0.01094247036321049,0.01910025877852445,-0.008157788415313961,1.0,1.0
TRAF2like,EM_vs_CM,-0.09039586348287505,0.05668365090850619,-0.14707951439138123,0.13371640625424952,0.2978229048390103
TRAF4,EM_vs_CM,0.004317367220593027,-0.03191511893124796,0.036232486151840985,0.9221997523042427,1.0
TRAF6,EM_vs_CM,0.04562766324293702,-0.0029557378260548287,0.048583401068991845,0.670763266443553,0.888308109614435
TRFH,EM_vs_CM,0.04275878442545109,-0.013319088319088318,0.05607787274453941,1.0,1.0
TYR,EM_vs_CM,-0.013715165842825417,0.10281538792177089,-0.11653055376459631,0.00017886141245515574,0.005708257846609888
UBA3,EM_vs_CM,0.011778637243180694,0.026340934080444044,-0.01456229683726335,0.7547065564031579,0.9731742437830193
USP7,EM_vs_CM,0.029779227498342793,-0.0035588439241977586,0.03333807142254055,0.0998383281916817,0.2978229048390103
WD40,EM_vs_CM,0.034143593002552715,-0.027902687503128326,0.06204628050568104,0.013848247995400742,0.07539601686384849
WRC,EM_vs_CM,0.05652844873859367,-0.05214424951267056,0.10867269825126423,0.3553012465875085,0.5351317567005042
WW,EM_vs_CM,0.05917174334727526,-0.004508739881080305,0.06368048322835557,0.00023299011618815868,0.005708257846609888
deltaCOP1,EM_vs_CM,-0.08765001589572405,0.13006676204101097,-0.21771677793673502,0.07977914751970805,0.2767883872213273
eIF4E,EM_vs_CM,-0.03696749324431728,-0.026640240025433158,-0.01032725321888412,1.0,1.0
14-3-3,Naive_vs_CM,-0.006351704057191963,-0.02712035818112007,0.02076865412392811,0.0540859901752504,0.22085112654893913
ANK,Naive_vs_CM,-0.09298005086631697,-0.1209863296773168,0.028006278810999832,0.16960399078047717,0.4616997526801878
APCC,Naive_vs_CM,0.029064976506066344,0.11283809056268555,-0.0837731140566192,0.0031503199513098767,0.025727612935697326
Actin,Naive_vs_CM,-0.02278971381755516,0.06398582506992118,-0.08677553888747633,0.274848801680577,0.5611496367645114
Arc,Naive_vs_CM,-0.030647965794803143,0.03886271582054715,-0.06951068161535029,0.22812066173875123,0.5322815440570862
BIR,Naive_vs_CM,-0.03617235962792871,0.026230234481147443,-0.06240259410907616,0.11527070834345432,0.3765509805886174
BRCT,Naive_vs_CM,-0.04071765334888694,-0.043643676484883834,0.002926023135996894,0.031884848077917693,0.1735952839797741
CDC14,Naive_vs_CM,0.10384353741496599,0.022324263038548755,0.08151927437641723,0.3473386462829089,0.5886449323705546
CKS1,Naive_vs_CM,-0.06271351878965349,-0.057722940729895346,-0.004990578059758145,0.19924757335774546,0.5138490049752382
CSL,Naive_vs_CM,0.0394903450459006,0.05440804051915163,-0.01491769547325103,1.0,1.0
CYCLIN,Naive_vs_CM,-0.005527627717753768,0.04579290049353074,-0.05132052821128451,0.04141660104927025,0.1844921319467493
Clathr,Naive_vs_CM,-0.08797622837737451,0.06844511655877464,-0.15642134493614915,0.36039485655340076,0.5886449323705546
DLG,Naive_vs_CM,0.006889171884396335,-0.1344449750610209,0.14133414694541724,0.06393612555181982,0.24099001169532086
EVH1,Naive_vs_CM,0.01788720538720539,-0.14560974326599327,0.16349694865319866,0.01858793177242024,0.11385108210607398
FHA,Naive_vs_CM,0.014432074746601338,0.019788754383436614,-0.005356679636835277,0.4152467367763213,0.5984438265305807
GBD,Naive_vs_CM,0.04699546485260771,0.11143990929705215,-0.06444444444444444,0.35628521287461856,0.5886449323705546
IRF7,Naive_vs_CM,0.07742801546836128,-0.062011995369344076,0.13944001083770535,0.44489334261498836,0.6228506796609837
Integrin,Naive_vs_CM,0.06447278911564626,-0.12081632653061225,0.1852891156462585,0.12414370032235267,0.3801900822372051
LIR,Naive_vs_CM,-0.007708782729169954,0.04975493921342819,-0.05746372194259815,0.001167718991161859,0.014304557641732774
LYPXL,Naive_vs_CM,-3.586800573887952e-05,0.09994420532440618,-0.09998007333014505,0.2567017147247339,0.5468862618048679
MAPK,Naive_vs_CM,-0.014304536343406546,-0.013568792573340807,-0.0007357437700657391,0.2444691848557612,0.5444995480878317
MSH2,Naive_vs_CM,0.004156558305029919,-0.04488921235646126,0.049045770661491184,0.41192995849032754,0.5984438265305807
MYND,Naive_vs_CM,0.041768665850673195,0.018591476268189855,0.02317718958248334,0.9835785298377548,1.0
NRBOX,Naive_vs_CM,-0.0031964809384164225,-0.022839687194525907,0.019643206256109484,0.9820743780767538,1.0
NRP,Naive_vs_CM,0.019872498779892632,0.019980952768288054,-0.00010845398839542247,1.0,1.0
PCNA,Naive_vs_CM,-0.0021725414095141154,0.014847246081737398,-0.017019787491251513,1.0,1.0
PDZ,Naive_vs_CM,-0.01998637611872341,-0.0626099159089939,0.04262353979027049,0.0005839910062968023,0.014304557641732774
PP1,Naive_vs_CM,-0.006185847930154348,0.08373043259171623,-0.08991628052187058,0.0009298186509458795,0.014304557641732774
PP2A,Naive_vs_CM,-0.03503239591949269,0.00871800173909355,-0.04375039765858624,0.93796799120836,1.0
PP2B,Naive_vs_CM,-0.1172310621515028,0.015803498572011423,-0.13303456072351422,0.010833636733176943,0.0758354571322386
PP4,Naive_vs_CM,0.007890461934579582,0.011018937489525725,-0.003128475554946143,0.9626615906201974,1.0
PTB,Naive_vs_CM,0.004175848235726191,0.05914166454784304,-0.05496581631211685,0.32976077608726917,0.5886449323705546
Pex14,Naive_vs_CM,-0.0168096659743856,-5.040671512634206e-05,-0.01675925925925926,0.5150858744456088,0.7010891068843009
REV1ctd,Naive_vs_CM,0.009563869626762709,0.07199555627228582,-0.062431686645523114,0.33601557614784516,0.5886449323705546
SH2,Naive_vs_CM,-0.020091538311382186,0.020385954396122456,-0.04047749270750464,0.3107233269819818,0.5886449323705546
SH3,Naive_vs_CM,-0.007997634913563747,-0.011062657002140796,0.003065022088577049,0.3914554624992317,0.5984438265305807
SUMO,Naive_vs_CM,-0.0058442521505211375,0.01910025877852445,-0.02494451092904559,1.0,1.0
TRAF2like,Naive_vs_CM,0.07288651712493971,0.05668365090850619,0.01620286621643352,0.37341016112630143,0.5902289643609281
TRAF4,Naive_vs_CM,0.01348159009449332,-0.03191511893124796,0.04539670902574128,0.9221997523042427,1.0
TRAF6,Naive_vs_CM,0.006522636025517869,-0.0029557378260548287,0.009478373851572698,0.670763266443553,0.8649315804140552
TRFH,Naive_vs_CM,0.032977207977207976,-0.013319088319088318,0.046296296296296294,1.0,1.0
TYR,Naive_vs_CM,-0.05265330611075292,0.10281538792177089,-0.1554686940325238,0.00017886141245515574,0.008764209210302631
UBA3,Naive_vs_CM,0.040216018706576595,0.026340934080444044,0.013875084626132551,0.2248732646576619,0.5322815440570862
USP7,Naive_vs_CM,0.003709519652067065,-0.0035588439241977586,0.007268363576264824,0.15690017913048226,0.45224169278786064
WD40,Naive_vs_CM,-0.006543347920286591,-0.027902687503128326,0.021359339582841735,0.04130634432111857,0.1844921319467493
WRC,Naive_vs_CM,0.018989956775997966,-0.05214424951267056,0.07113420628866853,0.6006147172736398,0.7954086796326582
WW,Naive_vs_CM,-0.012112567298737512,-0.004508739881080305,-0.007603827417657206,0.001799573179454228,0.017635817158651434
deltaCOP1,Naive_vs_CM,-0.10365999046256558,0.13006676204101097,-0.23372675250357655,0.07977914751970805,0.27922701631897817
eIF4E,Naive_vs_CM,0.05273903195040534,-0.026640240025433158,0.0793792719758385,1.0,1.0
14-3-3,Naive_vs_EM,-0.006351704057191963,0.032941944124476624,-0.03929364818166858,0.013096190342887226,0.13571283035492726
ANK,Naive_vs_EM,-0.09298005086631697,-0.11535328246701637,0.0223732316006994,0.25040811225461623,0.47951640547263435
APCC,Naive_vs_EM,0.029064976506066344,-0.06581369661266569,0.09487867311873203,0.17950274582806447,0.47951640547263435
Actin,Naive_vs_EM,-0.02278971381755516,0.003114670734808034,-0.025904384552363192,0.8557186250782376,1.0
Arc,Naive_vs_EM,-0.030647965794803143,0.010575153176809803,-0.041223118971612946,0.4750566275423316,0.6650792785592643
BIR,Naive_vs_EM,-0.03617235962792871,-0.016022020263499265,-0.020150339364429445,0.11956215155709593,0.40950649415363916
BRCT,Naive_vs_EM,-0.04071765334888694,0.038784995625546805,-0.07950264897443374,0.031884848077917693,0.19529469447724587
CDC14,Naive_vs_EM,0.10384353741496599,0.04866780045351474,0.055175736961451255,0.3473386462829089,0.5985426895983523
CKS1,Naive_vs_EM,-0.06271351878965349,-0.0337868065723117,-0.02892671221734179,0.19924757335774546,0.47951640547263435
CSL,Naive_vs_EM,0.0394903450459006,-0.02510288065843621,0.06459322570433682,1.0,1.0
CYCLIN,Naive_vs_EM,-0.005527627717753768,0.017438850540216086,-0.022966478257969852,0.027372314945674603,0.19529469447724587
Clathr,Naive_vs_EM,-0.08797622837737451,0.04147210725529732,-0.12944833563267183,0.5119405470876868,0.6968079668693514
DLG,Naive_vs_EM,0.006889171884396335,-0.03297339842230004,0.03986257030669638,1.0,1.0
EVH1,Naive_vs_EM,0.01788720538720539,-0.1140440867003367,0.1319312920875421,0.6975308012029569,0.9237570069985105
FHA,Naive_vs_EM,0.014432074746601338,0.013748859105538743,0.0006832156410625945,0.3786698648479372,0.5985426895983523
GBD,Naive_vs_EM,0.04699546485260771,0.1208843537414966,-0.07388888888888889,0.20444629444676887,0.47951640547263435
IRF7,Naive_vs_EM,0.07742801546836128,0.011973817089090864,0.06545419837927041,0.44489334261498836,0.6411698172980715
Integrin,Naive_vs_EM,0.06447278911564626,0.08241496598639456,-0.017942176870748297,0.7785747494544326,1.0
LIR,Naive_vs_EM,-0.007708782729169954,-0.011494546843365698,0.0037857641141957436,0.0624226965607555,0.30587121314770194
LYPXL,Naive_vs_EM,-3.586800573887952e-05,-0.07438625856846803,0.07435039056272916,0.22640422455298026,0.47951640547263435
MAPK,Naive_vs_EM,-0.014304536343406546,0.006447578521802647,-0.02075211486520919,0.2444691848557612,0.47951640547263435
MSH2,Naive_vs_EM,0.004156558305029919,0.019820475497331392,-0.015663917192301473,0.41192995849032754,0.611653574728062
MYND,Naive_vs_EM,0.041768665850673195,-0.005140333877328977,0.04690899972800217,0.22183003222843478,0.47951640547263435
NRBOX,Naive_vs_EM,-0.0031964809384164225,-0.016783968719452588,0.013587487781036165,1.0,1.0
NRP,Naive_vs_EM,0.019872498779892632,0.0398254907542975,-0.019952991974404866,0.006232306633888962,0.13571283035492726
PCNA,Naive_vs_EM,-0.0021725414095141154,-0.002119520264681554,-5.302114483256119e-05,1.0,1.0
PDZ,Naive_vs_EM,-0.01998637611872341,0.03808959747300124,-0.058075973591724644,0.028144568688814653,0.19529469447724587
PP1,Naive_vs_EM,-0.006185847930154348,0.012585307875162946,-0.018771155805317293,0.3548130696784928,0.5985426895983523
PP2A,Naive_vs_EM,-0.03503239591949269,0.0572005365739857,-0.09223293249347839,0.25443727637323454,0.47951640547263435
PP2B,Naive_vs_EM,-0.1172310621515028,0.00594357745138039,-0.12317463960288319,0.010833636733176943,0.13571283035492726
