ELM,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars
EVH1,3,704,39084.0,0.836881084384195,0.028093434343434344,76032,7.177792368203579,0.38181034979200146,-5.879342921940276,-1.5577918973332565,Naive_Low,0.9588044646592885,
FHA,257,450,2071434.0,0.7890432605190977,-0.004931546332324542,4163400,0.24426551634454366,0.5056702792391823,-1.4473378117113023,-1.6836881848515128,Naive_Low,0.94300292110819,
GBD,7,700,91492.0,0.6768450845211912,0.03732426303854875,176400,-0.5899809075050262,0.42065389958673555,-0.7625995856135157,-1.5682724534250476,Naive_Low,0.8727739247773255,
IRF7,13,694,174328.0,0.2655418757230408,0.07347471612601296,324792,2.4096140121686025,0.3732029988472448,-2.095445221200123,-1.552990180737207,Naive_Low,0.8151733302644675,
Integrin,7,700,95969.5,0.3252549438642507,0.08808956916099774,176400,3.2281596044061085,0.38247249446762427,-0.6162839592123553,-1.5742779904864834,Naive_Low,0.8151733302644675,
LIR,249,458,2026115.0,0.484415585420677,-0.012978162041664961,4105512,0.11994377431903491,0.5686940252243232,-1.6142141636967442,-1.5263849550033266,Naive_Low,0.8477272744861847,
LYPXL,10,697,132262.0,0.4702393094669679,0.054216483341304,250920,1.6684384043425713,0.39260183545875754,0.4226314588010819,-1.5682724534250476,Naive_Low,0.8477272744861847,
MAPK,211,496,1903282.0,0.5936616812777759,0.010337571557186296,3767616,1.060023763912898,0.1344009055898354,-1.5394950246159937,-1.5682724534250476,Naive_Low,0.8727739247773255,
MSH2,20,687,264265.0,0.20010134133590562,0.06851447517386382,494640,3.6864206433650173,0.31528304292704434,-1.2493953249245255,-1.5682911480391208,Naive_Low,0.7126546638927902,
MYND,19,688,240702.0,0.6751782764309804,0.02297531619747042,470592,0.003930837901119355,0.4218796183692711,-1.2164944793240429,-1.5682724534250476,Naive_Low,0.8727739247773255,
NRBOX,25,682,315538.0,0.5576659200550744,0.028145975887911373,613800,0.6006074477542719,0.40368427736704243,-1.432604950234604,-1.5650313320239042,Naive_Low,0.8607834393691716,
NRP,24,683,304452.5,0.5153861387783538,0.03184649693617483,590112,0.6052760058715992,0.4038085493664148,-0.8877424607505067,-1.5742779904864834,Naive_Low,0.8607834393691716,
PCNA,31,676,384808.0,0.6417161520929107,0.020148035036372504,754416,1.3707569557505834,0.3666189315531238,-1.7607096820804522,-1.552990180737207,Naive_Low,0.8727739247773255,
PDZ,137,570,1354112.5,0.10232257578001334,-0.03664397205503621,2811240,-0.2943882969266461,0.5801036141002285,-2.011402224372359,-1.3316645385360686,Naive_Low,0.5570895792467394,
PP1,63,644,710455.0,0.3826323795118929,-0.02716843581232815,1460592,0.07780804159145437,0.44320800735701565,-2.322812689283065,-1.4874396373143894,Naive_Low,0.8151733302644675,
PP2A,31,676,367566.5,0.5549913961435107,-0.02556016839515599,754416,0.17887925780814523,0.4212760449203067,-1.2980253829632404,-1.5972969915702857,Naive_Low,0.8607834393691716,
PP2B,19,688,198196.0,0.004026566683587338,-0.15767373861009112,470592,-4.071689318699647,0.534433081996327,-2.366011527287882,-1.552990180737207,Naive_Low,0.06576725583192652,
PP4,44,663,513925.5,0.5621442869349692,-0.02127325289089995,1050192,-0.2419437543713369,0.45395684547589543,-1.6182911985863506,-1.5577918973332565,Naive_Low,0.8607834393691716,
