ELM,tsubset,cliff_delta,pvalue,qvalue
SUMO,EM,0.01094247036321049,0.843516311863882,0.898528245246309
TRAF2like,Naive,0.07288651712493971,0.18670508056315072,0.5790442201067546
TRAF2like,CM,0.05668365090850619,0.35842813600015433,0.5665476988389536
TRAF2like,EM,-0.09039586348287505,0.06685820312712476,0.25200399640223947
TRAF4,Naive,0.01348159009449332,0.9042410629725905,0.978371886145094
TRAF4,CM,-0.03191511893124796,0.46109987615212134,0.6645262921015866
TRAF4,EM,0.004317367220593027,0.9576007880668381,0.960584852459005
TRAF6,Naive,0.006522636025517869,0.7983817908524768,0.9270733716374815
TRAF6,CM,-0.0029557378260548287,0.3353816332217765,0.5477900009289016
TRAF6,EM,0.04562766324293702,0.5773827890661997,0.8379680061910938
TRFH,Naive,0.032977207977207976,0.7980188611900265,0.9270733716374815
TRFH,CM,-0.013319088319088318,0.9804910592228782,0.9804910592228783
TRFH,EM,0.04275878442545109,0.8246974715091888,0.8981953425319568
TYR,Naive,-0.05265330611075292,0.0294848669500698,0.36118962013835504
TYR,CM,0.10281538792177089,8.943070622757787e-05,0.004382104605151316
TYR,EM,-0.013715165842825417,0.16172735794569237,0.37736383520661554
UBA3,Naive,0.040216018706576595,0.11243663232883094,0.5790442201067546
UBA3,CM,0.026340934080444044,0.37735327820157893,0.5778222072461677
UBA3,EM,0.011778637243180694,0.8248732737538379,0.8981953425319568
USP7,Naive,0.003709519652067065,0.07845008956524113,0.5790442201067546
USP7,CM,-0.0035588439241977586,0.6336571573948759,0.7572975783499737
USP7,EM,0.029779227498342793,0.04991916409584085,0.24460390406962018
WD40,Naive,-0.006543347920286591,0.09204035386968945,0.5790442201067546
WD40,CM,-0.027902687503128326,0.020653172160559286,0.12683834071339015
WD40,EM,0.034143593002552715,0.006924123997700371,0.08482051897182954
WRC,Naive,0.018989956775997966,0.8135541832737083,0.9270733716374815
WRC,CM,-0.05214424951267056,0.3003073586368199,0.5255378776144348
WRC,EM,0.05652844873859367,0.17765062329375425,0.37847306701712863
WW,Naive,-0.012112567298737512,0.000899786589727114,0.044089542896628586
WW,CM,-0.004508739881080305,0.3254819467033201,0.5477900009289016
WW,EM,0.05917174334727526,0.00011649505809407934,0.005708257846609888
deltaCOP1,Naive,-0.10365999046256558,0.185021863194738,0.5790442201067546
deltaCOP1,CM,0.13006676204101097,0.039889573759854025,0.17768991947571336
deltaCOP1,EM,-0.08765001589572405,0.2891840878642342,0.566800812213899
eIF4E,Naive,0.05273903195040534,0.627688623429545,0.9046100749425795
eIF4E,CM,-0.026640240025433158,0.8350808202437451,0.9299763679987162
eIF4E,EM,-0.03696749324431728,0.7871500450105694,0.8981953425319568
