ELM,contrast,effect_low,effect_high,diff,pvalue,qvalue
Pex14,PD1Low_vs_PD1High,-0.023524322925103303,-0.000974084237740871,-0.02255023868736243,0.385648641107266,0.6516132211812425
REV1ctd,PD1Low_vs_PD1High,0.028813630982580756,0.07220953830542871,-0.043395907322847954,0.17303899477610327,0.42180589794233303
SH2,PD1Low_vs_PD1High,0.012184819656084025,0.012251530929691848,-6.671127360782271e-05,0.009829748314837902,0.06880823820386531
SH3,PD1Low_vs_PD1High,-0.006643583765412766,0.020236143009592745,-0.02687972677500551,0.28665627740386296,0.5471953666324899
SUMO,PD1Low_vs_PD1High,0.0002645944741532979,0.01826135125767479,-0.017996756783521493,1.0,1.0
TRAF2like,PD1Low_vs_PD1High,0.0010378510378510435,0.02405146294035183,-0.023013611902500786,0.21663251235019781,0.48249968659816783
TRAF4,PD1Low_vs_PD1High,-0.015559261009867596,0.017411988165887647,-0.032971249175755245,1.0,1.0
TRAF6,PD1Low_vs_PD1High,0.0280767772235349,-0.0003257392335890656,0.028402516457123966,1.0,1.0
TRFH,PD1Low_vs_PD1High,0.09573079791200596,-0.012666749523572789,0.10839754743557875,1.0,1.0
TYR,PD1Low_vs_PD1High,0.017491844175782,0.023092976396085207,-0.005601132220303208,0.5133020576067815,0.7411860143868622
UBA3,PD1Low_vs_PD1High,0.033159403078102265,0.009395602891537852,0.02376380018656441,0.29733795120942846,0.5471953666324899
USP7,PD1Low_vs_PD1High,0.004725734006208487,0.015755130590466942,-0.011029396584258454,0.9031260009656639,1.0
WD40,PD1Low_vs_PD1High,-0.013650007038113456,0.017296474319166023,-0.030946481357279478,0.002752453705872536,0.044956743862584754
WRC,PD1Low_vs_PD1High,-0.0031245613713895143,0.014684523046691442,-0.017809084418080955,0.4693428065932209,0.7186811725958695
WW,PD1Low_vs_PD1High,0.0006108766994842955,0.03241615877480856,-0.031805282075324265,0.00036556416831441766,0.017912644247406465
deltaCOP1,PD1Low_vs_PD1High,-0.023785730643515912,0.038098807070139275,-0.06188453771365519,0.594169847561269,0.8087311814028384
eIF4E,PD1Low_vs_PD1High,-0.0013584410717631622,-0.00656319613598984,0.005204755064226678,1.0,1.0
