ELM,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars
deltaCOP1,6,593,63298.0,0.9042084204094888,-0.011648241833739303,128088,-1.6091518317415405,-0.30986303622005595,-2.5134403583567693,-2.349944639441086,Naive_High,0.9652491288988183,
eIF4E,6,593,70596.0,0.29023089269363744,0.10230466554243957,128088,2.3951786029661957,-0.35037902712772245,-0.2045495457694243,-2.3650884747267176,Naive_High,0.8286362851068138,
14-3-3,258,341,1547775.0,0.24477322837449755,-0.02262497442542454,3167208,-0.06615446537158214,0.77836855276736,-1.6701270842639464,-1.4382089536491303,Naive_Low,0.6312572731763358,
ANK,6,593,57660.0,0.30277777846375575,-0.09968146899006933,128088,-3.5911941200053494,0.4551483796759419,-2.6870865083675337,-1.5460894283890663,Naive_Low,0.674368688396547,
APCC,10,589,108745.0,0.7324735498396102,0.025702697604225618,212040,0.7612891201556586,0.40873163535865,-1.1990216500895219,-1.5702636453299998,Naive_Low,0.8529284175270824,
Actin,22,577,213892.0,0.21212148475493986,-0.06389720427848677,456984,-0.6326314563259992,0.4545471689202313,-2.3892809294256034,-1.4952018346076503,Naive_Low,0.6114089854701208,
Arc,60,539,556581.0,0.1714805038652627,-0.04387239744382602,1164240,-0.3070980025474451,0.4949567802980485,-2.1619474170073563,-1.4530101427775381,Naive_Low,0.525159043087367,
BIR,98,501,821751.5,0.007042141724049091,-0.07016861967674629,1767528,-1.747364876974067,0.837520124493533,-2.3835427786125214,-1.3696268644337342,Naive_Low,0.06838660683588058,
BRCT,67,532,585632.0,0.004315773985920881,-0.08722053890946271,1283184,-2.500617786363937,0.7817616844251604,-2.6520450152977864,-1.306388461144198,Naive_Low,0.05286823132753079,
CDC14,7,592,87681.0,0.05025263571114703,0.17547458172458172,149184,2.8442824268229168,0.3858882558108802,1.2596158804577147,-1.6235725191778356,Naive_Low,0.2579201672272001,
CKS1,20,579,176210.5,0.003927645795890688,-0.15462243331414316,416880,-3.72109409374473,0.5574744495728775,-3.1040820964399174,-1.4530101427775381,Naive_Low,0.05286823132753079,
CSL,4,595,46508.0,0.4691343005547487,0.08562091503267974,85680,1.129484407846497,0.40981157444775723,-0.6111233775173337,-1.5739394414383197,Naive_Low,0.7119275685174222,
CYCLIN,90,509,811365.5,0.5521848599665504,-0.01602573431322613,1649160,-0.5754977408613811,0.5896868783994612,-1.2285786264628706,-1.596533423429071,Naive_Low,0.7730588039531706,
Clathr,4,595,38255.0,0.3655262753660278,-0.10702614379084967,85680,-2.1059116335885935,0.43156213607085026,-2.200986932524205,-1.5287509364460297,Naive_Low,0.7119275685174222,
DLG,8,591,87194.0,0.7698180013006661,0.02455818762925362,170208,0.7327642297560022,0.4103108470215795,-1.3810906421199782,-1.5680101686032102,Naive_Low,0.8529284175270824,
EVH1,3,596,33293.0,0.8007083103315467,0.03445811583395476,64368,7.316015251167965,0.3798788232790229,-5.002904926775342,-1.559679280747471,Naive_Low,0.8529284175270824,
FHA,221,378,1471171.0,0.27873116741449233,-0.021622229138569007,3007368,-0.186517117993279,0.7660743584770269,-1.511033111832822,-1.5895045409005937,Naive_Low,0.6509579729657707,
GBD,7,592,77807.0,0.6306358107664461,0.043101136851136854,149184,-0.504830930778738,0.42548925835008894,-0.7623853103295499,-1.5702636453299998,Naive_Low,0.8529284175270824,
IRF7,10,589,111866.0,0.46330107448522273,0.055140539520845126,212040,1.8634902492815626,0.3900185431833377,-2.4327221015055898,-1.559679280747471,Naive_Low,0.7119275685174222,
Integrin,5,594,57730.5,0.4505695546739549,0.07988215488215489,106920,2.37235100566255,0.3981381639722033,-0.6105129594017757,-1.576957003376053,Naive_Low,0.7119275685174222,
LIR,192,407,1371907.0,0.23218417675637282,-0.024658891846391848,2813184,-0.31586556039285074,0.7592187027597759,-1.6591039067296827,-1.4653767159768534,Naive_Low,0.6312572731763358,
LYPXL,1,598,5392.0,0.034419761621763974,-0.4990709773318469,21528,-13.564124774085,0.4379932260901112,-14.929539970555133,-1.5460894283890663,Naive_Low,0.24093833135234782,
MAPK,183,416,1377597.5,0.7990929428618787,0.0053225415674186165,2740608,0.9413594738055384,0.18290154019564406,-1.3474423963208644,-1.6235725191778356,Naive_Low,0.8529284175270824,
MSH2,16,583,185571.0,0.07817883144799243,0.10522084048027444,335808,5.123349977760101,0.28538975091533425,-0.5369331095498877,-1.5799750296496653,Naive_Low,0.3482511582683299,
MYND,14,585,143720.0,0.6938523439571819,-0.025098358431691763,294840,-1.3897113009568056,0.45779791904478073,-1.9828569643033522,-1.5460894283890663,Naive_Low,0.8529284175270824,
NRBOX,25,574,267098.0,0.4794614236954068,0.0340611691831204,516600,0.7652988010871765,0.39934382299759946,-1.1827568520141365,-1.5739394414383197,Naive_Low,0.7119275685174222,
NRP,20,579,212906.5,0.6894315771052618,0.021428228746881595,416880,0.3149895872184435,0.41805877838243977,-1.148246448750535,-1.576957003376053,Naive_Low,0.8529284175270824,
PCNA,30,569,318309.0,0.4154816463303993,0.03595977348174185,614520,1.850723237874357,0.33890004796409623,-1.2841121772496977,-1.5680101686032102,Naive_Low,0.7119275685174222,
PDZ,128,471,1035769.0,0.05263676882187757,-0.04553605655815051,2170368,-0.321721962291837,0.6147266148644515,-2.024603071496104,-1.2771118064669875,Naive_Low,0.2579201672272001,
PP1,49,550,466642.5,0.27898198841390176,-0.03804885590599876,970200,-0.30743855336092435,0.4789460246227032,-2.396816632201438,-1.4549668142337717,Naive_Low,0.6509579729657707,
PP2A,26,573,257957.5,0.42072808969848674,-0.038060664369564894,536328,-1.3794366904082778,0.4960229989152124,-1.2584347679639936,-1.5852826263302644,Naive_Low,0.7119275685174222,
PP2B,18,581,154228.0,0.001360543960164757,-0.18070164254903212,376488,-4.341752382595287,0.5619748146549339,-3.7297430407211745,-1.5145301072063369,Naive_Low,0.033333327024036546,*
PP4,35,564,346556.5,0.5481213303994101,-0.024663683440279183,710640,0.25050203619145595,0.42480186730691594,-1.6618952463809706,-1.5460894283890663,Naive_Low,0.7730588039531706,
PTB,22,577,226155.0,0.8417229821149766,-0.010227929205398877,456984,0.36785105866939743,0.4164005219013427,-1.9838896085316602,-1.5287509364460297,Naive_Low,0.8775409813539119,
