CCD,total_counts,g_statistic,df,pvalue,Naive_High_prop,Naive_Low_prop,CM_High_prop,CM_Low_prop,EM_High_prop,EM_Low_prop,Naive_High_effect,Naive_Low_effect,CM_High_effect,CM_Low_effect,EM_High_effect,EM_Low_effect,Naive_High_se,Naive_Low_se,CM_High_se,CM_Low_se,EM_High_se,EM_Low_se,qvalue,Naive_High_pip,Naive_Low_pip,CM_High_pip,CM_Low_pip,EM_High_pip,EM_Low_pip,max_pip,Naive_High_ci_excludes_zero,Naive_Low_ci_excludes_zero,CM_High_ci_excludes_zero,CM_Low_ci_excludes_zero,EM_High_ci_excludes_zero,EM_Low_ci_excludes_zero,significant_pip
GPR37L1-1,368290,8861.300341295646,5,0.0,0.2084199951125472,0.15833989519128946,0.20569659778978522,0.13930598169920444,0.11181134432105135,0.17642618588612236,0.15827524127383197,-0.015514151691583988,0.18510887621716443,0.12187220265098575,-0.10917286664629366,-0.3354479335408438,0.004126403595155899,0.004583404158781504,0.0041477654957430875,0.0048398437081802435,0.005303896021371312,0.004378131958151309,0.0,1.0,0.9963884137082221,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
GPR84-1,39867,1967.957669560974,5,0.0,0.14244864173376476,0.16381970050417638,0.2537436977951689,0.13314269947575688,0.09110291719968897,0.21574234329144404,-0.3083239796852473,0.025595526735467056,0.4531756605208008,0.06582931902959732,-0.33482180867526323,-0.07628332709534424,0.014348833437599113,0.013554695333519818,0.011534010027082032,0.014767725364488397,0.01742692768673356,0.01219504812879359,0.0,1.0,0.9402312906299629,1.0,0.999982879767267,1.0,0.9999999986260941,1.0,True,True,True,True,True,True,True
GRM2-1,814689,129406.43593691956,5,0.0,0.319865617431928,0.11969843707230612,0.18069962893815922,0.07843852071158441,0.13798516980099154,0.1633126260450307,0.7998653150181113,-0.36135426037942797,0.01994270855444147,-0.5554275112940823,0.14450626745897766,-0.44581414512025375,0.002501556832308497,0.0035068462079177833,0.0029828930923023645,0.004215321327332327,0.003339045573165802,0.0030786875473539856,0.0,1.0,1.0,0.9999999996628006,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
GRM3-1,207873,2754.2269512216008,5,0.0,0.20043969154243216,0.17209546213312937,0.19629773948516643,0.1277125937471437,0.11718212562478052,0.18627238746734784,0.10602990953890035,0.08626565181384915,0.12280301385798342,0.01803530772575801,-0.053905204767822124,-0.26401800292285427,0.0055296853295595414,0.005864252004690753,0.005573900024242468,0.006629337542191709,0.006876224917291482,0.005675673201289285,0.0,1.0,1.0,1.0,0.9813033622120165,0.9999999999999659,1.0,1.0,True,True,True,True,True,True,True
GRM5-1,183277,15041.667480672917,5,0.0,0.27604118356367685,0.14463898907118733,0.13906273018436574,0.07643075781467397,0.14994243685787087,0.21388390250822525,0.5329350897193224,-0.12348971870421077,-0.2969776318436037,-0.5596870072474567,0.23522735042571674,-0.08836296105197494,0.005278691055491663,0.006687658181216578,0.006793061995010194,0.00883489606965419,0.006602222780523203,0.00573814844362175,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
GRM7-1,181102,9776.933933735978,5,0.0,0.18953407472032335,0.21897052489757154,0.11247805104305861,0.1057359940806838,0.12298041987388322,0.25030093538447945,0.035187833910631516,0.3905463881248077,-0.5422603961148571,-0.1987610340232786,0.0019172025549680782,0.11945352204218129,0.006041940663992286,0.0057369894837072865,0.007475607355718783,0.007691471762838685,0.0072093665765569056,0.005468260384099765,0.0,0.9999999633427998,1.0,1.0,1.0,0.5940431525104344,1.0,1.0,True,True,True,True,False,True,True
GRM8-1,263816,10798.81699216042,5,0.0,0.21768960184370925,0.20731115626042393,0.13029156684962245,0.11118734269339237,0.13418064105285502,0.19933969129999696,0.21348094218778035,0.3221770633374992,-0.3754284011012332,-0.14256140784223015,0.10426687778522337,-0.1795404226920807,0.004777236030975174,0.004867986198965231,0.00583319598418472,0.006254860412230605,0.005780456724002242,0.004922158758344192,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
HRH3-1,271297,8383.008503807901,5,0.0,0.21014607607161156,0.20027497539596825,0.1347158280408556,0.11834631418703487,0.09963619206994548,0.23688061423458423,0.16760645105472993,0.2778317856699781,-0.33645446678463875,-0.07066923402313563,-0.23980260253674524,0.04579744178230505,0.0047719008059751555,0.004862609326158696,0.00567422962667347,0.006007928702278849,0.00647077910530109,0.004568402448129083,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
MCHR2-1,219466,957.3169444671651,5,1.0447911377240431e-204,0.18500359964641447,0.1473895728723356,0.19454038438755888,0.1149608595408856,0.1317743978566156,0.22633118569618985,0.004977613753422538,-0.10141416649138857,0.11152834343457929,-0.1037933380155569,0.08257747715597263,-0.01479628135455191,0.005548019733724759,0.006073199143797902,0.005445684813454389,0.006748984871452986,0.006372529999292577,0.005147687275140253,1.1753900299395484e-204,0.6191349682943373,1.0,1.0,1.0,1.0,0.984303851179674,1.0,False,True,True,True,True,True,True
MCOLN2-2,68932,7147.29607369722,5,0.0,0.1067573840886671,0.15410839668078685,0.28632565426797424,0.10800499042534673,0.10017118319503279,0.2446323913421923,-0.6395573978055418,-0.04741272155659826,0.6211611771079473,-0.17314840898763673,-0.23013411309697474,0.08767942066265011,0.012356423028086209,0.01057842033780975,0.008459527486405249,0.012301947988082935,0.012716765154244527,0.008886960576739947,0.0,1.0,0.9999788004049489,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
MRGPRX1-1,19119,1008.4436835995333,5,8.929436758315748e-216,0.11684711543490768,0.1498509336262357,0.2457764527433443,0.13279983262722947,0.12458810607249333,0.23013755949578954,-0.5356465233254077,-0.08030598624752283,0.40967352672937696,0.06273448885453647,0.01673789735586051,0.0070923383758543235,0.022525596878237117,0.020277538494346166,0.016814452131813245,0.021328922351121153,0.021916482092034915,0.017195389122860345,1.0369668493527966e-215,1.0,0.9998977165410706,1.0,0.9967762442436803,0.8513604013116859,0.7855340403098836,1.0,True,True,True,True,False,False,True
MRGPRX2-1,92350,2126.170506710819,5,0.0,0.17496480779642665,0.173264753654575,0.2100162425554954,0.11641580942068219,0.08333513806172171,0.24200324851109908,-0.06362185956674749,0.09366257964578262,0.20706524549956828,-0.08841175027807502,-0.4342942540098649,0.07345984790428228,0.008692974488950778,0.008730009677648509,0.008114000442937086,0.010296954608439388,0.011938278745172911,0.00771378834768912,0.0,0.9999999999985997,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
NPBWR1-1,113858,1833.106660491384,5,0.0,0.1897978183351192,0.16315059108714364,0.2192731296878568,0.12232781183579547,0.11041824026418873,0.1950324087898962,0.03672084242258289,0.020815102907650207,0.26298478298052164,-0.03180488129462011,-0.12117367664325429,-0.2048427431074391,0.007594124126655098,0.008059043049072652,0.0072024798184692025,0.009086473703129845,0.009496807008447858,0.007511074104518578,0.0,0.9999943353330563,0.9779044559229916,1.0,0.9987674124451245,1.0,1.0,1.0,True,True,True,True,True,True,True
NPBWR2-1,373140,8017.007104947641,5,0.0,0.1481106287184435,0.1709465616122635,0.18166907863000484,0.12813421235997213,0.16004180736452805,0.21109771131478802,-0.2694420337453629,0.07916137391875266,0.025932377325083467,0.022192886164715375,0.31953803920979973,-0.10691166137316821,0.004669598548737512,0.00442092232196495,0.004313972306373219,0.004976507178040504,0.004553555102156504,0.004071245447230131,0.0,1.0,1.0,0.9999999831044832,0.999950628386719,1.0,1.0,1.0,True,True,True,True,True,True,True
OR10AC1-1,299012,1544.428350417391,5,0.0,0.19689510788864661,0.17032426792235764,0.18261808890613085,0.13031249581956578,0.10777159445105881,0.21207844501224032,0.08401267078508678,0.07413582397177021,0.03230318061789861,0.041913567964018794,-0.15084303474600547,-0.10023930635986056,0.004659888462182078,0.004929163548349916,0.004794244858586412,0.005502853423234699,0.005963665177906429,0.004526996267178192,0.0,1.0,1.0,0.9999999998517345,0.9999999999997637,1.0,1.0,1.0,True,True,True,True,True,True,True
OR10J4-1,282822,3182.601242225559,5,0.0,0.1549349060539845,0.1516254039643309,0.18155589027727687,0.12876650331303788,0.1193330080403929,0.26378428835097695,-0.2133795385126498,-0.06787291642764215,0.024952322921294012,0.02780749463708232,-0.03313449935480395,0.19296564637903657,0.00525041628808463,0.005302379252377738,0.004937015789074512,0.005682245846740053,0.005867731877027926,0.004322934214118022,0.0,1.0,1.0,0.9999970564169857,0.9999943165752859,0.9999998958861787,1.0,1.0,True,True,True,True,True,True,True
OR11G2-1,217700,964.1592773247485,5,3.450370149050481e-206,0.18350022967386312,0.16197519522278364,0.1844281120808452,0.11237023426734037,0.11094166283876895,0.24678456591639872,-0.005208782466505246,0.012204348310648205,0.04438622038269635,-0.12992533492030156,-0.1167787415754864,0.10064033996594723,0.0055873575130760585,0.005870774851719136,0.005578060022184766,0.006842350976960862,0.006881265591203007,0.005018905005538086,3.943280170343407e-206,0.6283154227455807,0.908883620330744,0.9999999999999836,1.0,1.0,1.0,1.0,False,True,True,True,True,True,True
OR11H2-1,78735,759.4179926178454,5,6.945968447603125e-162,0.17861179907283928,0.17059757414110624,0.1984886010033657,0.13408268241569823,0.09752968819457675,0.2206896551724138,-0.03833214206292834,0.07468881367106173,0.1353579600139525,0.0742237725084045,-0.2601217313371649,-0.04734047543040143,0.00933407186471341,0.009506878200039625,0.008966779373746923,0.010495178884689753,0.012044527586567787,0.008620887542428448,7.464324301901865e-162,0.99988008067003,0.9999999999999781,1.0,0.9999999999931095,1.0,0.9999998304979056,1.0,True,True,True,True,True,True,True
OR11H7-1,178751,5856.276206697132,5,0.0,0.14185654905427103,0.16133616035714485,0.18779755078293267,0.17683257716040748,0.12516293615140614,0.2070142264938378,-0.3164870772880577,0.007377742067624649,0.06682950474594751,0.4080931294989618,0.02230378836509317,-0.13026031106631542,0.006820038266439437,0.00647837148068991,0.006103394375633311,0.006261007151129825,0.007202153859343125,0.005878266460582137,0.0,1.0,0.7082070647998493,1.0,1.0,0.9941591677532161,1.0,1.0,True,False,True,True,True,True,True
OR13C7-1,180431,3257.755472780942,5,0.0,0.17264771574729398,0.13260470761676207,0.20324667047236894,0.11755186193059951,0.15395913119142499,0.21998991304155052,-0.0804523482965478,-0.22565253471294167,0.166700916821084,-0.07788979586552602,0.2669047483926854,-0.05187265915756445,0.006273642714878211,0.006986220889825441,0.005899123019828673,0.00736146041889615,0.006582650929379541,0.005724875333374777,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
OR14A2-1,176683,1516.5550522016893,5,0.0,0.15591200058862484,0.16884476718190206,0.19042013096902363,0.14263398289592094,0.11864186141281277,0.2235472569517158,-0.20406412323941048,0.06268663648428419,0.08418618076900275,0.14775562688093902,-0.03953118495895125,-0.03094561088761516,0.0066003189026577445,0.006399559914395561,0.006106406815115534,0.006859086452940321,0.007409856542459398,0.0057517928300320695,0.0,1.0,1.0,1.0,1.0,0.9999995417152396,0.9999995380890108,1.0,True,True,True,True,True,True,True
OR14I1-1,218539,1584.2664892539324,5,0.0,0.18216428189018893,0.17559337235001532,0.15579370272582926,0.12399617459583873,0.11282654354600323,0.2496259248921245,-0.014314551994010882,0.11117974756624283,-0.16244510589510086,-0.016353715024188142,-0.09749552986924437,0.11617144276593061,0.005592366869198047,0.00567768956061421,0.005946940235798153,0.006549237375380176,0.006818735303325636,0.0049906512602386835,0.0,0.9666374343573187,1.0,1.0,0.9666133915046169,1.0,1.0,1.0,True,True,True,True,True,True,True
OR1B1-1,263509,2377.3138413980087,5,0.0,0.1574671073853265,0.17000557855708914,0.18647939918560658,0.1461657856088407,0.11970748627181614,0.22017464299132097,-0.19346745365534845,0.07159803909348361,0.0584525104698681,0.17820722195601846,-0.02944516591267332,-0.05113227955433097,0.005400469695227738,0.005246257919688266,0.005059013264030638,0.005583830709056897,0.006066076501461985,0.0047519587921276705,0.0,1.0,1.0,1.0,1.0,0.9999935371174662,1.0,1.0,True,True,True,True,True,True,True
OR1E2-1,143275,6307.337782917362,5,0.0,0.1497609492235212,0.12494852556272902,0.20679811551212704,0.13010643866689933,0.17762345140464142,0.21076251963008202,-0.2515318144058827,-0.29394231849097685,0.18823607417820565,0.0395169010423666,0.4399801474337106,-0.10695028214567381,0.007441074473469294,0.008028455993071138,0.006566802478731421,0.007901276727315677,0.006968642763815499,0.006514074319774551,0.0,1.0,1.0,1.0,0.999997589775236,1.0,1.0,1.0,True,True,True,True,True,True,True
OR1E3-2,225595,4281.1398326649905,5,0.0,0.14672310999800528,0.17070857066867617,0.20568275006094994,0.13930716549568917,0.10208559586870276,0.2354928079079767,-0.27758257783736395,0.07643698706435154,0.1826639242943946,0.12034957568312832,-0.2115176140363766,0.03777649711478315,0.005997112491590389,0.005651396919163927,0.0052639494396871985,0.006143109951973344,0.007009890810487128,0.005009884914231998,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999995379,1.0,True,True,True,True,True,True,True
OR2T6-1,412649,2198.6362236532805,5,0.0,0.20089713049104688,0.15593882452156677,0.1679732654144321,0.12794651144192765,0.13601632380061504,0.21122794433041156,0.11091224284633361,-0.03433133465793747,-0.07226481806705731,0.020527016809025023,0.12196373260098992,-0.10645492397215017,0.003958072307602132,0.0043642831011953456,0.004233679722557042,0.0047432665409598476,0.004628084384350328,0.0038767576768708755,0.0,1.0,0.999999999999957,1.0,0.9999075598798793,1.0,1.0,1.0,True,True,True,True,True,True,True
OR2T8-1,378908,4302.93804953244,5,0.0,0.17626706218923854,0.16776895710832182,0.19430838092624067,0.12793342975075744,0.14077295807953383,0.19294921194590772,-0.055871420193525534,0.05584816189292341,0.11156944052717321,0.020346334257469678,0.16292380821123364,-0.22291834582530012,0.004329406923798328,0.004420062636142373,0.0041764714066358484,0.004942916977469427,0.004755534341203234,0.004174940403512999,0.0,1.0,1.0,1.0,0.999783521338195,1.0,1.0,1.0,True,True,True,True,True,True,True
OR2V1-1,57399,1232.381500664201,5,2.842828572032956e-264,0.18484642589592154,0.1736789839544243,0.19968989006777121,0.08190038153974807,0.12606491402289238,0.2338194045192425,0.003862727877381511,0.09628560527447849,0.14268050091371043,-0.47964340939492645,0.03032910544388212,0.027880205759967858,0.010778498742415196,0.011045903444263335,0.01046814128845868,0.015246359030327242,0.012605731576553902,0.00988531960662267,3.411394286439547e-264,0.6923982289764218,1.0,1.0,1.0,0.9779761378340014,0.9903790042522026,1.0,False,True,True,True,True,True,True
OR51J1-1,57654,6730.121864085562,5,0.0,0.11508308183300378,0.15939917438512505,0.11449335692232976,0.1704131543344781,0.10571686266347521,0.3348943698615881,-0.5543473132432095,-0.007151096577477256,-0.5175144691197424,0.35830538042214677,-0.16962398952482793,0.5313646275980248,0.013071666383306178,0.011404600749316936,0.013101408632480242,0.011110620814266252,0.01357332724175626,0.008851093745031971,0.0,1.0,0.7310466587540375,1.0,1.0,1.0,1.0,1.0,True,False,True,True,True,True,True
OR51M1-1,85783,2274.355590515849,5,0.0,0.15165009384143713,0.14226595012997914,0.16235151486891342,0.16688621288600305,0.11709779326906264,0.25974843500460465,-0.23557136836032844,-0.1419672191491934,-0.1113912594083799,0.3338777130328425,-0.05418905716946343,0.16858901257548253,0.009548014070785532,0.009805577817006441,0.009289172604508908,0.009198015014408487,0.010654975565701573,0.00781660173499713,0.0,1.0,1.0,1.0,1.0,0.9999988243298705,1.0,1.0,True,True,True,True,True,True,True
