ELM,effect,se,zscore,pvalue,contrast,pip,ci_excludes_zero,significant_pip,qvalue
PDZ,0.2533101976588269,36086.29409379246,7.019568066492069e-06,0.9999943991950163,EM_vs_CM,0.09999995766884132,False,False,1.0
PP1,-0.3125823881986791,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
PP2A,0.3733037103927927,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
PP2B,0.3949995186486397,31620.625516632652,1.2491831271360126e-05,0.9999900329606927,EM_vs_CM,0.09999995766884123,False,False,1.0
PP4,-0.21979094787533981,72333.8380961145,-3.0385633288709197e-06,0.9999975755772329,EM_vs_CM,0.09999995766884145,False,False,1.0
PTB,-0.29483420774205216,72805.04486016458,-4.049639805982336e-06,0.9999967688549221,EM_vs_CM,0.09999995766884144,False,False,1.0
Pex14,0.7883735739227585,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
SH2,0.0904464819927396,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
SH3,0.694385179275107,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
SUMO,-0.04024780339815909,32252.766988058265,-1.2478868375250104e-06,0.9999990043303587,EM_vs_CM,0.09999995766884125,False,False,1.0
TRAF2like,0.3497149450256457,82319.22933474343,4.24827768495697e-06,0.9999966103648252,EM_vs_CM,0.09999995766884147,False,False,1.0
TRAF4,-0.6199932792052414,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
TRFH,0.3793525807988618,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
TYR,0.1834948877731039,31981.491253698267,5.737533822844642e-06,0.9999954221103456,EM_vs_CM,0.09999995766884123,False,False,1.0
UBA3,-0.17343213533210775,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
USP7,-0.33010572298297536,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
WD40,0.03537869556841,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
WRC,-0.7574200488951721,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
WW,-0.26558291847220716,22880.890108589265,-1.1607193479440291e-05,0.9999907387995287,EM_vs_CM,0.09999995766884097,False,False,1.0
deltaCOP1,0.5302788085036307,13635.236016994197,3.889032854603476e-05,0.9999689700072963,EM_vs_CM,0.09999995766884001,False,False,1.0
14-3-3,0.15748875280007196,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
APCC,-0.2671363842951155,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
Actin,-0.14863319959625976,68794.20087064443,-2.160548385113721e-06,0.9999982761318007,Naive_vs_CM,0.09999995766884145,False,False,1.0
Arc,0.053041977201721026,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
BIR,-0.27210055465655003,61399.16599059245,-4.431665320962847e-06,0.9999964640426617,Naive_vs_CM,0.09999995766884143,False,False,1.0
