ELM,effect,se,zscore,pvalue,contrast,pip,ci_excludes_zero,significant_pip,qvalue
BIR,-0.11468919326755449,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
BRCT,0.20349336355717326,31496930.12573177,6.4607364192273165e-09,0.9999999948450782,Naive_vs_CM,0.0999999999999982,False,False,1.0
CKS1,-0.053327705130221614,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
CYCLIN,-0.08471981690075155,25122728.972355474,-3.3722378247194187e-09,0.9999999973093435,Naive_vs_CM,0.0999999999999982,False,False,1.0
Clathr,-0.06048170109586027,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
FHA,0.061292834604412476,4935633.075339805,1.2418434204652181e-08,0.9999999900915231,Naive_vs_CM,0.0999999999999982,False,False,1.0
IRF7,0.035609048170892534,13545077.668494444,2.6289290502717756e-09,0.9999999979024181,Naive_vs_CM,0.0999999999999982,False,False,1.0
Integrin,0.07743372637829471,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
LIR,0.02126205439800381,4885021.628593009,4.352499541363901e-09,0.9999999965272078,Naive_vs_CM,0.0999999999999982,False,False,1.0
MAPK,-0.1932463793023681,3808059.714499556,-5.0746677780961205e-08,0.9999999595100093,Naive_vs_CM,0.0999999999999982,False,False,1.0
MSH2,-0.09535674615411122,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
MYND,-0.04329628306250839,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
PCNA,-0.009448067211624736,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
PDZ,-0.07604906342467621,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
PP1,0.21542625961834944,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
PP2A,-0.055648088861339554,2.2892096181648025e+23,-2.4308865566426864e-25,1.0,Naive_vs_CM,0.0999999999999982,False,False,1.0
PP2B,-0.005877189228061859,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
PP4,0.07569827281809693,86218.4062716108,8.779827427988791e-07,0.9999992994711249,Naive_vs_CM,0.09999999999999772,False,False,1.0
PTB,0.014209349558072126,419994.6442491542,3.383221608331436e-08,0.9999999730057971,Naive_vs_CM,0.09999999999999817,False,False,1.0
Pex14,0.015908448288893304,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
REV1ctd,-0.058176522829766625,263518.507644758,-2.207682615909194e-07,0.9999998238524126,Naive_vs_CM,0.09999999999999815,False,False,1.0
SH2,0.028582857957559847,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
SH3,-0.005030691804231768,72019.42892369794,-6.985187024409218e-08,0.9999999442662711,Naive_vs_CM,0.09999999999999748,False,False,1.0
SUMO,-0.03424765691450137,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
TRAF2like,-0.05995934477350724,68982.26843558304,-8.691993773660607e-07,0.9999993064792365,Naive_vs_CM,0.09999999999999741,False,False,1.0
TRAF4,0.18928401399910122,534188.0134602996,3.5433968795551914e-07,0.9999997172778337,Naive_vs_CM,0.09999999999999822,False,False,1.0
UBA3,0.00971977803552882,63959.45293997293,1.5196781067922834e-07,0.9999998787472302,Naive_vs_CM,0.09999999999999726,False,False,1.0
USP7,0.027165815774651356,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
WD40,0.10057988767482207,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
WRC,0.1372615112753133,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
WW,0.11877139772734555,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
deltaCOP1,-0.055648088861339554,0.0,0.0,1.0,Naive_vs_CM,,True,False,1.0
eIF4E,-0.055648088861339554,1.9116842315030638e+25,-2.9109456438622284e-27,1.0,Naive_vs_CM,0.09999999999999822,False,False,1.0
14-3-3,0.06559163020309437,0.0,0.0,1.0,Naive_vs_EM,,True,False,1.0
ANK,0.04858400393352638,0.0,0.0,1.0,Naive_vs_EM,,True,False,1.0
Arc,0.011057541586065527,0.0,0.0,1.0,Naive_vs_EM,,True,False,1.0
BIR,0.0347278386312291,0.0,0.0,1.0,Naive_vs_EM,,True,False,1.0
BRCT,0.09470269720236477,74506856.05319199,1.2710601710902223e-09,0.9999999989858407,Naive_vs_EM,0.0999999999999982,False,False,1.0
CKS1,0.022941623314862478,0.0,0.0,1.0,Naive_vs_EM,,True,False,1.0
CYCLIN,-0.06210695246051362,0.0,0.0,1.0,Naive_vs_EM,,True,False,1.0
Clathr,-0.09489659754831817,54012411.15610935,-1.7569405904513932e-09,0.9999999985981642,Naive_vs_EM,0.0999999999999982,False,False,1.0
FHA,0.027907168137511665,4927084.311915952,5.664033000210555e-09,0.9999999954807555,Naive_vs_EM,0.09999999999999822,False,False,1.0
IRF7,0.06863564648906656,0.0,0.0,1.0,Naive_vs_EM,,True,False,1.0
Integrin,0.05130633908661758,3923971.9858708894,1.3075103306383726e-08,0.999999989567577,Naive_vs_EM,0.0999999999999982,False,False,1.0
LIR,0.07871760279375703,0.0,0.0,1.0,Naive_vs_EM,,True,False,1.0
MAPK,-0.07009746739002712,0.0,0.0,1.0,Naive_vs_EM,,True,False,1.0
