motif,contrast,log_effect,se_log_effect,z,logFC,pvalue,qvalue,neglog10_q
F_14_3_3,EM_vs_CM,0.026446899739568583,0.042437191438256014,0.6232009905284966,0.038154811101163214,0.5331524508848211,0.6664405636060264,0.17623857700623946
WD40,EM_vs_CM,-0.016439189117045117,0.030056735595229627,-0.5469386076528622,-0.02371673661539681,0.5844209104333732,0.6875540122745567,0.16269317922656612
USP7,EM_vs_CM,0.008784752595161593,0.019901596246947838,0.44140944706929464,0.012673719004476083,0.6589166042303319,0.7321295602559243,0.13541205784147578
UBA3,EM_vs_CM,-0.014680184148247816,0.040107144541665744,-0.3660241664174608,-0.021179028870013897,0.7143470428101937,0.7519442555896776,0.12381435407211751
Pex14,EM_vs_CM,-0.016706703368863873,0.05337475322263811,-0.31300759928905814,-0.02410267809986285,0.7542748886546198,0.7542748886546198,0.12247035059012328
TYR,Naive_vs_CM,-0.11663358266590496,0.01937701018327223,-6.019173317387854,-0.16826669131321406,1.7531008230246734e-09,3.506201646049347e-08,7.45516311070422
PP4,Naive_vs_CM,0.11559386658319824,0.027088016798137583,4.267343284841208,0.1667666980767606,1.9781464072619355e-05,0.00019781464072619355,3.703741568394595
FHA,Naive_vs_CM,-0.07018917745099332,0.026330562019673105,-2.6656923387564184,-0.10126157823262352,0.0076829968601669595,0.04028163647792383,1.3948928941537921
BRCT,Naive_vs_CM,-0.0963588765292222,0.03636595711328184,-2.6496999990694405,-0.1390164733143408,0.008056327295584765,0.04028163647792383,1.3948928941537921
PP1,Naive_vs_CM,-0.05930931784818412,0.027070806184005525,-2.1908958841139485,-0.08556525873808252,0.028459327661696555,0.11383731064678622,0.9437153728065629
PDZ,Naive_vs_CM,0.07554812241389294,0.03954623485492223,1.9103745954841422,0.10899290155499569,0.05608499940603639,0.18694999802012127,0.7282745351091219
MAPK,Naive_vs_CM,-0.024201447320327328,0.01357402265012123,-1.7829237466397763,-0.03491530803137173,0.07459871693727153,0.21313919124934724,0.6713366864735171
Arc,Naive_vs_CM,-0.07740058675628406,0.057154335573828575,-1.354238238957438,-0.111665442675187,0.17566038302040343,0.4391509575510086,0.3573861659491611
SH2,Naive_vs_CM,-0.012824013918008859,0.017354684322804362,-0.7389367435026103,-0.018501141283802428,0.45994540933851447,0.81059212286279,0.0911976209420258
CYCLIN,Naive_vs_CM,0.01577429827165676,0.02143712431171985,0.7358402200911258,0.02275750189002255,0.4618279411527161,0.81059212286279,0.0911976209420258
WW,Naive_vs_CM,0.030709697796885344,0.042701029058829276,0.7191793376823904,0.04430472871876521,0.47203042866923095,0.81059212286279,0.0911976209420258
WD40,Naive_vs_CM,0.020237996528159552,0.02907267483700283,0.696117458803661,0.029197257228703845,0.48635527371767406,0.81059212286279,0.0911976209420258
UBA3,Naive_vs_CM,0.030816329786401503,0.05952414950461024,0.5177113834111099,0.0444585661612403,0.6046596547359937,0.9302456226707595,0.03140236490159884
BIR,Naive_vs_CM,-0.006150897433295747,0.022091161361486453,-0.2784325066774973,-0.008873869224032428,0.7806803689468048,0.9426631021073435,0.02564349182044213
SUMO,Naive_vs_CM,-0.020171018343486863,0.0783240207541775,-0.2575329783795735,-0.029100628133828813,0.796767360526174,0.9426631021073435,0.02564349182044213
LIR,Naive_vs_CM,0.005205479709927477,0.02523537154871399,0.2062771178097733,0.007509919762960491,0.8365744515129074,0.9426631021073435,0.02564349182044213
USP7,Naive_vs_CM,0.004681699706833797,0.024018991560005677,0.194916580703969,0.006754264949980433,0.8454582536222106,0.9426631021073435,0.02564349182044213
Pex14,Naive_vs_CM,-0.008621505789793621,0.04926767711358288,-0.17499314550425007,-0.012438203647930744,0.8610850195765929,0.9426631021073435,0.02564349182044213
F_14_3_3,Naive_vs_CM,0.006348024833221277,0.048343740900128544,0.13131016994186312,0.009158263946328326,0.8955299470019764,0.9426631021073435,0.02564349182044213
SH3,Naive_vs_CM,0.0005027729221494526,0.06048888146143169,0.008311823760041347,0.0007253480014782681,0.9933682005110442,0.9933682005110442,0.0028897466597257292
BRCT,Naive_vs_EM,-0.2530898003973642,0.04417263152679011,-5.729561306391009,-0.3651313999328549,1.0069069456430379e-08,2.0138138912860758e-07,6.695980667706028
PP1,Naive_vs_EM,0.10056376269703607,0.023681474666621016,4.2465160684769545,0.14508284173614847,2.1712021580955876e-05,0.00018854830235519714,3.724577373526668
MAPK,Naive_vs_EM,-0.06591996468894154,0.01574443397290997,-4.18687421868351,-0.09510240615231154,2.8282245353279568e-05,0.00018854830235519714,3.724577373526668
SH2,Naive_vs_EM,-0.05328189828500632,0.02072855728547772,-2.570458597344603,-0.07686953042492878,0.010156396616807927,0.040599301791487775,1.3914814351595413
Arc,Naive_vs_EM,0.06034799843052732,0.02392767984038999,2.522099879013749,0.08706375806329672,0.011665658002613762,0.040599301791487775,1.3914814351595413
