motif,contrast,EM_coef,CM_coef,logFC,se,zscore,pvalue,Naive_coef,Low_coef,High_coef,qvalue
Integrin,EM_vs_CM,-1.2088259747949943,-0.9227500563632607,-0.28607591843173363,0.2570524378775496,-1.1129087932167745,0.2657476031330276,,,,0.4382402163322687
LIR,EM_vs_CM,-0.7038482529355069,-0.5962234376719233,-0.10762481526358358,0.06854607530741746,-1.5701090803653548,0.11638973644233386,,,,0.2696534916775443
LYPXL,EM_vs_CM,0.04280950200270814,-0.005454056149262421,0.04826355815197056,0.2884255806103049,0.16733452715894853,0.867106838379367,,,,0.9095568523171539
MAPK,EM_vs_CM,-0.15401640151542323,-0.1033789734686255,-0.05063742804679773,0.07948418483734498,-0.6370755157195266,0.5240756560286859,,,,0.6513954020039977
MSH2,EM_vs_CM,-0.7596830161067838,-0.30015948803184905,-0.45952352807493474,0.1684223335871257,-2.7284001966236917,0.006364234528061073,,,,0.03898093648437407
MYND,EM_vs_CM,0.21188651180611906,0.012448993578005108,0.19943751822811395,0.2621725482452491,0.7607109118135065,0.44682975583940077,,,,0.6255616581751611
NRBOX,EM_vs_CM,0.4686934401429237,-1.138202400728687,1.6068958408716107,0.31592510686315456,5.08631889635682,3.650800009223293e-07,,,,1.7888920045194136e-05
NRP,EM_vs_CM,-0.29169154864688585,-0.4887164614599163,0.19702491281303047,0.18643048620432637,1.0568277582942776,0.2905902033297453,,,,0.4593199988115329
PCNA,EM_vs_CM,-0.8908681134978267,-0.44044187873860374,-0.45042623475922294,0.212855187964817,-2.116115839439508,0.03433495666799313,,,,0.10735780435637281
PDZ,EM_vs_CM,-0.017645624118405673,-0.12524036084324153,0.10759473672483585,0.06940241209644199,1.5503025539706257,0.12106891463073419,,,,0.2696534916775443
PP1,EM_vs_CM,0.335097192550527,0.39532778664409535,-0.060230594093568346,0.13619291267032718,-0.44224470211136757,0.6583121414120996,,,,0.7680308316474496
PP2A,EM_vs_CM,-0.6733693150650677,-0.5230250401467659,-0.15034427491830182,0.10431723436448938,-1.4412218252737776,0.14952202435328085,,,,0.29875951763509623
PP2B,EM_vs_CM,-0.7016962425371198,-0.88725002092147,0.18555377838435017,0.1460335177135729,1.2706245887214158,0.2038622350824718,,,,0.35675891139432564
PP4,EM_vs_CM,-0.547154719582282,-0.6196694721700947,0.0725147525878127,0.11596148704175571,0.6253347937984048,0.531751348574692,,,,0.6513954020039977
PTB,EM_vs_CM,-0.06475999052635018,-0.14621834470311876,0.08145835417676858,0.11782633724386603,0.6913424967812896,0.48935033152894214,,,,0.6480585471599504
Pex14,EM_vs_CM,-0.5207893365661903,-0.4206386703170573,-0.10015066624913299,0.11011030138404422,-0.9095485616720467,0.3630606364621014,,,,0.5390900359588778
REV1ctd,EM_vs_CM,1.1248996430206644,0.8203550887119162,0.30454455430874816,0.1596022520332624,1.9081469743000783,0.056372222827073354,,,,0.16109456145565615
SH2,EM_vs_CM,0.084471171979633,-0.05017419615197989,0.13464536813161287,0.06388213729915607,2.1077154557474653,0.035055609585754384,,,,0.10735780435637281
SH3,EM_vs_CM,0.03914337144305956,-0.15520412302640385,0.19434749446946342,0.06520874288657741,2.9803901419707937,0.0028788147652546925,,,,0.028212384699495986
SUMO,EM_vs_CM,-0.6599260752150973,-0.6726597986301303,0.012733723415032983,0.0978953630471202,0.13007483724130867,0.8965072179357549,,,,0.9151844516427499
TRAF2like,EM_vs_CM,0.3580202575667504,0.19855688762952628,0.1594633699372241,0.11199051851433584,1.4239006306307198,0.15447523925362563,,,,0.29875951763509623
TRAF4,EM_vs_CM,0.3308876420627965,0.43830220392274727,-0.10741456185995074,0.19064310091199396,-0.563432725055895,0.5731402584994476,,,,0.6849725040603154
TRAF6,EM_vs_CM,-1.1227074736320353,-0.8839342143602807,-0.23877325927175452,0.13436520463750812,-1.7770468174102036,0.07556053723286929,,,,0.19486664865318923
TRFH,EM_vs_CM,-0.6416503569888398,-1.107040379733191,0.46539002274435115,0.19085974014525464,2.4383875949436167,0.014752946094301483,,,,0.06571766896552479
TYR,EM_vs_CM,-0.7188193918837238,-0.7918075683882895,0.07298817650456568,0.09557516410476136,0.7636730440197023,0.44506210839068694,,,,0.6255616581751611
UBA3,EM_vs_CM,-0.2175144523281618,-0.25841779919906527,0.04090334687090347,0.11543208961288216,0.35434987799388046,0.723076692246754,,,,0.8239711144207197
USP7,EM_vs_CM,-0.669979206014136,-0.8060118083590763,0.1360326023449403,0.05929291916790528,2.2942470071295378,0.021776314599392534,,,,0.08891995128085284
WD40,EM_vs_CM,-0.5240377001338299,-0.5345391984096128,0.01050149827578295,0.06335659428106168,0.1657522534938722,0.8683519224281001,,,,0.9095568523171539
WRC,EM_vs_CM,-0.34612192933490554,-0.6369253490681525,0.2908034197332469,0.11644644056043793,2.4973148026994814,0.012513781096481368,,,,0.06131752737275871
