motif,tsubset,coef,se
LIR,CM,-0.5962234376719233,0.04441387084096892
LYPXL,CM,-0.005454056149262421,0.1871007894387883
MAPK,CM,-0.1033789734686255,0.05150139395003958
MSH2,CM,-0.30015948803184905,0.10915085284154574
MYND,CM,0.012448993578005108,0.17021170625835697
NRBOX,CM,-1.138202400728687,0.20502034418139645
NRP,CM,-0.4887164614599163,0.12081225292507176
PCNA,CM,-0.44044187873860374,0.13792733030191703
PDZ,CM,-0.12524036084324153,0.044970951172567095
PP1,CM,0.39532778664409535,0.08823519664543797
PP2A,CM,-0.5230250401467659,0.0675948576533142
PP2B,CM,-0.88725002092147,0.09484538582743776
PP4,CM,-0.6196694721700947,0.0751677931602057
PTB,CM,-0.14621834470311876,0.07631935195984008
Pex14,CM,-0.4206386703170573,0.07135914380815622
REV1ctd,CM,0.8203550887119162,0.10336545241040343
SH2,CM,-0.05017419615197989,0.041384785775753996
SH3,CM,-0.15520412302640385,0.04224270485380401
SUMO,CM,-0.6726597986301303,0.06347131078402561
TRAF2like,CM,0.19855688762952628,0.07256960520885057
TRAF4,CM,0.43830220392274727,0.12349159272771894
TRAF6,CM,-0.8839342143602807,0.08714249267409924
TRFH,CM,-1.107040379733191,0.12369115163300508
TYR,CM,-0.7918075683882895,0.061976268047629395
UBA3,CM,-0.25841779919906527,0.07478275669701206
USP7,CM,-0.8060118083590763,0.03842333808715248
WD40,CM,-0.5345391984096128,0.04104954516359088
WRC,CM,-0.6369253490681525,0.07550381040321569
WW,CM,0.13894720343545477,0.041762933220795974
deltaCOP1,CM,-0.3494505708986899,0.15004035156132028
eIF4E,CM,0.8589559438021831,0.1304761809500708
14-3-3,EM,-0.0977224686783458,0.04704749597803002
ANK,EM,-0.1901849348063488,0.1628175097690701
APCC,EM,-1.3211462200788968,0.1340512336461732
Actin,EM,0.2139233755385993,0.16324178757041535
Arc,EM,0.2475032204498433,0.05982349315234006
BIR,EM,0.4832097070369762,0.06882570993428119
BRCT,EM,-0.614461383621649,0.07416010560587617
CDC14,EM,-1.5310429365940854,0.21633838566902588
CKS1,EM,-0.5165522750712103,0.10455243373786514
CSL,EM,-0.026551115820269866,0.1937333597885613
CYCLIN,EM,-0.4903468798120175,0.07634430518413558
Clathr,EM,-0.4479767318329629,0.16693049845223398
DLG,EM,-1.951065591152095,0.21115821257693024
EVH1,EM,-0.5521032118031869,0.14325884879684572
FHA,EM,-0.50972095900048,0.04731658285444815
GBD,EM,-1.5682203806081472,0.20597350280507823
IRF7,EM,-1.8748147712607581,0.19108894018902942
Integrin,EM,-1.2088259747949943,0.19564436996142728
LIR,EM,-0.7038482529355069,0.05221084673678332
LYPXL,EM,0.04280950200270814,0.21950537611132367
MAPK,EM,-0.15401640151542323,0.0605420685181804
MSH2,EM,-0.7596830161067838,0.12826602736070167
MYND,EM,0.21188651180611906,0.19940516569544098
NRBOX,EM,0.4686934401429237,0.24036499665766098
NRP,EM,-0.29169154864688585,0.14198847041062881
PCNA,EM,-0.8908681134978267,0.16212150566573044
PDZ,EM,-0.017645624118405673,0.05286121787699319
PP1,EM,0.335097192550527,0.1037451663190544
PP2A,EM,-0.6733693150650677,0.07945451909289988
