ELM,effect,se,zscore,pvalue,contrast,pip,ci_excludes_zero,significant_pip,qvalue
PP4,0.0017652903405696793,0.046141772441604056,0.03825796555179559,0.9694820048621665,EM_vs_CM,0.08972381701388811,False,False,0.9993964239193447
PTB,-0.001051527969844108,0.059733529882328336,-0.017603646928543458,0.9859550473002553,EM_vs_CM,0.08976744418611471,False,False,0.9993964239193447
Pex14,-0.0015516446910006695,0.02962414303454554,-0.05237770723667022,0.9582277367780392,EM_vs_CM,0.08957015456808715,False,False,0.9993964239193447
REV1ctd,-0.0037631409505636242,0.06557543133893973,-0.057386446016848565,0.9542373597210029,EM_vs_CM,0.0897786348678084,False,False,0.9993964239193447
SH2,-0.0007520123359451934,0.02288446118900848,-0.03286126466925027,0.9737852224169907,EM_vs_CM,0.08939362138354641,False,False,0.9993964239193447
SH3,0.0016682870949779657,0.029502739155523917,0.05654685438472602,0.9549061708085168,EM_vs_CM,0.08956812233571809,False,False,0.9993964239193447
SUMO,-0.007246365169604797,0.03487770329135492,-0.20776497549369718,0.8354124813374921,EM_vs_CM,0.08965059134307872,False,False,0.9993964239193447
TRAF2like,-0.02307836604364981,0.06942009954486274,-0.3324450151318987,0.7395532523308075,EM_vs_CM,0.0897895571707235,False,False,0.9993964239193447
TRAF4,-0.003016406829102548,0.05394435170719934,-0.05591700954114872,0.9554079203755735,EM_vs_CM,0.08975302124073524,False,False,0.9993964239193447
TRAF6,0.002348987446363327,0.08467481257175631,0.027741277187625483,0.9778685019254773,EM_vs_CM,0.08980001971896205,False,False,0.9993964239193447
TRFH,0.0020446745156427887,0.12159523386045187,0.016815416614020813,0.986583870956681,EM_vs_CM,0.08981663311231977,False,False,0.9993964239193447
TYR,-0.015505116446977319,0.04918332922069541,-0.31525146208388555,0.7525707349613686,EM_vs_CM,0.08974614789657386,False,False,0.9993964239193447
UBA3,-0.01362690055685173,0.033002484253491976,-0.41290529683109767,0.6796760001571348,EM_vs_CM,0.08965632801504973,False,False,0.9993964239193447
USP7,0.013362297022234978,0.020464530017682524,0.6529491276217528,0.513789075642248,EM_vs_CM,0.0895159383110711,False,False,0.9993964239193447
WD40,0.030875521307126973,0.021212638607916563,1.4555247877368833,0.1455240330203461,EM_vs_CM,0.09039959444911756,False,False,0.9993964239193447
WRC,0.01911521488700496,0.05680966915515325,0.33647819413979113,0.7365102925203686,EM_vs_CM,0.08976869260511232,False,False,0.9993964239193447
WW,0.036773951483355646,0.031121280681796152,1.1816336178242794,0.23735110835870843,EM_vs_CM,0.0899259049063859,False,False,0.9993964239193447
deltaCOP1,-0.010253323981562742,0.10641865658600709,-0.09634893270125104,0.9232434491485797,EM_vs_CM,0.08981203235895803,False,False,0.9993964239193447
eIF4E,-6.994387946771203e-05,0.0924608148268091,-0.0007564705069788303,0.9993964239193447,EM_vs_CM,0.0898052037338343,False,False,0.9993964239193447
14-3-3,0.044809004718701195,0.020741144257816764,2.160392125030128,0.030742326566287146,Naive_vs_CM,0.09179768447717972,True,False,0.9980783501711353
ANK,0.0021903304681614453,0.09722976428036653,0.022527365816145825,0.9820272827716396,Naive_vs_CM,0.08980780768773866,False,False,0.9980783501711353
APCC,0.002035298740935566,0.058447909708405694,0.03482243849420092,0.972221328149266,Naive_vs_CM,0.08976462423754693,False,False,0.9980783501711353
Actin,-0.0018485664391286894,0.059525971431147594,-0.031054788266108118,0.9752258459992925,Naive_vs_CM,0.08976703434732328,False,False,0.9980783501711353
Arc,-0.02210317220337657,0.03477592158100855,-0.635588395605519,0.5250447350257481,Naive_vs_CM,0.08971824087137943,False,False,0.9980783501711353
BIR,-0.02231044204864732,0.026955766545445885,-0.8276686181798312,0.4078581961645683,Naive_vs_CM,0.08973144544378117,False,False,0.9980783501711353
BRCT,0.023023113021052904,0.037053865340213696,0.621341736136404,0.5343747984911213,Naive_vs_CM,0.08972881062368022,False,False,0.9980783501711353
CDC14,-0.0015074152496952617,0.12705850153063653,-0.011863946383247654,0.9905341624089941,Naive_vs_CM,0.08981794887389834,False,False,0.9980783501711353
CKS1,-0.0020188296961835984,0.0619287822567438,-0.03259921514061026,0.9739941957262049,Naive_vs_CM,0.08977200123868682,False,False,0.9980783501711353
CSL,-0.003862492934194405,0.1389681811471489,-0.02779408136675932,0.9778263865257489,Naive_vs_CM,0.08982030997467635,False,False,0.9980783501711353
CYCLIN,-0.047567123227716814,0.030267727179253245,-1.5715459223618644,0.11605589632745757,Naive_vs_CM,0.09020168911016498,False,False,0.9980783501711353
Clathr,-0.006449007568798084,0.09563160444234019,-0.06743594449140951,0.9462346547386741,Naive_vs_CM,0.08980708495820189,False,False,0.9980783501711353
DLG,0.008156202060628294,0.08765320801221481,0.09305081063880395,0.9258631952359074,Naive_vs_CM,0.08980241258625365,False,False,0.9980783501711353
EVH1,0.0009544906225112005,0.15609566622019316,0.006114779773352373,0.9951211420300003,Naive_vs_CM,0.08982278892440627,False,False,0.9980783501711353
FHA,0.023787412807958673,0.021541722682276863,1.1042484001304789,0.26948539946939987,Naive_vs_CM,0.08993757587995399,False,False,0.9980783501711353
GBD,-0.00260876789273746,0.1214169159059356,-0.021486033253871568,0.9828579447412161,Naive_vs_CM,0.08981658989043421,False,False,0.9980783501711353
IRF7,0.010364355343879758,0.07431683258999196,0.13946174752979848,0.8890852815421549,Naive_vs_CM,0.08979118477438953,False,False,0.9980783501711353
Integrin,0.008620237216783861,0.09915695662010099,0.08693527424213397,0.9307229608601278,Naive_vs_CM,0.08980891604895024,False,False,0.9980783501711353
LIR,-0.005949514475779126,0.024311627667508724,-0.24471888748651555,0.8066741025363947,Naive_vs_CM,0.08946602908507455,False,False,0.9980783501711353
LYPXL,-0.0019035788180460401,0.09168761928678004,-0.020761568823071265,0.9834358547623313,Naive_vs_CM,0.089804756918275,False,False,0.9980783501711353
MAPK,-0.028474252138363253,0.023526689162987217,-1.2102957598963677,0.22616542411537455,Naive_vs_CM,0.09002299503360121,False,False,0.9980783501711353
MSH2,0.0014348005663636755,0.06281875354486276,0.02284032212353586,0.981777644001709,Naive_vs_CM,0.08977366418767609,False,False,0.9980783501711353
MYND,0.008974441134212332,0.06914132527414468,0.12979851194099565,0.8967258402548154,Naive_vs_CM,0.08978467879966939,False,False,0.9980783501711353
NRBOX,-0.004245857273273099,0.05683152650627364,-0.07470954124036064,0.940445816079718,Naive_vs_CM,0.08976103751409746,False,False,0.9980783501711353
NRP,-0.002137505730355475,0.056193364504712434,-0.03803840096060134,0.9696570646320418,Naive_vs_CM,0.08975910917284367,False,False,0.9980783501711353
PCNA,-0.007081623042126773,0.048765980137595026,-0.14521646078158812,0.8845399698692786,Naive_vs_CM,0.0897370648987743,False,False,0.9980783501711353
PDZ,0.03532009461986517,0.026984380728617512,1.3089088452716446,0.19056523003875125,Naive_vs_CM,0.09005655771365534,False,False,0.9980783501711353
PP1,0.002163326487435403,0.037075882072292385,0.05834861819921754,0.953470941729537,Naive_vs_CM,0.08966477646058611,False,False,0.9980783501711353
PP2A,0.0009080579122122175,0.05768619077561901,0.01574133947835583,0.98744074694174,Naive_vs_CM,0.08976276037627703,False,False,0.9980783501711353
PP2B,-0.01648388234168001,0.07549479318691585,-0.21834462544811453,0.8271606070439549,Naive_vs_CM,0.0897936028727131,False,False,0.9980783501711353
PP4,0.004350881107642221,0.04676783396361976,0.09303148636361325,0.9258785471844544,Naive_vs_CM,0.08972745581597567,False,False,0.9980783501711353
PTB,-0.0022382775798287986,0.060685135332628155,-0.036883457004097,0.9705779301705812,Naive_vs_CM,0.08976952594965297,False,False,0.9980783501711353
Pex14,0.022991776359715322,0.0299127023624935,0.7686291957541059,0.4421134684263792,Naive_vs_CM,0.08972622778866696,False,False,0.9980783501711353
REV1ctd,-0.01204880366192089,0.06556346854910484,-0.18377312745277866,0.8541914382540093,Naive_vs_CM,0.08978025539685694,False,False,0.9980783501711353
SH2,-0.012037136181213989,0.02301150460950737,-0.5230920961265939,0.6009101655158771,Naive_vs_CM,0.08951598018020483,False,False,0.9980783501711353
SH3,0.02254835660648437,0.029892449468026584,0.7543161235616518,0.4506594229358595,Naive_vs_CM,0.08972047260642882,False,False,0.9980783501711353
SUMO,0.00720049685648929,0.035179277209349595,0.20468006814465234,0.8378220940337011,Naive_vs_CM,0.08965344707102714,False,False,0.9980783501711353
TRAF2like,0.000652938395392728,0.07312677353503053,0.008928855518012778,0.9928758986975198,Naive_vs_CM,0.08978899859989117,False,False,0.9980783501711353
TRAF4,0.013260523556823733,0.055209667148195196,0.24018481258417113,0.8101869869259943,Naive_vs_CM,0.0897607460339383,False,False,0.9980783501711353
TRAF6,0.00020537654436748377,0.08527392088871368,0.0024084332258570524,0.9980783501711353,Naive_vs_CM,0.08980044711329818,False,False,0.9980783501711353
TRFH,0.0012052520590666315,0.12515058152114816,0.00963041517200594,0.992316159193155,Naive_vs_CM,0.08981750744862613,False,False,0.9980783501711353
TYR,-0.015746139389389992,0.049289316752318436,-0.319463535445525,0.7493750383270326,Naive_vs_CM,0.08974677165232295,False,False,0.9980783501711353
UBA3,-0.006832128727354949,0.03330741496285287,-0.2051233557144766,0.8374757491733148,Naive_vs_CM,0.08963288816341439,False,False,0.9980783501711353
USP7,0.029903293122100723,0.020594914121913558,1.451974645054858,0.1465086553902627,Naive_vs_CM,0.09042797818843168,False,False,0.9980783501711353
WD40,0.03336133485542703,0.02131849210859717,1.5649012456173343,0.11760606659026568,Naive_vs_CM,0.09056151046826222,False,False,0.9980783501711353
WRC,0.020766022166483357,0.057931170254878504,0.35846025680336757,0.719998904918808,Naive_vs_CM,0.089772181313649,False,False,0.9980783501711353
WW,0.016602044292460084,0.03128367026363873,0.5306936223450986,0.5956311062583599,Naive_vs_CM,0.08966264325387137,False,False,0.9980783501711353
deltaCOP1,-0.007852377206028877,0.1072707281359687,-0.0732014906813699,0.9416457801802821,Naive_vs_CM,0.08981227392948803,False,False,0.9980783501711353
eIF4E,0.004574681451347852,0.09333078710788004,0.04901578132047711,0.9609067193812904,Naive_vs_CM,0.08980577009673486,False,False,0.9980783501711353
14-3-3,0.004948207444042698,0.019798120033065865,0.24993319748432885,0.802639009871365,Naive_vs_EM,0.0892832444812518,False,False,0.9999149357438444
ANK,0.003104855232415088,0.09195816434588483,0.03376378002432398,0.97306551882074,Naive_vs_EM,0.08980493806494709,False,False,0.9999149357438444
APCC,0.011635683610632488,0.055776862618386755,0.2086112962330155,0.8347516914748216,Naive_vs_EM,0.08976113928417556,False,False,0.9999149357438444
Actin,0.01376854557664156,0.0555016686576575,0.2480744436994856,0.8040768086469959,Naive_vs_EM,0.08976178507727745,False,False,0.9999149357438444
Arc,-0.004555274405038105,0.03317689801718889,-0.13730260142699374,0.890791614270891,Naive_vs_EM,0.08962646724136422,False,False,0.9999149357438444
BIR,-0.005908060089812653,0.025700809940202473,-0.22987836194885727,0.818186290757807,Naive_vs_EM,0.08950189529992066,False,False,0.9999149357438444
BRCT,0.011688597131926335,0.03541826742057932,0.3300160618566799,0.7413878257902172,Naive_vs_EM,0.08966814844198985,False,False,0.9999149357438444
CDC14,0.0025710271146503596,0.12019364947869451,0.021390706795254594,0.9829339867741456,Naive_vs_EM,0.08981626855714545,False,False,0.9999149357438444
CKS1,-0.003270414566467346,0.059009024239874114,-0.055422278348019716,0.9558020475572893,Naive_vs_EM,0.0897660270955932,False,False,0.9999149357438444
CSL,0.0006317984559310575,0.12717756885417636,0.004967845050218618,0.9960362494378631,Naive_vs_EM,0.0898179740598838,False,False,0.9999149357438444
CYCLIN,-0.006987541603990299,0.028887404484202427,-0.24188886917173733,0.8088662751829165,Naive_vs_EM,0.08957201754995861,False,False,0.9999149357438444
Clathr,-0.005499340387472424,0.09096742389956956,-0.060453953203553845,0.9517940887531704,Naive_vs_EM,0.08980440950731633,False,False,0.9999149357438444
DLG,0.002002147360594022,0.08501307677851587,0.023551051631859013,0.9812107164473761,Naive_vs_EM,0.08980026904792655,False,False,0.9999149357438444
