ELM,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars
PP4,66,927,1102893.5,0.9610041924140736,0.0014687507945328874,2202552,-1.2010648052344897,-0.8803737413754309,-4.474136750251441,-4.586445732121443,Naive_Low,0.9675864129100605,
PTB,46,947,819687.0,0.20243544399245617,0.04536446138071408,1568232,0.059168875767721583,-0.9483616723187075,-4.177611788069464,-4.623432875348919,Naive_Low,0.3967734702252141,
Pex14,131,862,1956858.5,0.0918601711668069,-0.03726146268122145,4065192,-1.4755207341001244,-0.8144820408739958,-5.522812193038856,-4.335120916405877,Naive_Low,0.23226520813404058,
REV1ctd,29,964,550301.0,0.035158650568581695,0.0935855550786156,1006416,2.2876596943192196,-0.9976336789790021,-4.216541418858364,-4.58823646724214,Naive_Low,0.1308435856602914,
SH2,452,541,4336127.5,0.32223426914336295,-0.0148693331661205,8803152,-1.3755117984404552,-0.505814052690231,-4.384597916105108,-4.79344344468217,Naive_Low,0.5413535721608498,
SH3,231,762,3268533.0,0.07424572314140912,0.03160495089628948,6336792,-1.0389793950302606,-0.8600688912710113,-3.611659255614417,-4.9136014833176045,Naive_Low,0.20788802479594554,
SUMO,105,888,1645528.5,0.4218778395465773,-0.01953828828828829,3356640,-1.6572728342503456,-0.8123458195993406,-4.980385566488703,-4.5297543817594335,Naive_Low,0.6215727703887928,
TRAF2like,45,948,815757.0,0.082977917926894,0.06234958587279262,1535760,1.2105137450467862,-1.0019513227084451,-3.2812444482976764,-4.683289074943946,Naive_Low,0.2217773442773349,
TRAF4,32,961,612009.0,0.012637138797323292,0.10563540582726327,1107072,1.906084080136725,-0.9951835858115254,-2.8654156463835703,-4.623432875348919,Naive_Low,0.06815977715760234,
TRAF6,30,963,552652.5,0.15103229845867983,0.06275239413868697,1040040,-0.09227300769420026,-0.9269039929072428,-2.84603579068186,-4.691281413752604,Naive_Low,0.3389579828003959,
TRFH,11,982,170249.0,0.08177154651548135,-0.12439568804130922,388872,-4.771762585651571,-0.8583374205278345,-7.3895254997467035,-4.543816596463519,Naive_Low,0.2217773442773349,
TYR,88,905,1300583.5,0.00042646915668891614,-0.0927343183213349,2867040,-5.0877821489077775,-0.49464299038300136,-4.9236088280096,-4.5297543817594335,Naive_Low,0.005699178730297335,**
UBA3,92,901,1458947.0,0.38974819015142526,-0.022190185891146175,2984112,-0.7011518410626155,-0.922165112122908,-5.2004269373315655,-4.493513236433928,Naive_Low,0.6062749624577726,
USP7,449,544,4489412.0,0.1601963116031626,0.021108090600754036,8793216,-1.1789989471388092,-0.6728055296602489,-4.265471153193097,-4.948841847724774,Naive_Low,0.35457453627274615,
WD40,534,459,4376803.0,0.5958896637497872,-0.007956874894036774,8823816,-1.2734465204736947,-0.4691858245480345,-4.6122900102955935,-4.527886252402256,Naive_Low,0.7717689918169051,
WRC,44,949,742622.0,0.7422475250508529,-0.011955700311864695,1503216,-1.3357164083149407,-0.8815650299627431,-4.974874010368273,-4.543816596463519,Naive_Low,0.8599017812888912,
