ELM_mw,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars,ELM_dm,Phenotype,Effect,SE,Pvalue,FDR,log2FC,ELM_raw
SH2,452,541,4336127.5,0.32223426914336295,-0.0148693331661205,8803152,-1.3755117984404552,-0.505814052690231,-4.384597916105108,-4.79344344468217,Naive_Low,0.5413535721608498,,SH2,Naive_Low,0.0,0.0,,,0.0,SH2
SH3,231,762,3268533.0,0.07424572314140912,0.03160495089628948,6336792,-1.0389793950302606,-0.8600688912710113,-3.611659255614417,-4.9136014833176045,Naive_Low,0.20788802479594554,,SH3,Naive_Low,0.0,0.0,,,0.0,SH3
SUMO,105,888,1645528.5,0.4218778395465773,-0.01953828828828829,3356640,-1.6572728342503456,-0.8123458195993406,-4.980385566488703,-4.5297543817594335,Naive_Low,0.6215727703887928,,SUMO,Naive_Low,0.0,0.0,,,0.0,SUMO
TRAF2like,45,948,815757.0,0.082977917926894,0.06234958587279262,1535760,1.2105137450467862,-1.0019513227084451,-3.2812444482976764,-4.683289074943946,Naive_Low,0.2217773442773349,,TRAF2like,Naive_Low,0.0,0.0,,,0.0,TRAF2like
TRAF4,32,961,612009.0,0.012637138797323292,0.10563540582726327,1107072,1.906084080136725,-0.9951835858115254,-2.8654156463835703,-4.623432875348919,Naive_Low,0.06815977715760234,,TRAF4,Naive_Low,0.0,0.0,,,0.0,TRAF4
TRAF6,30,963,552652.5,0.15103229845867983,0.06275239413868697,1040040,-0.09227300769420026,-0.9269039929072428,-2.84603579068186,-4.691281413752604,Naive_Low,0.3389579828003959,,TRAF6,Naive_Low,0.0,0.0,,,0.0,TRAF6
TRFH,11,982,170249.0,0.08177154651548135,-0.12439568804130922,388872,-4.771762585651571,-0.8583374205278345,-7.3895254997467035,-4.543816596463519,Naive_Low,0.2217773442773349,,TRFH,Naive_Low,0.0,0.0,,,0.0,TRFH
TYR,88,905,1300583.5,0.00042646915668891614,-0.0927343183213349,2867040,-5.0877821489077775,-0.49464299038300136,-4.9236088280096,-4.5297543817594335,Naive_Low,0.005699178730297335,**,TYR,Naive_Low,0.0,0.0,,,0.0,TYR
UBA3,92,901,1458947.0,0.38974819015142526,-0.022190185891146175,2984112,-0.7011518410626155,-0.922165112122908,-5.2004269373315655,-4.493513236433928,Naive_Low,0.6062749624577726,,UBA3,Naive_Low,0.0,0.0,,,0.0,UBA3
USP7,449,544,4489412.0,0.1601963116031626,0.021108090600754036,8793216,-1.1789989471388092,-0.6728055296602489,-4.265471153193097,-4.948841847724774,Naive_Low,0.35457453627274615,,USP7,Naive_Low,0.0,0.0,,,0.0,USP7
WD40,534,459,4376803.0,0.5958896637497872,-0.007956874894036774,8823816,-1.2734465204736947,-0.4691858245480345,-4.6122900102955935,-4.527886252402256,Naive_Low,0.7717689918169051,,WD40,Naive_Low,0.0,0.0,,,0.0,WD40
WRC,44,949,742622.0,0.7422475250508529,-0.011955700311864695,1503216,-1.3357164083149407,-0.8815650299627431,-4.974874010368273,-4.543816596463519,Naive_Low,0.8599017812888912,,WRC,Naive_Low,0.0,0.0,,,0.0,WRC
WW,254,739,3464520.0,0.1385120463184531,0.025397873980231498,6757416,-1.2023400811342575,-0.798352306890933,-3.7773804427149535,-4.998437566156689,Naive_Low,0.318617701099905,,WW,Naive_Low,0.0,0.0,,,0.0,WW
