motif,tsubset,coef,se
CYCLIN,EM,-4.535112392708194,0.3630768324316427
FHA,EM,-2.586720935991897,0.27535807105926574
LIR,EM,-1.666198105590746,0.28539025500296245
MAPK,EM,-3.255201991721537,0.33741321999739826
NRP,EM,-2.31964002609088,0.403674280404445
PCNA,EM,-1.5066267214592655,0.3359554218419788
PDZ,EM,-0.860083293080007,0.3025733277570063
PP1,EM,3.578094927087217,0.7114521627505895
PP2A,EM,0.7587124919957557,0.2819611469295644
PP2B,EM,0.1844930978981443,0.6088013856164207
PP4,EM,-1.7932016698123354,1.0860432900375243
Pex14,EM,-0.8108949639593169,0.37064804980858607
SH2,EM,0.9917915576319498,0.30478597947836333
SH3,EM,5.100130101202551,0.33480193289750043
SUMO,EM,1.0944918777704264,0.4054896179345789
TYR,EM,-2.4725139919859336,0.5304682761032083
UBA3,EM,-2.0607593816306244,0.39984516444339074
USP7,EM,0.47765717057551116,0.3014169700117402
WD40,EM,-0.6205607079760633,0.3322316930837979
WRC,EM,-2.094168911820599,0.3905533637885109
WW,EM,-4.006388128858678,0.29741511364392226
14-3-3,High,-0.05582918129540872,0.19649898627369705
APCC,High,-1.7848183253356757,0.39710080035063217
Arc,High,1.6943515642577163,0.3610436991718529
BIR,High,-2.278462750156111,0.9217922646592327
BRCT,High,-2.4237131914333094,0.3998187358641169
CYCLIN,High,-1.6206053579191682,0.28169577442599275
FHA,High,-2.29126895049731,0.22021262142040404
LIR,High,-1.8450413773034138,0.2521729852184488
MAPK,High,-3.5506523075556973,0.2937993914703668
NRP,High,-0.01552915844658298,0.33518140065540464
PCNA,High,-1.5720319870490111,0.27584481671331496
PDZ,High,-1.3384748068574848,0.2462416009107863
PP1,High,6.395434539150505,0.6111013333998949
PP2A,High,-0.17174337613294322,0.23097467586938827
PP2B,High,-5.357419943043249,0.5131338449935063
PP4,High,3.8089395359967027,0.8749478384265573
Pex14,High,-3.3300325033535367,0.32908122763533765
SH2,High,1.2481601631348473,0.2542599897485848
SH3,High,2.391626454654768,0.25697615974098215
SUMO,High,2.275463117743907,0.3369272328099732
TYR,High,-3.509129614835239,0.4408013264265628
UBA3,High,-1.5598497174067099,0.3426234010553279
USP7,High,-0.28819414280371297,0.24692404616021704
WD40,High,0.5653965879490314,0.2739409566510106
WRC,High,-0.45820768777361387,0.3100627809736447
WW,High,-3.14450470658167,0.24389727106611747
14-3-3,Low,-0.350243094851165,0.2026367324817612
APCC,Low,-1.2086839866610364,0.3911732999179752
Arc,Low,2.988445703939054,0.36108595290494494
BIR,Low,3.6995166665979013,0.9303261779982923
BRCT,Low,-0.49559705240172036,0.4040255574701978
CYCLIN,Low,-5.09409626992018,0.307962877843694
FHA,Low,-3.419806338969033,0.22868748701005848
LIR,Low,-2.053265974622036,0.23368339180451952
MAPK,Low,-3.1154669547329426,0.2781327400470816
NRP,Low,-1.8763117398978397,0.33075795072593
PCNA,Low,-1.4705225394181496,0.2747389601172257
PDZ,Low,-0.8386460187926696,0.2529903080892829
PP1,Low,4.758235881920519,0.5836138236086755
PP2A,Low,0.8033285970791852,0.23439805406125053
PP2B,Low,1.0412239265610848,0.5028261472780549
PP4,Low,-3.0879983616219926,0.8857584008859678
Pex14,Low,-0.8280408458018863,0.3056461234969092
SH2,Low,1.4600285831252608,0.24998903532021213
SH3,Low,5.83896009152577,0.2804509381490912
