ELM,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars
PP4,23,333,140530.0,0.7034436736694176,0.019352686019352687,275724,-0.5790945159361853,-0.33451979595885883,-2.32876494748861,-2.729209542441531,CM_High,0.9446734707501486,
PTB,22,334,149174.5,0.01374930411883504,0.1278541402044396,264528,2.9784509892161375,-0.5695814002502614,-0.9516772738842539,-2.8762725723382063,CM_High,0.13405348661916539,
Pex14,77,279,375600.0,0.34451842669476573,-0.02868935126999643,773388,-2.027819987469199,0.1126447065028532,-3.095313037572429,-2.5331068356228776,CM_High,0.7662253170157853,
REV1ctd,13,343,84342.0,0.44546258241239545,0.050833520221275325,160524,-0.4292708593241312,-0.34732870189393167,-1.4047796076773396,-2.7796067477329904,CM_High,0.7662253170157853,
SH2,128,228,522149.5,0.8171847626406782,-0.006020231786062378,1050624,-1.2662975011418507,0.16391146590054648,-2.5978653638782103,-2.80038540773286,CM_High,0.9446734707501486,
SH3,73,283,373277.5,0.9021443664289845,0.00380651962287085,743724,-1.3670410242354238,-0.08805749523549929,-2.140959289983098,-2.8528345991382844,CM_High,0.9446734707501486,
SUMO,31,325,188819.0,0.3527424667169907,0.041185552798456024,362700,2.2720248634292517,-0.6004524205758127,-2.5564105397861514,-2.723710791026809,CM_High,0.7662253170157853,
TRAF2like,12,344,75792.0,0.7724660592898684,0.020025839793281652,148608,1.3947203300319295,-0.4111945054686495,-3.4472795150846203,-2.678394270321521,CM_High,0.9446734707501486,
TRAF4,17,339,99058.5,0.44182174655184026,-0.04507201110532709,207468,-3.5419920637539906,-0.1902666691357359,-2.568526610085816,-2.723710791026809,CM_High,0.7662253170157853,
TRAF6,10,346,58377.0,0.4073339778072719,-0.06266859344894027,124560,-3.533153196972802,-0.2583316010147522,-4.611893471236833,-2.6943217862573468,CM_High,0.7662253170157853,
TRFH,2,354,13990.0,0.558811814380703,0.09777150031387319,25488,-1.9384663824569142,-0.3413483987455326,-1.0922674281971865,-2.729209542441531,CM_High,0.862350617674474,
TYR,17,339,103014.5,0.905839248425242,-0.006936009408679893,207468,-1.9435764725944906,-0.2704232032056812,-2.638536798640393,-2.722223088464425,CM_High,0.9446734707501486,
UBA3,35,321,199285.0,0.7286317383525276,-0.014562626712159422,404460,-1.6984973088863686,-0.20332355174395464,-2.670920592908274,-2.7157436008965155,CM_High,0.9446734707501486,
USP7,189,167,570325.0,0.8776179799432723,0.0038564845617407163,1136268,-0.6421563098771624,-0.020040259605081476,-2.630283567784129,-2.8391553437552988,CM_High,0.9446734707501486,
WD40,183,173,546315.0,0.09837577795613436,-0.041320530233635515,1139724,-1.3663400185450505,0.7244274998434218,-2.839324246064006,-2.369156494146606,CM_High,0.42459600382887275,
WRC,16,340,88129.0,0.09734982619837083,-0.09998978758169935,195840,-2.268782316598055,-0.26004043780959835,-4.933653034150236,-2.603316373733833,CM_High,0.42459600382887275,
WW,91,265,429108.0,0.6898704715051263,-0.011431335959637846,868140,-1.5983015949998542,0.07823086499680929,-2.48489086572245,-2.819589009594848,CM_High,0.9446734707501486,
deltaCOP1,6,350,44081.0,0.08695630354123654,0.16616402116402115,75600,6.603690889775676,-0.4695326035985325,-0.9825345478648417,-2.729209542441531,CM_High,0.42459600382887275,
eIF4E,4,352,21370.0,0.1859882093914288,-0.15680239898989898,50688,-4.46283903496733,-0.30358781187773576,-6.343472234753591,-2.678394270321521,CM_High,0.5951622700525722,
14-3-3,155,201,530710.0,0.03330775035062122,-0.05363861695108686,1121580,-0.7090823233931035,1.676648903124879,-3.029978330542013,-1.917679708279779,CM_Low,0.3158978163178018,
ANK,4,352,23438.0,0.5259326776186286,-0.07520517676767677,50688,-4.248653210591729,0.6934468245583421,-2.086258853487378,-2.5884036242851813,CM_Low,0.8059962478606802,
APCC,7,349,39620.0,0.2713086783617802,-0.09901305316778096,87948,-0.23651922642758225,0.6554564584159387,-4.93458512075274,-2.5128934101790517,CM_Low,0.6471823656635007,
Actin,15,341,91230.5,0.8835164030987445,-0.009118062343868796,184140,0.39881447835788253,0.648435343773611,-2.7349172676442723,-2.564927780689927,CM_Low,0.8938781864416144,
Arc,49,307,276412.0,0.5659279569657609,0.020821792343430314,541548,2.1648982379368316,0.3941975757109602,-2.1314106078131116,-2.627758929579387,CM_Low,0.8059962478606802,
BIR,54,302,292179.5,0.8938781864416143,-0.004648366173384569,587088,0.2463235275638639,0.7079377447474201,-2.15525026741099,-2.6039790330460373,CM_Low,0.8938781864416144,
BRCT,54,302,277879.0,0.1255271931924864,-0.05336508325838716,587088,0.2704019628218298,0.7036323291714924,-3.279444151714001,-2.386747941343019,CM_Low,0.4303789480885248,
CDC14,5,351,35479.0,0.2463504328631657,0.12310857866413422,63180,5.249859230663162,0.5722204366064207,-0.9341292923448941,-2.600105545626365,CM_Low,0.6223589882858923,
CKS1,14,342,74132.5,0.02962115991503211,-0.1398345400538383,172368,-0.7439244953936763,0.6944842466014065,-5.107359757278687,-2.4406140547898065,CM_Low,0.3158978163178018,
CSL,4,352,28101.0,0.3588942924678694,0.10878314393939394,50688,8.207728993807931,0.5518970267810731,-1.1397452039748213,-2.5884036242851813,CM_Low,0.7177885849357389,
CYCLIN,55,301,316974.0,0.06537643678911219,0.06370683579985906,595980,1.934601853465362,0.40098195169958356,-1.4300586512672973,-2.7221631703173452,CM_Low,0.3158978163178018,
Clathr,1,355,11042.0,0.0020471778945789537,0.7280125195618153,12780,23.61989259524555,0.5731796529772505,14.601322097261775,-2.5976100512573486,CM_Low,0.03275484631326326,*
DLG,6,350,33058.0,0.19627400128876438,-0.12544973544973545,75600,-3.527765842306516,0.7093293270171676,-5.927216403006114,-2.5128934101790517,CM_Low,0.5925102081941284,
EVH1,2,354,13884.0,0.5927511887817287,0.08945386064030132,25488,11.654448144751228,0.5756773251770257,-2.169568242421149,-2.571911446010917,CM_Low,0.8059962478606802,
FHA,131,225,538300.5,0.5729018821892444,0.014608425219112242,1061100,0.12446636310266693,0.936860337047645,-2.2152446494922318,-2.728965225265415,CM_Low,0.8059962478606802,
GBD,6,350,43667.0,0.10985490187430744,0.15521164021164022,75600,2.3696226621063223,0.6082312383700903,-0.9819319641388198,-2.627758929579387,CM_Low,0.4283785459165318,
IRF7,8,348,43292.0,0.10648591489916157,-0.13609514687100893,100224,-3.2580138827938847,0.7274792542083925,-4.7222214929989175,-2.4845086414995894,CM_Low,0.4283785459165318,
Integrin,2,354,9395.0,0.11601918951906068,-0.26279033270558694,25488,-6.2932608907346035,0.6770768112532168,-6.047471022340124,-2.528690709412058,CM_Low,0.4283785459165318,
LIR,128,228,542074.5,0.22041108906941664,0.03190960800438596,1050624,1.7131261056181835,0.034291788960710896,-2.5064300834013302,-2.5884036242851813,CM_Low,0.5931508419498993,
MAPK,122,234,497357.5,0.22243156573121226,-0.032122312518487385,1027728,0.90291629491775,0.49975590351369237,-3.2274905199078665,-2.239237994368555,CM_Low,0.5931508419498993,
MSH2,14,342,87960.0,0.7486157942755279,0.020607073238652185,172368,1.1274149381081036,0.6178797083878833,-2.6423078763200483,-2.558367591660358,CM_Low,0.8426015269054504,
MYND,11,345,67005.0,0.7914182987516937,-0.019104084321475624,136620,-0.33835877808027515,0.669045263655225,-1.532873289042426,-2.61314433703436,CM_Low,0.8441795186684732,
NRBOX,24,332,146244.0,0.6932202803922958,0.019661981258366802,286848,0.12646175388861922,0.6748903232194058,-1.8749758228036324,-2.600105545626365,CM_Low,0.8426015269054504,
NRP,6,350,45261.0,0.04202508793492411,0.19738095238095238,75600,4.434805729762578,0.5728281000674117,5.748101545361843,-2.6039790330460373,CM_Low,0.3158978163178018,
PCNA,25,331,146675.0,0.754830534519466,-0.015273581738838537,297900,0.8043107114862638,0.625350155936595,-2.077467324634417,-2.600105545626365,CM_Low,0.8426015269054504,
PDZ,107,249,437731.0,0.0013668025330289195,-0.08725035135349289,959148,-0.6383460605801287,1.1863522003383267,-3.7339412762358215,-2.004882342558215,CM_Low,0.03275484631326326,*
PP1,33,323,220388.5,0.0005589280763210336,0.14868238629848538,383724,6.238928914101452,0.06567806574867388,-0.6308181293237021,-2.7728923380703314,CM_Low,0.026828547663409613,*
